เศรษฐกิจ|经济
ตลาดทุน|资本市场
ตลาดเงิน|货币市场
ตลาดประกัน|保险市场
ตลาดอสังหาริมทรัพย์|房地产市场
อัตราเงินเฟ้อ|通胀率
GDP|国内生产总值
GNP|国民生产总值
ค่าใช้จ่าย|支出
ขาดดุล|赤字
เกินดุล|盈余
หนี้สาธารณะ|公共债务
ธนาคารกลาง|央行
ธนาคารพาณิชย์|商业银行
กองทุนรวม|共同基金
กองทุนบำเหน็จ|退休基金
นักลงทุน|投资者
นักลงทุนรายย่อย|散户
นักลงทุนสถาบัน|机构投资者
รายรับ|收入
อุปสงค์|需求
อุปทาน|Supply
ราคาตลาด|市场价格
เงินเฟ้อรุนแรง|恶性通胀
เสถียรภาพ|稳定
ขาดดุลการค้า|贸易逆差
เกินดุลการค้า|贸易顺差
ภาษีศุลกากร|关税
เขตการค้าเสรี|自由贸易区
ข้อตกลงการค้า|贸易协定
องค์การการค้า|贸易组织
WTO|世贸组织
IMF|国际货币基金组织
World Bank|世界银行
ADB|亚洲开发银行
สกุลเงิน|货币
เงินบาท|泰铢
เงินดอลลาร์|美元
เงินยูโร|欧元
เงินหยวน|人民币
ค่าเงิน|币值
เงินทุนสำรอง|外汇储备
ภาคการผลิต|制造业
โรงงาน|工厂
เกษตรกรรม|农业
ประมง|渔业
ป่าไม้|林业
เหมืองแร่|采矿
น้ำมัน|石油
ก๊าซธรรมชาติ|天然气
โรงแรม|酒店
ร้านอาหาร|餐饮
ขนส่ง|运输
เทคโนโลยี|技术
ดิจิทัล|数字
ค่าแรง|工资
เงินเดือน|月薪
ค่าจ้าง|报酬
กองทุนเงินสำรอง|储备基金
วิสาหกิจ|企业
วิสาหกิจขนาดกลาง|中型企业
วิสาหกิจขนาดย่อม|小型企业
สตาร์ทอัพ|初创企业
startup|初创公司
SME|中小企业
บริษัท|公司
ห้างหุ้นส่วน|合伙企业
IPO|首次公开募股
M&A|并购
FinTech|金融科技
Cryptocurrency|加密货币
Bitcoin|比特币
Blockchain|区块链
AI|人工智能
IoT|物联网
การพัฒนาอย่างยั่งยืน|可持续发展
เศรษฐกิจสีเขียว|绿色经济
คาร์บอน|碳
ESG|环境社会治理
CSR|企业社会责任
PPT|公私合营
เศรษฐกิจ2|经济2
เงินเฟ้อ2|通货膨胀2
เงินฝืด2|通货紧缩2
อัตราเงินเฟ้อ2|通胀率2
GDP2|国内生产总值2
GNP2|国民生产总值2
รายได้2|收入2
ค่าใช้จ่าย2|支出2
งบประมาณ2|预算2
ขาดดุล2|赤字2
เกินดุล2|盈余2
หนี้สาธารณะ2|公共债务2
อัตราดอกเบี้ย2|利率2
ดอกเบี้ย2|利息2
เงินกู้2|贷款2
สินเชื่อ2|信贷2
ธนาคาร2|银行2
ธนาคารกลาง2|央行2
ธนาคารพาณิชย์2|商业银行2
สถาบันการเงิน2|金融机构2
ตลาดหุ้น2|股票市场2
ตลาดทุน2|资本市场2
หุ้น2|股票2
พันธบัตร2|债券2
กองทุน2|基金2
กองทุนรวม2|共同基金2
กองทุนบำเหน็จ2|退休基金2
การลงทุน2|投资2
นักลงทุน2|投资者2
นักลงทุนรายย่อย2|散户2
นักลงทุนสถาบัน2|机构投资者2
กำไร2|利润2
ขาดทุน2|亏损2
รายรับ2|收入2
รายจ่าย2|支出2
ต้นทุน2|成本2
ราคา2|价格2
อุปสงค์2|需求2
อุปทาน2|Supply2
ราคาตลาด2|市场价格2
อัตราเงินเฟ้อ3|通胀率3
เงินเฟ้อรุนแรง2|恶性通胀2
เสถียรภาพ2|稳定2
การค้า2|贸易2
นำเข้า2|进口2
ส่งออก2|出口2
ดุลการค้า2|贸易差额2
ขาดดุลการค้า2|贸易逆差2
เกินดุลการค้า2|贸易顺差2
ภาษีศุลกากร2|关税2
ภาษีมูลค่าเพิ่ม2|增值税2
เขตการค้าเสรี2|自由贸易区2
ข้อตกลงการค้า2|贸易协定2
องค์การการค้า2|贸易组织2
WTO2|世贸组织2
IMF2|国际货币基金组织2
World Bank2|世界银行2
ADB2|亚洲开发银行2
สกุลเงิน2|货币2
เงินบาท2|泰铢2
เงินดอลลาร์2|美元2
เงินยูโร2|欧元2
เงินหยวน2|人民币2
อัตราแลกเปลี่ยน2|汇率2
ค่าเงิน2|币值2
เงินทุนสำรอง2|外汇储备2
อุตสาหกรรม2|工业2
การผลิต2|生产2
ภาคการผลิต2|制造业2
โรงงาน2|工厂2
เกษตรกรรม2|农业2
การเกษตร2|农业2
ประมง2|渔业2
ป่าไม้2|林业2
เหมืองแร่2|采矿2
พลังงาน2|能源2
น้ำมัน2|石油2
ก๊าซธรรมชาติ2|天然气2
บริการ2|服务2
การเงิน2|金融2
ประกัน2|保险2
อสังหาริมทรัพย์2|房地产2
การท่องเที่ยว2|旅游2
โรงแรม2|酒店2
ร้านอาหาร2|餐饮2
ขนส่ง2|运输2
เทคโนโลยี2|技术2
นวัตกรรม2|创新2
ดิจิทัล2|数字2
อีคอมเมิร์ซ2|电子商务2
แรงงาน2|劳动力2
อัตราการว่างงาน2|失业率2
ค่าแรง2|工资2
สวัสดิการ2|福利2
เงินเดือน2|月薪2
ค่าจ้าง2|报酬2
ประกันสังคม2|社会保险2
กองทุนเงินสำรอง2|储备基金2
วิสาหกิจ2|企业2
วิสาหกิจขนาดกลาง2|中型企业2
วิสาหกิจขนาดย่อม2|小型企业2
สตาร์ทอัพ2|初创企业2
startup2|初创公司2
SME2|中小企业2
บริษัท2|公司2
ห้างหุ้นส่วน2|合伙企业2
IPO2|首次公开募股2
M&A2|并购2
FinTech2|金融科技2
Cryptocurrency2|加密货币2
Bitcoin2|比特币2
Blockchain2|区块链2
AI2|人工智能2
IoT2|物联网2
การพัฒนาอย่างยั่งยืน2|可持续发展2
เศรษฐกิจสีเขียว2|绿色经济2
คาร์บอน2|碳2
ESG2|环境社会治理2
CSR2|企业社会责任2
PPT2|公私合营2
เศรษฐกิจ3|经济3
เงินเฟ้อ3|通货膨胀3
เงินฝืด3|通货紧缩3
อัตราเงินเฟ้อ4|通胀率4
GDP3|国内生产总值3
GNP3|国民生产总值3
รายได้3|收入3
ค่าใช้จ่าย3|支出3
งบประมาณ3|预算3
ขาดดุล3|赤字3
เกินดุล3|盈余3
หนี้สาธารณะ3|公共债务3
อัตราดอกเบี้ย3|利率3
ดอกเบี้ย3|利息3
เงินกู้3|贷款3
สินเชื่อ3|信贷3
ธนาคาร3|银行3
ธนาคารกลาง3|央行3
ธนาคารพาณิชย์3|商业银行3
สถาบันการเงิน3|金融机构3
ตลาดหุ้น3|股票市场3
ตลาดทุน3|资本市场3
หุ้น3|股票3
พันธบัตร3|债券3
กองทุน3|基金3
กองทุนรวม3|共同基金3
กองทุนบำเหน็จ3|退休基金3
การลงทุน3|投资3
นักลงทุน3|投资者3
นักลงทุนรายย่อย3|散户3
นักลงทุนสถาบัน3|机构投资者3
กำไร3|利润3
ขาดทุน3|亏损3
รายรับ3|收入3
รายจ่าย3|支出3
ต้นทุน3|成本3
ราคา3|价格3
อุปสงค์3|需求3
อุปทาน3|Supply3
ราคาตลาด3|市场价格3
อัตราเงินเฟ้อ5|通胀率5
เงินเฟ้อรุนแรง3|恶性通胀3
เสถียรภาพ3|稳定3
การค้า3|贸易3
นำเข้า3|进口3
ส่งออก3|出口3
ดุลการค้า3|贸易差额3
ขาดดุลการค้า3|贸易逆差3
เกินดุลการค้า3|贸易顺差3
ภาษีศุลกากร3|关税3
ภาษีมูลค่าเพิ่ม3|增值税3
เขตการค้าเสรี3|自由贸易区3
ข้อตกลงการค้า3|贸易协定3
องค์การการค้า3|贸易组织3
WTO3|世贸组织3
IMF3|国际货币基金组织3
World Bank3|世界银行3
ADB3|亚洲开发银行3
สกุลเงิน3|货币3
เงินบาท3|泰铢3
เงินดอลลาร์3|美元3
เงินยูโร3|欧元3
เงินหยวน3|人民币3
อัตราแลกเปลี่ยน3|汇率3
ค่าเงิน3|币值3
เงินทุนสำรอง3|外汇储备3
อุตสาหกรรม3|工业3
การผลิต3|生产3
ภาคการผลิต3|制造业3
โรงงาน3|工厂3
เกษตรกรรม3|农业3
การเกษตร3|农业3
ประมง3|渔业3
ป่าไม้3|林业3
เหมืองแร่3|采矿3
พลังงาน3|能源3
น้ำมัน3|石油3
ก๊าซธรรมชาติ3|天然气3
บริการ3|服务3
การเงิน3|金融3
ประกัน3|保险3
อสังหาริมทรัพย์3|房地产3
การท่องเที่ยว3|旅游3
โรงแรม3|酒店3
ร้านอาหาร3|餐饮3
ขนส่ง3|运输3
เทคโนโลยี3|技术3
นวัตกรรม3|创新3
ดิจิทัล3|数字3
อีคอมเมิร์ซ3|电子商务3
แรงงาน3|劳动力3
อัตราการว่างงาน3|失业率3
ค่าแรง3|工资3
สวัสดิการ3|福利3
เงินเดือน3|月薪3
ค่าจ้าง3|报酬3
ประกันสังคม3|社会保险3
กองทุนเงินสำรอง3|储备基金3
วิสาหกิจ3|企业3
วิสาหกิจขนาดกลาง3|中型企业3
วิสาหกิจขนาดย่อม3|小型企业3
สตาร์ทอัพ3|初创企业3
startup3|初创公司3
SME3|中小企业3
บริษัท3|公司3
ห้างหุ้นส่วน3|合伙企业3
IPO3|首次公开募股3
M&A3|并购3
FinTech3|金融科技3
Cryptocurrency3|加密货币3
Bitcoin3|比特币3
Blockchain3|区块链3
AI3|人工智能3
IoT3|物联网3
การพัฒนาอย่างยั่งยืน3|可持续发展3
เศรษฐกิจสีเขียว3|绿色经济3
คาร์บอน3|碳3
ESG3|环境社会治理3
CSR3|企业社会责任3
PPT3|公私合营3
เศรษฐกิจ4|经济4
เงินเฟ้อ4|通货膨胀4
เงินฝืด4|通货紧缩4
อัตราเงินเฟ้อ6|通胀率6
GDP4|国内生产总值4
GNP4|国民生产总值4
รายได้4|收入4
ค่าใช้จ่าย4|支出4
งบประมาณ4|预算4
ขาดดุล4|赤字4
เกินดุล4|盈余4
หนี้สาธารณะ4|公共债务4
อัตราดอกเบี้ย4|利率4
ดอกเบี้ย4|利息4
เงินกู้4|贷款4
สินเชื่อ4|信贷4
ธนาคาร4|银行4
ธนาคารกลาง4|央行4
ธนาคารพาณิชย์4|商业银行4
สถาบันการเงิน4|金融机构4
ตลาดหุ้น4|股票市场4
ตลาดทุน4|资本市场4
หุ้น4|股票4
พันธบัตร4|债券4
กองทุน4|基金4
กองทุนรวม4|共同基金4
กองทุนบำเหน็จ4|退休基金4
การลงทุน4|投资4
นักลงทุน4|投资者4
นักลงทุนรายย่อย4|散户4
นักลงทุนสถาบัน4|机构投资者4
กำไร4|利润4
ขาดทุน4|亏损4
รายรับ4|收入4
รายจ่าย4|支出4
ต้นทุน4|成本4
ราคา4|价格4
อุปสงค์4|需求4
อุปทาน4|Supply4
ราคาตลาด4|市场价格4
อัตราเงินเฟ้อ7|通胀率7
เงินเฟ้อรุนแรง4|恶性通胀4
เสถียรภาพ4|稳定4
การค้า4|贸易4
นำเข้า4|进口4
ส่งออก4|出口4
ดุลการค้า4|贸易差额4
ขาดดุลการค้า4|贸易逆差4
เกินดุลการค้า4|贸易顺差4
ภาษีศุลกากร4|关税4
ภาษีมูลค่าเพิ่ม4|增值税4
เขตการค้าเสรี4|自由贸易区4
ข้อตกลงการค้า4|贸易协定4
องค์การการค้า4|贸易组织4
WTO4|世贸组织4
IMF4|国际货币基金组织4
World Bank4|世界银行4
ADB4|亚洲开发银行4
สกุลเงิน4|货币4
เงินบาท4|泰铢4
เงินดอลลาร์4|美元4
เงินยูโร4|欧元4
เงินหยวน4|人民币4
อัตราแลกเปลี่ยน4|汇率4
ค่าเงิน4|币值4
เงินทุนสำรอง4|外汇储备4
อุตสาหกรรม4|工业4
การผลิต4|生产4
ภาคการผลิต4|制造业4
โรงงาน4|工厂4
เกษตรกรรม4|农业4
การเกษตร4|农业4
ประมง4|渔业4
ป่าไม้4|林业4
เหมืองแร่4|采矿4
พลังงาน4|能源4
น้ำมัน4|石油4
ก๊าซธรรมชาติ4|天然气4
บริการ4|服务4
การเงิน4|金融4
ประกัน4|保险4
อสังหาริมทรัพย์4|房地产4
การท่องเที่ยว4|旅游4
โรงแรม4|酒店4
ร้านอาหาร4|餐饮4
ขนส่ง4|运输4
เทคโนโลยี4|技术4
นวัตกรรม4|创新4
ดิจิทัล4|数字4
อีคอมเมิร์ซ4|电子商务4
แรงงาน4|劳动力4
อัตราการว่างงาน4|失业率4
ค่าแรง4|工资4
สวัสดิการ4|福利4
เงินเดือน4|月薪4
ค่าจ้าง4|报酬4
ประกันสังคม4|社会保险4
กองทุนเงินสำรอง4|储备基金4
วิสาหกิจ4|企业4
วิสาหกิจขนาดกลาง4|中型企业4
วิสาหกิจขนาดย่อม4|小型企业4
สตาร์ทอัพ4|初创企业4
startup4|初创公司4
SME4|中小企业4
บริษัท4|公司4
ห้างหุ้นส่วน4|合伙企业4
IPO4|首次公开募股4
M&A4|并购4
FinTech4|金融科技4
Cryptocurrency4|加密货币4
Bitcoin4|比特币4
Blockchain4|区块链4
AI4|人工智能4
IoT4|物联网4
การพัฒนาอย่างยั่งยืน4|可持续发展4
เศรษฐกิจสีเขียว4|绿色经济4
คาร์บอน4|碳4
ESG4|环境社会治理4
CSR4|企业社会责任4
PPT4|公私合营4
เศรษฐกิจ5|经济5
เงินเฟ้อ5|通货膨胀5
เงินฝืด5|通货紧缩5
อัตราเงินเฟ้อ8|通胀率8
GDP5|国内生产总值5
GNP5|国民生产总值5
รายได้5|收入5
ค่าใช้จ่าย5|支出5
งบประมาณ5|预算5
ขาดดุล5|赤字5
เกินดุล5|盈余5
หนี้สาธารณะ5|公共债务5
อัตราดอกเบี้ย5|利率5
ดอกเบี้ย5|利息5
เงินกู้5|贷款5
สินเชื่อ5|信贷5
ธนาคาร5|银行5
ธนาคารกลาง5|央行5
ธนาคารพาณิชย์5|商业银行5
สถาบันการเงิน5|金融机构5
ตลาดหุ้น5|股票市场5
ตลาดทุน5|资本市场5
หุ้น5|股票5
พันธบัตร5|债券5
กองทุน5|基金5
กองทุนรวม5|共同基金5
กองทุนบำเหน็จ5|退休基金5
การลงทุน5|投资5
นักลงทุน5|投资者5
นักลงทุนรายย่อย5|散户5
นักลงทุนสถาบัน5|机构投资者5
กำไร5|利润5
ขาดทุน5|亏损5
รายรับ5|收入5
รายจ่าย5|支出5
ต้นทุน5|成本5
ราคา5|价格5
อุปสงค์5|需求5
อุปทาน5|Supply5
ราคาตลาด5|市场价格5
อัตราเงินเฟ้อ9|通胀率9
เงินเฟ้อรุนแรง5|恶性通胀5
เสถียรภาพ5|稳定5
การค้า5|贸易5
นำเข้า5|进口5
ส่งออก5|出口5
ดุลการค้า5|贸易差额5
ขาดดุลการค้า5|贸易逆差5
เกินดุลการค้า5|贸易顺差5
ภาษีศุลกากร5|关税5
ภาษีมูลค่าเพิ่ม5|增值税5
เขตการค้าเสรี5|自由贸易区5
ข้อตกลงการค้า5|贸易协定5
องค์การการค้า5|贸易组织5
WTO5|世贸组织5
IMF5|国际货币基金组织5
World Bank5|世界银行5
ADB5|亚洲开发银行5
สกุลเงิน5|货币5
เงินบาท5|泰铢5
เงินดอลลาร์5|美元5
เงินยูโร5|欧元5
เงินหยวน5|人民币5
อัตราแลกเปลี่ยน5|汇率5
ค่าเงิน5|币值5
เงินทุนสำรอง5|外汇储备5
อุตสาหกรรม5|工业5
การผลิต5|生产5
ภาคการผลิต5|制造业5
โรงงาน5|工厂5
เกษตรกรรม5|农业5
การเกษตร5|农业5
ประมง5|渔业5
ป่าไม้5|林业5
เหมืองแร่5|采矿5
พลังงาน5|能源5
น้ำมัน5|石油5
ก๊าซธรรมชาติ5|天然气5
บริการ5|服务5
การเงิน5|金融5
ประกัน5|保险5
อสังหาริมทรัพย์5|房地产5
การท่องเที่ยว5|旅游5
โรงแรม5|酒店5
ร้านอาหาร5|餐饮5
ขนส่ง5|运输5
เทคโนโลยี5|技术5
นวัตกรรม5|创新5
ดิจิทัล5|数字5
อีคอมเมิร์ซ5|电子商务5
แรงงาน5|劳动力5
อัตราการว่างงาน5|失业率5
ค่าแรง5|工资5
สวัสดิการ5|福利5
เงินเดือน5|月薪5
ค่าจ้าง5|报酬5
ประกันสังคม5|社会保险5
กองทุนเงินสำรอง5|储备基金5
วิสาหกิจ5|企业5
วิสาหกิจขนาดกลาง5|中型企业5
วิสาหกิจขนาดย่อม5|小型企业5
สตาร์ทอัพ5|初创企业5
startup5|初创公司5
SME5|中小企业5
บริษัท5|公司5
ห้างหุ้นส่วน5|合伙企业5
IPO5|首次公开募股5
M&A5|并购5
FinTech5|金融科技5
Cryptocurrency5|加密货币5
Bitcoin5|比特币5
Blockchain5|区块链5
AI5|人工智能5
IoT5|物联网5
การพัฒนาอย่างยั่งยืน5|可持续发展5
เศรษฐกิจสีเขียว5|绿色经济5
คาร์บอน5|碳5
ESG5|环境社会治理5
CSR5|企业社会责任5
PPT5|公私合营5
เศรษฐกิจ6|经济6
เงินเฟ้อ6|通货膨胀6
เงินฝืด6|通货紧缩6
อัตราเงินเฟ้อ10|通胀率10
GDP6|国内生产总值6
GNP6|国民生产总值6
รายได้6|收入6
ค่าใช้จ่าย6|支出6
งบประมาณ6|预算6
ขาดดุล6|赤字6
เกินดุล6|盈余6
หนี้สาธารณะ6|公共债务6
อัตราดอกเบี้ย6|利率6
ดอกเบี้ย6|利息6
เงินกู้6|贷款6
สินเชื่อ6|信贷6
ธนาคาร6|银行6
ธนาคารกลาง6|央行6
ธนาคารพาณิชย์6|商业银行6
สถาบันการเงิน6|金融机构6
ตลาดหุ้น6|股票市场6
ตลาดทุน6|资本市场6
หุ้น6|股票6
พันธบัตร6|债券6
กองทุน6|基金6
กองทุนรวม6|共同基金6
กองทุนบำเหน็จ6|退休基金6
การลงทุน6|投资6
นักลงทุน6|投资者6
นักลงทุนรายย่อย6|散户6
นักลงทุนสถาบัน6|机构投资者6
กำไร6|利润6
ขาดทุน6|亏损6
รายรับ6|收入6
รายจ่าย6|支出6
ต้นทุน6|成本6
ราคา6|价格6
อุปสงค์6|需求6
อุปทาน6|Supply6
ราคาตลาด6|市场价格6
อัตราเงินเฟ้อ11|通胀率11
เงินเฟ้อรุนแรง6|恶性通胀6
เสถียรภาพ6|稳定6
การค้า6|贸易6
นำเข้า6|进口6
ส่งออก6|出口6
ดุลการค้า6|贸易差额6
ขาดดุลการค้า6|贸易逆差6
เกินดุลการค้า6|贸易顺差6
ภาษีศุลกากร6|关税6
ภาษีมูลค่าเพิ่ม6|增值税6
เขตการค้าเสรี6|自由贸易区6
ข้อตกลงการค้า6|贸易协定6
องค์การการค้า6|贸易组织6
WTO6|世贸组织6
IMF6|国际货币基金组织6
World Bank6|世界银行6
ADB6|亚洲开发银行6
สกุลเงิน6|货币6
เงินบาท6|泰铢6
เงินดอลลาร์6|美元6
เงินยูโร6|欧元6
เงินหยวน6|人民币6
อัตราแลกเปลี่ยน6|汇率6
ค่าเงิน6|币值6
เงินทุนสำรอง6|外汇储备6
อุตสาหกรรม6|工业6
การผลิต6|生产6
ภาคการผลิต6|制造业6
โรงงาน6|工厂6
เกษตรกรรม6|农业6
การเกษตร6|农业6
ประมง6|渔业6
ป่าไม้6|林业6
เหมืองแร่6|采矿6
พลังงาน6|能源6
น้ำมัน6|石油6
ก๊าซธรรมชาติ6|天然气6
บริการ6|服务6
การเงิน6|金融6
ประกัน6|保险6
อสังหาริมทรัพย์6|房地产6
การท่องเที่ยว6|旅游6
โรงแรม6|酒店6
ร้านอาหาร6|餐饮6
ขนส่ง6|运输6
เทคโนโลยี6|技术6
นวัตกรรม6|创新6
ดิจิทัล6|数字6
อีคอมเมิร์ซ6|电子商务6
แรงงาน6|劳动力6
อัตราการว่างงาน6|失业率6
ค่าแรง6|工资6
สวัสดิการ6|福利6
เงินเดือน6|月薪6
ค่าจ้าง6|报酬6
ประกันสังคม6|社会保险6
กองทุนเงินสำรอง6|储备基金6
วิสาหกิจ6|企业6
วิสาหกิจขนาดกลาง6|中型企业6
วิสาหกิจขนาดย่อม6|小型企业6
สตาร์ทอัพ6|初创企业6
startup6|初创公司6
SME6|中小企业6
บริษัท6|公司6
ห้างหุ้นส่วน6|合伙企业6
IPO6|首次公开募股6
M&A6|并购6
FinTech6|金融科技6
Cryptocurrency6|加密货币6
Bitcoin6|比特币6
Blockchain6|区块链6
AI6|人工智能6
IoT6|物联网6
การพัฒนาอย่างยั่งยืน6|可持续发展6
เศรษฐกิจสีเขียว6|绿色经济6
คาร์บอน6|碳6
ESG6|环境社会治理6
CSR6|企业社会责任6
PPT6|公私合营6
เศรษฐกิจ7|经济7
เงินเฟ้อ7|通货膨胀7
เงินฝืด7|通货紧缩7
อัตราเงินเฟ้อ12|通胀率12
GDP7|国内生产总值7
GNP7|国民生产总值7
รายได้7|收入7
ค่าใช้จ่าย7|支出7
งบประมาณ7|预算7
ขาดดุล7|赤字7
เกินดุล7|盈余7
หนี้สาธารณะ7|公共债务7
อัตราดอกเบี้ย7|利率7
ดอกเบี้ย7|利息7
เงินกู้7|贷款7
สินเชื่อ7|信贷7
ธนาคาร7|银行7
ธนาคารกลาง7|央行7
ธนาคารพาณิชย์7|商业银行7
สถาบันการเงิน7|金融机构7
ตลาดหุ้น7|股票市场7
ตลาดทุน7|资本市场7
หุ้น7|股票7
พันธบัตร7|债券7
กองทุน7|基金7
กองทุนรวม7|共同基金7
กองทุนบำเหน็จ7|退休基金7
การลงทุน7|投资7
นักลงทุน7|投资者7
นักลงทุนรายย่อย7|散户7
นักลงทุนสถาบัน7|机构投资者7
กำไร7|利润7
ขาดทุน7|亏损7
รายรับ7|收入7
รายจ่าย7|支出7
ต้นทุน7|成本7
ราคา7|价格7
อุปสงค์7|需求7
อุปทาน7|Supply7
ราคาตลาด7|市场价格7
อัตราเงินเฟ้อ13|通胀率13
เงินเฟ้อรุนแรง7|恶性通胀7
เสถียรภาพ7|稳定7
การค้า7|贸易7
นำเข้า7|进口7
ส่งออก7|出口7
ดุลการค้า7|贸易差额7
ขาดดุลการค้า7|贸易逆差7
เกินดุลการค้า7|贸易顺差7
ภาษีศุลกากร7|关税7
ภาษีมูลค่าเพิ่ม7|增值税7
เขตการค้าเสรี7|自由贸易区7
ข้อตกลงการค้า7|贸易协定7
องค์การการค้า7|贸易组织7
WTO7|世贸组织7
IMF7|国际货币基金组织7
World Bank7|世界银行7
ADB7|亚洲开发银行7
สกุลเงิน7|货币7
เงินบาท7|泰铢7
เงินดอลลาร์7|美元7
เงินยูโร7|欧元7
เงินหยวน7|人民币7
อัตราแลกเปลี่ยน7|汇率7
ค่าเงิน7|币值7
เงินทุนสำรอง7|外汇储备7
อุตสาหกรรม7|工业7
การผลิต7|生产7
ภาคการผลิต7|制造业7
โรงงาน7|工厂7
เกษตรกรรม7|农业7
การเกษตร7|农业7
ประมง7|渔业7
ป่าไม้7|林业7
เหมืองแร่7|采矿7
พลังงาน7|能源7
น้ำมัน7|石油7
ก๊าซธรรมชาติ7|天然气7
บริการ7|服务7
การเงิน7|金融7
ประกัน7|保险7
อสังหาริมทรัพย์7|房地产7
การท่องเที่ยว7|旅游7
โรงแรม7|酒店7
ร้านอาหาร7|餐饮7
ขนส่ง7|运输7
เทคโนโลยี7|技术7
นวัตกรรม7|创新7
ดิจิทัล7|数字7
อีคอมเมิร์ซ7|电子商务7
แรงงาน7|劳动力7
อัตราการว่างงาน7|失业率7
ค่าแรง7|工资7
สวัสดิการ7|福利7
เงินเดือน7|月薪7
ค่าจ้าง7|报酬7
ประกันสังคม7|社会保险7
กองทุนเงินสำรอง7|储备基金7
วิสาหกิจ7|企业7
วิสาหกิจขนาดกลาง7|中型企业7
วิสาหกิจขนาดย่อม7|小型企业7
สตาร์ทอัพ7|初创企业7
startup7|初创公司7
SME7|中小企业7
บริษัท7|公司7
ห้างหุ้นส่วน7|合伙企业7
IPO7|首次公开募股7
M&A7|并购7
FinTech7|金融科技7
Cryptocurrency7|加密货币7
Bitcoin7|比特币7
Blockchain7|区块链7
AI7|人工智能7
IoT7|物联网7
การพัฒนาอย่างยั่งยืน7|可持续发展7
เศรษฐกิจสีเขียว7|绿色经济7
คาร์บอน7|碳7
ESG7|环境社会治理7
CSR7|企业社会责任7
PPT7|公私合营7
เศรษฐกิจ8|经济8
เงินเฟ้อ8|通货膨胀8
เงินฝืด8|通货紧缩8
อัตราเงินเฟ้อ14|通胀率14
GDP8|国内生产总值8
GNP8|国民生产总值8
รายได้8|收入8
ค่าใช้จ่าย8|支出8
งบประมาณ8|预算8
ขาดดุล8|赤字8
เกินดุล8|盈余8
หนี้สาธารณะ8|公共债务8
อัตราดอกเบี้ย8|利率8
ดอกเบี้ย8|利息8
เงินกู้8|贷款8
สินเชื่อ8|信贷8
ธนาคาร8|银行8
ธนาคารกลาง8|央行8
ธนาคารพาณิชย์8|商业银行8
สถาบันการเงิน8|金融机构8
ตลาดหุ้น8|股票市场8
ตลาดทุน8|资本市场8
หุ้น8|股票8
พันธบัตร8|债券8
กองทุน8|基金8
กองทุนรวม8|共同基金8
กองทุนบำเหน็จ8|退休基金8
การลงทุน8|投资8
นักลงทุน8|投资者8
นักลงทุนรายย่อย8|散户8
นักลงทุนสถาบัน8|机构投资者8
กำไร8|利润8
ขาดทุน8|亏损8
รายรับ8|收入8
รายจ่าย8|支出8
ต้นทุน8|成本8
ราคา8|价格8
อุปสงค์8|需求8
อุปทาน8|Supply8
ราคาตลาด8|市场价格8
อัตราเงินเฟ้อ15|通胀率15
เงินเฟ้อรุนแรง8|恶性通胀8
เสถียรภาพ8|稳定8
การค้า8|贸易8
นำเข้า8|进口8
ส่งออก8|出口8
ดุลการค้า8|贸易差额8
