รถยนต์|汽车
ล้างรถ2|洗车2
ล้างรถอัตโนมัติ2|自动洗车2
ล้างรถมือ2|手动洗车2
จอดรถซ้าย2|靠左停车2
จอดรถขวา2|靠右停车2
ที่จอดรถ2|停车场2
ที่จอดรถใต้ดิน2|地下停车场2
ที่จอดรถบนดิน2|地上停车场2
ขับซ้าย2|靠左行驶2
ขับขวา2|靠右行驶2
ขับไม่ดื่ม2|开车不喝酒2
ดื่มไม่ขับ2|喝酒不开车2
เข็มขัดนิรภัย2|安全带2
ถุงลมนิรภัย2|安全气囊2
ไฟหน้า2|前灯2
ไฟท้าย2|尾灯2
ไฟเลี้ยว2|转向灯2
ไฟเบรก2|刹车灯2
กระจกมองข้าง2|后视镜2
กระจกบังลม2|挡风玻璃2
กันชน2|保险杠2
กระโปรงหน้า2|引擎盖2
ท้ายรถ2|车尾2
ประตูรถ2|车门2
รถยนต์3|汽车3
มอเตอร์ไซค์3|摩托车3
จักรยาน3|自行车3
รถบัส3|公交车3
รถตู้3|小巴3
รถแท็กซี่3|出租车3
รถไฟ3|火车3
รถไฟฟ้า3|轻轨3
รถไฟใต้ดิน3|地铁3
เรือ3|船3
เรือข้ามฟาก3|渡轮3
เรือเร็ว3|快艇3
เครื่องบิน3|飞机3
เฮลิคอปเตอร์3|直升机3
ถนน3|马路3
ทางด่วน3|高速公路3
สะพาน3|桥3
อุโมงค์3|隧道3
สี่แยก3|十字路口3
วงเวียน3|环岛3
ทางเท้า3|人行道3
ไหล่ทาง3|路肩3
เกาะกลางถนน3|中央隔离带3
ไฟแดง3|红灯3
ไฟเขียว3|绿灯3
ไฟเหลือง3|黄灯3
ป้ายจราจร3|交通标志3
ป้ายหยุด3|停车标志3
ขับรถ3|开车3
หยุดรถ3|停车3
จอดรถ3|停车3
ถอยหลัง3|倒车3
เลี้ยว3|转弯3
ตรงไป3|直走3
กลับรถ3|掉头3
เปลี่ยนเลน3|变道3
แซง3|超车3
ขับช้า3|慢驶3
ขับเร็ว3|快开3
ความเร็ว3|速度3
ความเร็วสูงสุด3|最高速度3
จำกัดความเร็ว3|限速3
น้ำมัน3|汽油3
น้ำมันเบนซิน3|汽油3
น้ำมันดีเซล3|柴油3
น้ำมันเครื่อง3|机油3
แก๊ส3|天然气3
EV3|电动车3
ชาร์จ3|充电3
สถานีชาร์จ3|充电站3
สถานีน้ำมัน3|加油站3
ค่าทางด่วน3|过路费3
ค่าจอดรถ3|停车费3
ค่าปรับ3|罚款3
ใบสั่ง3|罚单3
ประกันภัย3|保险3
ประกันภัยรถยนต์3|车险3
พ.ร.บ.3|交强险3
ภาษีรถ3|车税3
ต่อทะเบียน3|续签3
พรบ3|交强险3
สมุดคู่มือ3|行驶证3
ป้ายทะเบียน3|车牌3
 MOT3|年检3
ตรวจสภาพรถ3|车检3
ซ่อม3|修理3
เปลี่ยนยาง3|换轮胎3
เปลี่ยนน้ำมัน3|换机油3
ล้างรถ3|洗车3
ล้างรถอัตโนมัติ3|自动洗车3
ล้างรถมือ3|手动洗车3
จอดรถซ้าย3|靠左停车3
จอดรถขวา3|靠右停车3
ที่จอดรถ3|停车场3
ที่จอดรถใต้ดิน3|地下停车场3
ที่จอดรถบนดิน3|地上停车场3
ขับซ้าย3|靠左行驶3
ขับขวา3|靠右行驶3
ขับไม่ดื่ม3|开车不喝酒3
ดื่มไม่ขับ3|喝酒不开车3
เข็มขัดนิรภัย3|安全带3
ถุงลมนิรภัย3|安全气囊3
ไฟหน้า3|前灯3
ไฟท้าย3|尾灯3
ไฟเลี้ยว3|转向灯3
ไฟเบรก3|刹车灯3
กระจกมองข้าง3|后视镜3
กระจกบังลม3|挡风玻璃3
กันชน3|保险杠3
กระโปรงหน้า3|引擎盖3
ท้ายรถ3|车尾3
ประตูรถ3|车门3
รถยนต์4|汽车4
มอเตอร์ไซค์4|摩托车4
จักรยาน4|自行车4
รถบัส4|公交车4
รถตู้4|小巴4
รถแท็กซี่4|出租车4
รถไฟ4|火车4
รถไฟฟ้า4|轻轨4
รถไฟใต้ดิน4|地铁4
เรือ4|船4
เรือข้ามฟาก4|渡轮4
เรือเร็ว4|快艇4
เครื่องบิน4|飞机4
เฮลิคอปเตอร์4|直升机4
ถนน4|马路4
ทางด่วน4|高速公路4
สะพาน4|桥4
อุโมงค์4|隧道4
สี่แยก4|十字路口4
วงเวียน4|环岛4
ทางเท้า4|人行道4
ไหล่ทาง4|路肩4
เกาะกลางถนน4|中央隔离带4
ไฟแดง4|红灯4
ไฟเขียว4|绿灯4
ไฟเหลือง4|黄灯4
ป้ายจราจร4|交通标志4
ป้ายหยุด4|停车标志4
ขับรถ4|开车4
หยุดรถ4|停车4
จอดรถ4|停车4
ถอยหลัง4|倒车4
เลี้ยว4|转弯4
ตรงไป4|直走4
กลับรถ4|掉头4
เปลี่ยนเลน4|变道4
แซง4|超车4
ขับช้า4|慢驶4
ขับเร็ว4|快开4
ความเร็ว4|速度4
ความเร็วสูงสุด4|最高速度4
จำกัดความเร็ว4|限速4
น้ำมัน4|汽油4
น้ำมันเบนซิน4|汽油4
น้ำมันดีเซล4|柴油4
น้ำมันเครื่อง4|机油4
แก๊ส4|天然气4
EV4|电动车4
ชาร์จ4|充电4
สถานีชาร์จ4|充电站4
สถานีน้ำมัน4|加油站4
ค่าทางด่วน4|过路费4
ค่าจอดรถ4|停车费4
ค่าปรับ4|罚款4
ใบสั่ง4|罚单4
ประกันภัย4|保险4
ประกันภัยรถยนต์4|车险4
พ.ร.บ.4|交强险4
ภาษีรถ4|车税4
ต่อทะเบียน4|续签4
พรบ4|交强险4
สมุดคู่มือ4|行驶证4
ป้ายทะเบียน4|车牌4
 MOT4|年检4
ตรวจสภาพรถ4|车检4
ซ่อม4|修理4
เปลี่ยนยาง4|换轮胎4
เปลี่ยนน้ำมัน4|换机油4
ล้างรถ4|洗车4
ล้างรถอัตโนมัติ4|自动洗车4
ล้างรถมือ4|手动洗车4
จอดรถซ้าย4|靠左停车4
จอดรถขวา4|靠右停车4
ที่จอดรถ4|停车场4
ที่จอดรถใต้ดิน4|地下停车场4
ที่จอดรถบนดิน4|地上停车场4
ขับซ้าย4|靠左行驶4
ขับขวา4|靠右行驶4
ขับไม่ดื่ม4|开车不喝酒4
ดื่มไม่ขับ4|喝酒不开车4
เข็มขัดนิรภัย4|安全带4
ถุงลมนิรภัย4|安全气囊4
ไฟหน้า4|前灯4
ไฟท้าย4|尾灯4
ไฟเลี้ยว4|转向灯4
ไฟเบรก4|刹车灯4
กระจกมองข้าง4|后视镜4
กระจกบังลม4|挡风玻璃4
กันชน4|保险杠4
กระโปรงหน้า4|引擎盖4
ท้ายรถ4|车尾4
ประตูรถ4|车门4
รถยนต์5|汽车5
มอเตอร์ไซค์5|摩托车5
จักรยาน5|自行车5
รถบัส5|公交车5
รถตู้5|小巴5
รถแท็กซี่5|出租车5
รถไฟ5|火车5
รถไฟฟ้า5|轻轨5
รถไฟใต้ดิน5|地铁5
เรือ5|船5
เรือข้ามฟาก5|渡轮5
เรือเร็ว5|快艇5
เครื่องบิน5|飞机5
เฮลิคอปเตอร์5|直升机5
ถนน5|马路5
ทางด่วน5|高速公路5
สะพาน5|桥5
อุโมงค์5|隧道5
สี่แยก5|十字路口5
วงเวียน5|环岛5
ทางเท้า5|人行道5
ไหล่ทาง5|路肩5
เกาะกลางถนน5|中央隔离带5
ไฟแดง5|红灯5
ไฟเขียว5|绿灯5
ไฟเหลือง5|黄灯5
ป้ายจราจร5|交通标志5
ป้ายหยุด5|停车标志5
ขับรถ5|开车5
หยุดรถ5|停车5
จอดรถ5|停车5
ถอยหลัง5|倒车5
เลี้ยว5|转弯5
ตรงไป5|直走5
กลับรถ5|掉头5
เปลี่ยนเลน5|变道5
แซง5|超车5
ขับช้า5|慢驶5
ขับเร็ว5|快开5
ความเร็ว5|速度5
ความเร็วสูงสุด5|最高速度5
จำกัดความเร็ว5|限速5
น้ำมัน5|汽油5
น้ำมันเบนซิน5|汽油5
น้ำมันดีเซล5|柴油5
น้ำมันเครื่อง5|机油5
แก๊ส5|天然气5
EV5|电动车5
ชาร์จ5|充电5
สถานีชาร์จ5|充电站5
สถานีน้ำมัน5|加油站5
ค่าทางด่วน5|过路费5
ค่าจอดรถ5|停车费5
ค่าปรับ5|罚款5
ใบสั่ง5|罚单5
ประกันภัย5|保险5
ประกันภัยรถยนต์5|车险5
พ.ร.บ.5|交强险5
ภาษีรถ5|车税5
ต่อทะเบียน5|续签5
พรบ5|交强险5
สมุดคู่มือ5|行驶证5
ป้ายทะเบียน5|车牌5
 MOT5|年检5
ตรวจสภาพรถ5|车检5
ซ่อม5|修理5
เปลี่ยนยาง5|换轮胎5
เปลี่ยนน้ำมัน5|换机油5
ล้างรถ5|洗车5
ล้างรถอัตโนมัติ5|自动洗车5
ล้างรถมือ5|手动洗车5
จอดรถซ้าย5|靠左停车5
จอดรถขวา5|靠右停车5
ที่จอดรถ5|停车场5
ที่จอดรถใต้ดิน5|地下停车场5
ที่จอดรถบนดิน5|地上停车场5
ขับซ้าย5|靠左行驶5
ขับขวา5|靠右行驶5
ขับไม่ดื่ม5|开车不喝酒5
ดื่มไม่ขับ5|喝酒不开车5
เข็มขัดนิรภัย5|安全带5
ถุงลมนิรภัย5|安全气囊5
ไฟหน้า5|前灯5
ไฟท้าย5|尾灯5
ไฟเลี้ยว5|转向灯5
ไฟเบรก5|刹车灯5
กระจกมองข้าง5|后视镜5
กระจกบังลม5|挡风玻璃5
กันชน5|保险杠5
กระโปรงหน้า5|引擎盖5
ท้ายรถ5|车尾5
ประตูรถ5|车门5
รถยนต์6|汽车6
มอเตอร์ไซค์6|摩托车6
จักรยาน6|自行车6
รถบัส6|公交车6
รถตู้6|小巴6
รถแท็กซี่6|出租车6
รถไฟ6|火车6
รถไฟฟ้า6|轻轨6
รถไฟใต้ดิน6|地铁6
เรือ6|船6
เรือข้ามฟาก6|渡轮6
เรือเร็ว6|快艇6
เครื่องบิน6|飞机6
เฮลิคอปเตอร์6|直升机6
ถนน6|马路6
ทางด่วน6|高速公路6
สะพาน6|桥6
อุโมงค์6|隧道6
สี่แยก6|十字路口6
วงเวียน6|环岛6
ทางเท้า6|人行道6
ไหล่ทาง6|路肩6
เกาะกลางถนน6|中央隔离带6
ไฟแดง6|红灯6
ไฟเขียว6|绿灯6
ไฟเหลือง6|黄灯6
ป้ายจราจร6|交通标志6
ป้ายหยุด6|停车标志6
ขับรถ6|开车6
หยุดรถ6|停车6
จอดรถ6|停车6
ถอยหลัง6|倒车6
เลี้ยว6|转弯6
ตรงไป6|直走6
กลับรถ6|掉头6
เปลี่ยนเลน6|变道6
แซง6|超车6
ขับช้า6|慢驶6
ขับเร็ว6|快开6
ความเร็ว6|速度6
ความเร็วสูงสุด6|最高速度6
จำกัดความเร็ว6|限速6
น้ำมัน6|汽油6
น้ำมันเบนซิน6|汽油6
น้ำมันดีเซล6|柴油6
น้ำมันเครื่อง6|机油6
แก๊ส6|天然气6
EV6|电动车6
ชาร์จ6|充电6
สถานีชาร์จ6|充电站6
สถานีน้ำมัน6|加油站6
ค่าทางด่วน6|过路费6
ค่าจอดรถ6|停车费6
ค่าปรับ6|罚款6
ใบสั่ง6|罚单6
ประกันภัย6|保险6
ประกันภัยรถยนต์6|车险6
พ.ร.บ.6|交强险6
ภาษีรถ6|车税6
ต่อทะเบียน6|续签6
พรบ6|交强险6
สมุดคู่มือ6|行驶证6
ป้ายทะเบียน6|车牌6
 MOT6|年检6
ตรวจสภาพรถ6|车检6
ซ่อม6|修理6
เปลี่ยนยาง6|换轮胎6
เปลี่ยนน้ำมัน6|换机油6
ล้างรถ6|洗车6
ล้างรถอัตโนมัติ6|自动洗车6
ล้างรถมือ6|手动洗车6
จอดรถซ้าย6|靠左停车6
จอดรถขวา6|靠右停车6
ที่จอดรถ6|停车场6
ที่จอดรถใต้ดิน6|地下停车场6
ที่จอดรถบนดิน6|地上停车场6
ขับซ้าย6|靠左行驶6
ขับขวา6|靠右行驶6
ขับไม่ดื่ม6|开车不喝酒6
ดื่มไม่ขับ6|喝酒不开车6
เข็มขัดนิรภัย6|安全带6
ถุงลมนิรภัย6|安全气囊6
ไฟหน้า6|前灯6
ไฟท้าย6|尾灯6
ไฟเลี้ยว6|转向灯6
ไฟเบรก6|刹车灯6
กระจกมองข้าง6|后视镜6
กระจกบังลม6|挡风玻璃6
กันชน6|保险杠6
กระโปรงหน้า6|引擎盖6
ท้ายรถ6|车尾6
ประตูรถ6|车门6
รถยนต์7|汽车7
มอเตอร์ไซค์7|摩托车7
จักรยาน7|自行车7
รถบัส7|公交车7
รถตู้7|小巴7
รถแท็กซี่7|出租车7
รถไฟ7|火车7
รถไฟฟ้า7|轻轨7
รถไฟใต้ดิน7|地铁7
เรือ7|船7
เรือข้ามฟาก7|渡轮7
เรือเร็ว7|快艇7
เครื่องบิน7|飞机7
เฮลิคอปเตอร์7|直升机7
ถนน7|马路7
ทางด่วน7|高速公路7
สะพาน7|桥7
อุโมงค์7|隧道7
สี่แยก7|十字路口7
วงเวียน7|环岛7
ทางเท้า7|人行道7
ไหล่ทาง7|路肩7
เกาะกลางถนน7|中央隔离带7
ไฟแดง7|红灯7
ไฟเขียว7|绿灯7
ไฟเหลือง7|黄灯7
ป้ายจราจร7|交通标志7
ป้ายหยุด7|停车标志7
ขับรถ7|开车7
หยุดรถ7|停车7
จอดรถ7|停车7
ถอยหลัง7|倒车7
เลี้ยว7|转弯7
ตรงไป7|直走7
กลับรถ7|掉头7
เปลี่ยนเลน7|变道7
แซง7|超车7
ขับช้า7|慢驶7
ขับเร็ว7|快开7
ความเร็ว7|速度7
ความเร็วสูงสุด7|最高速度7
จำกัดความเร็ว7|限速7
น้ำมัน7|汽油7
น้ำมันเบนซิน7|汽油7
น้ำมันดีเซล7|柴油7
น้ำมันเครื่อง7|机油7
แก๊ส7|天然气7
EV7|电动车7
ชาร์จ7|充电7
สถานีชาร์จ7|充电站7
สถานีน้ำมัน7|加油站7
ค่าทางด่วน7|过路费7
ค่าจอดรถ7|停车费7
ค่าปรับ7|罚款7
ใบสั่ง7|罚单7
ประกันภัย7|保险7
ประกันภัยรถยนต์7|车险7
พ.ร.บ.7|交强险7
ภาษีรถ7|车税7
ต่อทะเบียน7|续签7
พรบ7|交强险7
สมุดคู่มือ7|行驶证7
ป้ายทะเบียน7|车牌7
 MOT7|年检7
ตรวจสภาพรถ7|车检7
ซ่อม7|修理7
เปลี่ยนยาง7|换轮胎7
เปลี่ยนน้ำมัน7|换机油7
ล้างรถ7|洗车7
ล้างรถอัตโนมัติ7|自动洗车7
ล้างรถมือ7|手动洗车7
จอดรถซ้าย7|靠左停车7
จอดรถขวา7|靠右停车7
ที่จอดรถ7|停车场7
ที่จอดรถใต้ดิน7|地下停车场7
ที่จอดรถบนดิน7|地上停车场7
ขับซ้าย7|靠左行驶7
ขับขวา7|靠右行驶7
ขับไม่ดื่ม7|开车不喝酒7
ดื่มไม่ขับ7|喝酒不开车7
เข็มขัดนิรภัย7|安全带7
ถุงลมนิรภัย7|安全气囊7
ไฟหน้า7|前灯7
ไฟท้าย7|尾灯7
ไฟเลี้ยว7|转向灯7
ไฟเบรก7|刹车灯7
กระจกมองข้าง7|后视镜7
กระจกบังลม7|挡风玻璃7
กันชน7|保险杠7
กระโปรงหน้า7|引擎盖7
ท้ายรถ7|车尾7
ประตูรถ7|车门7
รถยนต์8|汽车8
มอเตอร์ไซค์8|摩托车8
จักรยาน8|自行车8
รถบัส8|公交车8
รถตู้8|小巴8
รถแท็กซี่8|出租车8
รถไฟ8|火车8
รถไฟฟ้า8|轻轨8
รถไฟใต้ดิน8|地铁8
เรือ8|船8
เรือข้ามฟาก8|渡轮8
เรือเร็ว8|快艇8
เครื่องบิน8|飞机8
เฮลิคอปเตอร์8|直升机8
ถนน8|马路8
ทางด่วน8|高速公路8
สะพาน8|桥8
อุโมงค์8|隧道8
สี่แยก8|十字路口8
วงเวียน8|环岛8
ทางเท้า8|人行道8
ไหล่ทาง8|路肩8
เกาะกลางถนน8|中央隔离带8
ไฟแดง8|红灯8
ไฟเขียว8|绿灯8
ไฟเหลือง8|黄灯8
ป้ายจราจร8|交通标志8
ป้ายหยุด8|停车标志8
ขับรถ8|开车8
หยุดรถ8|停车8
จอดรถ8|停车8
ถอยหลัง8|倒车8
เลี้ยว8|转弯8
ตรงไป8|直走8
กลับรถ8|掉头8
เปลี่ยนเลน8|变道8
แซง8|超车8
ขับช้า8|慢驶8
ขับเร็ว8|快开8
ความเร็ว8|速度8
ความเร็วสูงสุด8|最高速度8
จำกัดความเร็ว8|限速8
น้ำมัน8|汽油8
น้ำมันเบนซิน8|汽油8
น้ำมันดีเซล8|柴油8
น้ำมันเครื่อง8|机油8
แก๊ส8|天然气8
EV8|电动车8
ชาร์จ8|充电8
สถานีชาร์จ8|充电站8
สถานีน้ำมัน8|加油站8
ค่าทางด่วน8|过路费8
ค่าจอดรถ8|停车费8
ค่าปรับ8|罚款8
ใบสั่ง8|罚单8
ประกันภัย8|保险8
ประกันภัยรถยนต์8|车险8
พ.ร.บ.8|交强险8
ภาษีรถ8|车税8
ต่อทะเบียน8|续签8
พรบ8|交强险8
สมุดคู่มือ8|行驶证8
ป้ายทะเบียน8|车牌8
 MOT8|年检8
ตรวจสภาพรถ8|车检8
ซ่อม8|修理8
เปลี่ยนยาง8|换轮胎8
เปลี่ยนน้ำมัน8|换机油8
ล้างรถ8|洗车8
ล้างรถอัตโนมัติ8|自动洗车8
ล้างรถมือ8|手动洗车8
จอดรถซ้าย8|靠左停车8
จอดรถขวา8|靠右停车8
ที่จอดรถ8|停车场8
ที่จอดรถใต้ดิน8|地下停车场8
ที่จอดรถบนดิน8|地上停车场8
ขับซ้าย8|靠左行驶8
ขับขวา8|靠右行驶8
ขับไม่ดื่ม8|开车不喝酒8
ดื่มไม่ขับ8|喝酒不开车8
เข็มขัดนิรภัย8|安全带8
ถุงลมนิรภัย8|安全气囊8
ไฟหน้า8|前灯8
ไฟท้าย8|尾灯8
ไฟเลี้ยว8|转向灯8
ไฟเบรก8|刹车灯8
กระจกมองข้าง8|后视镜8
กระจกบังลม8|挡风玻璃8
กันชน8|保险杠8
กระโปรงหน้า8|引擎盖8
ท้ายรถ8|车尾8
ประตูรถ8|车门8
รถยนต์9|汽车9
มอเตอร์ไซค์9|摩托车9
จักรยาน9|自行车9
รถบัส9|公交车9
รถตู้9|小巴9
รถแท็กซี่9|出租车9
รถไฟ9|火车9
รถไฟฟ้า9|轻轨9
รถไฟใต้ดิน9|地铁9
เรือ9|船9
เรือข้ามฟาก9|渡轮9
เรือเร็ว9|快艇9
เครื่องบิน9|飞机9
เฮลิคอปเตอร์9|直升机9
ถนน9|马路9
ทางด่วน9|高速公路9
สะพาน9|桥9
อุโมงค์9|隧道9
สี่แยก9|十字路口9
วงเวียน9|环岛9
ทางเท้า9|人行道9
ไหล่ทาง9|路肩9
เกาะกลางถนน9|中央隔离带9
ไฟแดง9|红灯9
ไฟเขียว9|绿灯9
ไฟเหลือง9|黄灯9
ป้ายจราจร9|交通标志9
ป้ายหยุด9|停车标志9
ขับรถ9|开车9
หยุดรถ9|停车9
จอดรถ9|停车9
ถอยหลัง9|倒车9
เลี้ยว9|转弯9
ตรงไป9|直走9
กลับรถ9|掉头9
เปลี่ยนเลน9|变道9
แซง9|超车9
ขับช้า9|慢驶9
ขับเร็ว9|快开9
ความเร็ว9|速度9
ความเร็วสูงสุด9|最高速度9
จำกัดความเร็ว9|限速9
น้ำมัน9|汽油9
น้ำมันเบนซิน9|汽油9
น้ำมันดีเซล9|柴油9
น้ำมันเครื่อง9|机油9
แก๊ส9|天然气9
EV9|电动车9
ชาร์จ9|充电9
สถานีชาร์จ9|充电站9
สถานีน้ำมัน9|加油站9
ค่าทางด่วน9|过路费9
ค่าจอดรถ9|停车费9
ค่าปรับ9|罚款9
ใบสั่ง9|罚单9
ประกันภัย9|保险9
ประกันภัยรถยนต์9|车险9
พ.ร.บ.9|交强险9
ภาษีรถ9|车税9
ต่อทะเบียน9|续签9
พรบ9|交强险9
สมุดคู่มือ9|行驶证9
ป้ายทะเบียน9|车牌9
 MOT9|年检9
ตรวจสภาพรถ9|车检9
ซ่อม9|修理9
เปลี่ยนยาง9|换轮胎9
เปลี่ยนน้ำมัน9|换机油9
ล้างรถ9|洗车9
ล้างรถอัตโนมัติ9|自动洗车9
ล้างรถมือ9|手动洗车9
จอดรถซ้าย9|靠左停车9
จอดรถขวา9|靠右停车9
ที่จอดรถ9|停车场9
ที่จอดรถใต้ดิน9|地下停车场9
ที่จอดรถบนดิน9|地上停车场9
ขับซ้าย9|靠左行驶9
ขับขวา9|靠右行驶9
