วัน|天
กลางคืน2|晚上2
เที่ยงวัน2|中午2
เที่ยงคืน2|午夜2
ตอนสาย2|上午2
ตอนค่ำ2|晚上2
เดือนมกราคม2|一月2
เดือนกุมภาพันธ์2|二月2
เดือนมีนาคม2|三月2
เดือนเมษายน2|四月2
เดือนพฤษภาคม2|五月2
เดือนมิถุนายน2|六月2
เดือนกรกฎาคม2|七月2
เดือนสิงหาคม2|八月2
เดือนกันยายน2|九月2
เดือนตุลาคม2|十月2
เดือนพฤศจิกายน2|十一月2
เดือนธันวาคม2|十二月2
ต้นปี2|年初2
กลางปี2|年中2
ปลายปี2|年末2
ปีใหม่2|新年2
ปีเก่า2|旧年2
วันหยุด2|假期2
วันหยุดราชการ2|法定假日2
วันหยุดยาว2|长假2
วันพักผ่อน2|休息日2
วันเกิด2|生日2
วันคริสต์มาส2|圣诞节2
วันปีใหม่2|元旦2
วันสงกรานต์2|泼水节2
วันลอยกระทง2|水灯节2
วันแม่2|母亲节2
วันพ่อ2|父亲节2
วันเด็ก2|儿童节2
วัน Valentine2|情人节2
วันฮาโลวีน2|万圣节2
วัน Thanksgiving2|感恩节2
รอ2|等2
รออีกนิด2|再等一下2
รอนาน2|等很久2
รอสักครู่2|请稍等2
เร็ว2|快2
ช้า2|慢2
ทันเวลา2|准时2
สาย2|迟到2
เร็วเกินไป2|太早2
ตรงเวลา2|准时2
ก่อนเวลา2|提前2
หลังเวลา2|超过时间2
เกินเวลา2|超时2
ทุกวัน2|每天2
ทุกสัปดาห์2|每周2
ทุกเดือน2|每月2
ทุกปี2|每年2
เช้านี้2|今天早上2
บ่ายนี้2|今天下午2
ค่ำนี้2|今晚2
วันนี้3|今天3
เมื่อเช้านี้2|今天早上2
เมื่อบ่ายวาน2|昨天下午2
เมื่อคืน2|昨晚2
ปีที่แล้ว2|去年2
ปีหน้า2|明年2
เดือนที่แล้ว2|上个月2
เดือนหน้า2|下个月2
สัปดาห์ที่แล้ว2|上周2
สัปดาห์หน้า2|下周2
เช้าวันจันทร์2|周一早上2
บ่ายวันศุกร์2|周五下午2
วันหยุดสุดสัปดาห์2|周末2
วันเสาร์อาทิตย์2|周六周日2
พฤศจิกายน2|十一月2
ธันวาคม2|十二月2
มกราคม2|一月2
กุมภาพันธ์2|二月2
มีนาคม2|三月2
เมษายน2|四月2
พฤษภาคม2|五月2
มิถุนายน2|六月2
กรกฎาคม2|七月2
สิงหาคม2|八月2
กันยายน2|九月2
ตุลาคม2|十2
วัน3|天3
สัปดาห์3|周3
เดือน3|月3
ปี3|年3
วันนี้4|今天4
เมื่อวาน3|昨天3
พรุ่งนี้3|明天3
วันจันทร์3|星期一3
วันอังคาร3|星期二3
วันพุธ3|星期三3
วันพฤหัสบดี3|星期四3
วันศุกร์3|星期五3
วันเสาร์3|星期六3
วันอาทิตย์3|星期天3
ตอนเช้า3|早上3
ตอนบ่าย3|下午3
ตอนเย็น3|傍晚3
กลางคืน3|晚上3
เที่ยงวัน3|中午3
เที่ยงคืน3|午夜3
ตอนสาย3|上午3
ตอนค่ำ3|晚上3
เดือนมกราคม3|一月3
เดือนกุมภาพันธ์3|二月3
เดือนมีนาคม3|三月3
เดือนเมษายน3|四月3
เดือนพฤษภาคม3|五月3
เดือนมิถุนายน3|六月3
เดือนกรกฎาคม3|七月3
เดือนสิงหาคม3|八月3
เดือนกันยายน3|九月3
เดือนตุลาคม3|十月3
เดือนพฤศจิกายน3|十一月3
เดือนธันวาคม3|十二月3
ต้นปี3|年初3
กลางปี3|年中3
ปลายปี3|年末3
ปีใหม่3|新年3
ปีเก่า3|旧年3
วันหยุด3|假期3
วันหยุดราชการ3|法定假日3
วันหยุดยาว3|长假3
วันพักผ่อน3|休息日3
วันเกิด3|生日3
วันคริสต์มาส3|圣诞节3
วันปีใหม่3|元旦3
วันสงกรานต์3|泼水节3
วันลอยกระทง3|水灯节3
วันแม่3|母亲节3
วันพ่อ3|父亲节3
วันเด็ก3|儿童节3
วัน Valentine3|情人节3
วันฮาโลวีน3|万圣节3
วัน Thanksgiving3|感恩节3
รอ3|等3
รออีกนิด3|再等一下3
รอนาน3|等很久3
รอสักครู่3|请稍等3
เร็ว3|快3
ช้า3|慢3
ทันเวลา3|准时3
สาย3|迟到3
เร็วเกินไป3|太早3
ตรงเวลา3|准时3
ก่อนเวลา3|提前3
หลังเวลา3|超过时间3
เกินเวลา3|超时3
ทุกวัน3|每天3
ทุกสัปดาห์3|每周3
ทุกเดือน3|每月3
ทุกปี3|每年3
เช้านี้3|今天早上3
บ่ายนี้3|今天下午3
ค่ำนี้3|今晚3
วันนี้5|今天5
เมื่อเช้านี้3|今天早上3
เมื่อบ่ายวาน3|昨天下午3
เมื่อคืน3|昨晚3
ปีที่แล้ว3|去年3
ปีหน้า3|明年3
เดือนที่แล้ว3|上个月3
เดือนหน้า3|下个月3
สัปดาห์ที่แล้ว3|上周3
สัปดาห์หน้า3|下周3
เช้าวันจันทร์3|周一早上3
บ่ายวันศุกร์3|周五下午3
วันหยุดสุดสัปดาห์3|周末3
วันเสาร์อาทิตย์3|周六周日3
พฤศจิกายน3|十一月3
ธันวาคม3|十二月3
มกราคม3|一月3
กุมภาพันธ์3|二月3
มีนาคม3|三月3
เมษายน3|四月3
พฤษภาคม3|五月3
มิถุนายน3|六月3
กรกฎาคม3|七月3
สิงหาคม3|八月3
กันยายน3|九月3
ตุลาคม3|十3
วัน4|天4
สัปดาห์4|周4
เดือน4|月4
ปี4|年4
วันนี้6|今天6
เมื่อวาน4|昨天4
พรุ่งนี้4|明天4
วันจันทร์4|星期一4
วันอังคาร4|星期二4
วันพุธ4|星期三4
วันพฤหัสบดี4|星期四4
วันศุกร์4|星期五4
วันเสาร์4|星期六4
วันอาทิตย์4|星期天4
ตอนเช้า4|早上4
ตอนบ่าย4|下午4
ตอนเย็น4|傍晚4
กลางคืน4|晚上4
เที่ยงวัน4|中午4
เที่ยงคืน4|午夜4
ตอนสาย4|上午4
ตอนค่ำ4|晚上4
เดือนมกราคม4|一月4
เดือนกุมภาพันธ์4|二月4
เดือนมีนาคม4|三月4
เดือนเมษายน4|四月4
เดือนพฤษภาคม4|五月4
เดือนมิถุนายน4|六月4
เดือนกรกฎาคม4|七月4
เดือนสิงหาคม4|八月4
เดือนกันยายน4|九月4
เดือนตุลาคม4|十月4
เดือนพฤศจิกายน4|十一月4
เดือนธันวาคม4|十二月4
ต้นปี4|年初4
กลางปี4|年中4
ปลายปี4|年末4
ปีใหม่4|新年4
ปีเก่า4|旧年4
วันหยุด4|假期4
วันหยุดราชการ4|法定假日4
วันหยุดยาว4|长假4
วันพักผ่อน4|休息日4
วันเกิด4|生日4
วันคริสต์มาส4|圣诞节4
วันปีใหม่4|元旦4
วันสงกรานต์4|泼水节4
วันลอยกระทง4|水灯节4
วันแม่4|母亲节4
วันพ่อ4|父亲节4
วันเด็ก4|儿童节4
วัน Valentine4|情人节4
วันฮาโลวีน4|万圣节4
วัน Thanksgiving4|感恩节4
รอ4|等4
รออีกนิด4|再等一下4
รอนาน4|等很久4
รอสักครู่4|请稍等4
เร็ว4|快4
ช้า4|慢4
ทันเวลา4|准时4
สาย4|迟到4
เร็วเกินไป4|太早4
ตรงเวลา4|准时4
ก่อนเวลา4|提前4
หลังเวลา4|超过时间4
เกินเวลา4|超时4
ทุกวัน4|每天4
ทุกสัปดาห์4|每周4
ทุกเดือน4|每月4
ทุกปี4|每年4
เช้านี้4|今天早上4
บ่ายนี้4|今天下午4
ค่ำนี้4|今晚4
วันนี้7|今天7
เมื่อเช้านี้4|今天早上4
เมื่อบ่ายวาน4|昨天下午4
เมื่อคืน4|昨晚4
ปีที่แล้ว4|去年4
ปีหน้า4|明年4
เดือนที่แล้ว4|上个月4
เดือนหน้า4|下个月4
สัปดาห์ที่แล้ว4|上周4
สัปดาห์หน้า4|下周4
เช้าวันจันทร์4|周一早上4
บ่ายวันศุกร์4|周五下午4
วันหยุดสุดสัปดาห์4|周末4
วันเสาร์อาทิตย์4|周六周日4
พฤศจิกายน4|十一月4
ธันวาคม4|十二月4
มกราคม4|一月4
กุมภาพันธ์4|二月4
มีนาคม4|三月4
เมษายน4|四月4
พฤษภาคม4|五月4
มิถุนายน4|六月4
กรกฎาคม4|七月4
สิงหาคม4|八月4
กันยายน4|九月4
ตุลาคม4|十4
วัน5|天5
สัปดาห์5|周5
เดือน5|月5
ปี5|年5
วันนี้8|今天8
เมื่อวาน5|昨天5
พรุ่งนี้5|明天5
วันจันทร์5|星期一5
วันอังคาร5|星期二5
วันพุธ5|星期三5
วันพฤหัสบดี5|星期四5
วันศุกร์5|星期五5
วันเสาร์5|星期六5
วันอาทิตย์5|星期天5
ตอนเช้า5|早上5
ตอนบ่าย5|下午5
ตอนเย็น5|傍晚5
กลางคืน5|晚上5
เที่ยงวัน5|中午5
เที่ยงคืน5|午夜5
ตอนสาย5|上午5
ตอนค่ำ5|晚上5
เดือนมกราคม5|一月5
เดือนกุมภาพันธ์5|二月5
เดือนมีนาคม5|三月5
เดือนเมษายน5|四月5
เดือนพฤษภาคม5|五月5
เดือนมิถุนายน5|六月5
เดือนกรกฎาคม5|七月5
เดือนสิงหาคม5|八月5
เดือนกันยายน5|九月5
เดือนตุลาคม5|十月5
เดือนพฤศจิกายน5|十一月5
เดือนธันวาคม5|十二月5
ต้นปี5|年初5
กลางปี5|年中5
ปลายปี5|年末5
ปีใหม่5|新年5
ปีเก่า5|旧年5
วันหยุด5|假期5
วันหยุดราชการ5|法定假日5
วันหยุดยาว5|长假5
วันพักผ่อน5|休息日5
วันเกิด5|生日5
วันคริสต์มาส5|圣诞节5
วันปีใหม่5|元旦5
วันสงกรานต์5|泼水节5
วันลอยกระทง5|水灯节5
วันแม่5|母亲节5
วันพ่อ5|父亲节5
วันเด็ก5|儿童节5
วัน Valentine5|情人节5
วันฮาโลวีน5|万圣节5
วัน Thanksgiving5|感恩节5
รอ5|等5
รออีกนิด5|再等一下5
รอนาน5|等很久5
รอสักครู่5|请稍等5
เร็ว5|快5
ช้า5|慢5
ทันเวลา5|准时5
สาย5|迟到5
เร็วเกินไป5|太早5
ตรงเวลา5|准时5
ก่อนเวลา5|提前5
หลังเวลา5|超过时间5
เกินเวลา5|超时5
ทุกวัน5|每天5
ทุกสัปดาห์5|每周5
ทุกเดือน5|每月5
ทุกปี5|每年5
เช้านี้5|今天早上5
บ่ายนี้5|今天下午5
ค่ำนี้5|今晚5
วันนี้9|今天9
เมื่อเช้านี้5|今天早上5
เมื่อบ่ายวาน5|昨天下午5
เมื่อคืน5|昨晚5
ปีที่แล้ว5|去年5
ปีหน้า5|明年5
เดือนที่แล้ว5|上个月5
เดือนหน้า5|下个月5
สัปดาห์ที่แล้ว5|上周5
สัปดาห์หน้า5|下周5
เช้าวันจันทร์5|周一早上5
บ่ายวันศุกร์5|周五下午5
วันหยุดสุดสัปดาห์5|周末5
วันเสาร์อาทิตย์5|周六周日5
พฤศจิกายน5|十一月5
ธันวาคม5|十二月5
มกราคม5|一月5
กุมภาพันธ์5|二月5
มีนาคม5|三月5
เมษายน5|四月5
พฤษภาคม5|五月5
มิถุนายน5|六月5
กรกฎาคม5|七月5
สิงหาคม5|八月5
กันยายน5|九月5
ตุลาคม5|十5
วัน6|天6
สัปดาห์6|周6
เดือน6|月6
ปี6|年6
วันนี้10|今天10
เมื่อวาน6|昨天6
พรุ่งนี้6|明天6
วันจันทร์6|星期一6
วันอังคาร6|星期二6
วันพุธ6|星期三6
วันพฤหัสบดี6|星期四6
วันศุกร์6|星期五6
วันเสาร์6|星期六6
วันอาทิตย์6|星期天6
ตอนเช้า6|早上6
ตอนบ่าย6|下午6
ตอนเย็น6|傍晚6
กลางคืน6|晚上6
เที่ยงวัน6|中午6
เที่ยงคืน6|午夜6
ตอนสาย6|上午6
ตอนค่ำ6|晚上6
เดือนมกราคม6|一月6
เดือนกุมภาพันธ์6|二月6
เดือนมีนาคม6|三月6
เดือนเมษายน6|四月6
เดือนพฤษภาคม6|五月6
เดือนมิถุนายน6|六月6
เดือนกรกฎาคม6|七月6
เดือนสิงหาคม6|八月6
เดือนกันยายน6|九月6
เดือนตุลาคม6|十月6
เดือนพฤศจิกายน6|十一月6
เดือนธันวาคม6|十二月6
ต้นปี6|年初6
กลางปี6|年中6
ปลายปี6|年末6
ปีใหม่6|新年6
ปีเก่า6|旧年6
วันหยุด6|假期6
วันหยุดราชการ6|法定假日6
วันหยุดยาว6|长假6
วันพักผ่อน6|休息日6
วันเกิด6|生日6
วันคริสต์มาส6|圣诞节6
วันปีใหม่6|元旦6
วันสงกรานต์6|泼水节6
วันลอยกระทง6|水灯节6
วันแม่6|母亲节6
วันพ่อ6|父亲节6
วันเด็ก6|儿童节6
วัน Valentine6|情人节6
วันฮาโลวีน6|万圣节6
วัน Thanksgiving6|感恩节6
รอ6|等6
รออีกนิด6|再等一下6
รอนาน6|等很久6
รอสักครู่6|请稍等6
เร็ว6|快6
ช้า6|慢6
ทันเวลา6|准时6
สาย6|迟到6
เร็วเกินไป6|太早6
ตรงเวลา6|准时6
ก่อนเวลา6|提前6
หลังเวลา6|超过时间6
เกินเวลา6|超时6
ทุกวัน6|每天6
ทุกสัปดาห์6|每周6
ทุกเดือน6|每月6
ทุกปี6|每年6
เช้านี้6|今天早上6
บ่ายนี้6|今天下午6
ค่ำนี้6|今晚6
วันนี้11|今天11
เมื่อเช้านี้6|今天早上6
เมื่อบ่ายวาน6|昨天下午6
เมื่อคืน6|昨晚6
ปีที่แล้ว6|去年6
ปีหน้า6|明年6
เดือนที่แล้ว6|上个月6
เดือนหน้า6|下个月6
สัปดาห์ที่แล้ว6|上周6
สัปดาห์หน้า6|下周6
เช้าวันจันทร์6|周一早上6
บ่ายวันศุกร์6|周五下午6
วันหยุดสุดสัปดาห์6|周末6
วันเสาร์อาทิตย์6|周六周日6
พฤศจิกายน6|十一月6
ธันวาคม6|十二月6
มกราคม6|一月6
กุมภาพันธ์6|二月6
มีนาคม6|三月6
เมษายน6|四月6
พฤษภาคม6|五月6
มิถุนายน6|六月6
กรกฎาคม6|七月6
สิงหาคม6|八月6
กันยายน6|九月6
ตุลาคม6|十6
วัน7|天7
สัปดาห์7|周7
เดือน7|月7
ปี7|年7
วันนี้12|今天12
เมื่อวาน7|昨天7
พรุ่งนี้7|明天7
วันจันทร์7|星期一7
วันอังคาร7|星期二7
วันพุธ7|星期三7
วันพฤหัสบดี7|星期四7
วันศุกร์7|星期五7
วันเสาร์7|星期六7
วันอาทิตย์7|星期天7
ตอนเช้า7|早上7
ตอนบ่าย7|下午7
ตอนเย็น7|傍晚7
กลางคืน7|晚上7
เที่ยงวัน7|中午7
เที่ยงคืน7|午夜7
ตอนสาย7|上午7
ตอนค่ำ7|晚上7
เดือนมกราคม7|一月7
เดือนกุมภาพันธ์7|二月7
เดือนมีนาคม7|三月7
เดือนเมษายน7|四月7
เดือนพฤษภาคม7|五月7
เดือนมิถุนายน7|六月7
เดือนกรกฎาคม7|七月7
เดือนสิงหาคม7|八月7
เดือนกันยายน7|九月7
เดือนตุลาคม7|十月7
เดือนพฤศจิกายน7|十一月7
เดือนธันวาคม7|十二月7
ต้นปี7|年初7
กลางปี7|年中7
ปลายปี7|年末7
ปีใหม่7|新年7
ปีเก่า7|旧年7
วันหยุด7|假期7
วันหยุดราชการ7|法定假日7
วันหยุดยาว7|长假7
วันพักผ่อน7|休息日7
วันเกิด7|生日7
วันคริสต์มาส7|圣诞节7
วันปีใหม่7|元旦7
วันสงกรานต์7|泼水节7
วันลอยกระทง7|水灯节7
วันแม่7|母亲节7
วันพ่อ7|父亲节7
วันเด็ก7|儿童节7
วัน Valentine7|情人节7
วันฮาโลวีน7|万圣节7
วัน Thanksgiving7|感恩节7
รอ7|等7
รออีกนิด7|再等一下7
รอนาน7|等很久7
รอสักครู่7|请稍等7
เร็ว7|快7
ช้า7|慢7
ทันเวลา7|准时7
สาย7|迟到7
เร็วเกินไป7|太早7
ตรงเวลา7|准时7
ก่อนเวลา7|提前7
หลังเวลา7|超过时间7
เกินเวลา7|超时7
ทุกวัน7|每天7
ทุกสัปดาห์7|每周7
ทุกเดือน7|每月7
ทุกปี7|每年7
เช้านี้7|今天早上7
บ่ายนี้7|今天下午7
ค่ำนี้7|今晚7
วันนี้13|今天13
เมื่อเช้านี้7|今天早上7
เมื่อบ่ายวาน7|昨天下午7
เมื่อคืน7|昨晚7
ปีที่แล้ว7|去年7
ปีหน้า7|明年7
เดือนที่แล้ว7|上个月7
เดือนหน้า7|下个月7
สัปดาห์ที่แล้ว7|上周7
สัปดาห์หน้า7|下周7
เช้าวันจันทร์7|周一早上7
บ่ายวันศุกร์7|周五下午7
วันหยุดสุดสัปดาห์7|周末7
วันเสาร์อาทิตย์7|周六周日7
พฤศจิกายน7|十一月7
ธันวาคม7|十二月7
มกราคม7|一月7
กุมภาพันธ์7|二月7
มีนาคม7|三月7
เมษายน7|四月7
พฤษภาคม7|五月7
มิถุนายน7|六月7
กรกฎาคม7|七月7
สิงหาคม7|八月7
กันยายน7|九月7
ตุลาคม7|十7
วัน8|天8
สัปดาห์8|周8
เดือน8|月8
ปี8|年8
วันนี้14|今天14
เมื่อวาน8|昨天8
พรุ่งนี้8|明天8
วันจันทร์8|星期一8
วันอังคาร8|星期二8
วันพุธ8|星期三8
วันพฤหัสบดี8|星期四8
วันศุกร์8|星期五8
วันเสาร์8|星期六8
วันอาทิตย์8|星期天8
ตอนเช้า8|早上8
ตอนบ่าย8|下午8
ตอนเย็น8|傍晚8
กลางคืน8|晚上8
เที่ยงวัน8|中午8
เที่ยงคืน8|午夜8
ตอนสาย8|上午8
ตอนค่ำ8|晚上8
เดือนมกราคม8|一月8
เดือนกุมภาพันธ์8|二月8
เดือนมีนาคม8|三月8
เดือนเมษายน8|四月8
เดือนพฤษภาคม8|五月8
เดือนมิถุนายน8|六月8
เดือนกรกฎาคม8|七月8
เดือนสิงหาคม8|八月8
เดือนกันยายน8|九月8
เดือนตุลาคม8|十月8
เดือนพฤศจิกายน8|十一月8
เดือนธันวาคม8|十二月8
ต้นปี8|年初8
กลางปี8|年中8
ปลายปี8|年末8
ปีใหม่8|新年8
ปีเก่า8|旧年8
วันหยุด8|假期8
วันหยุดราชการ8|法定假日8
วันหยุดยาว8|长假8
วันพักผ่อน8|休息日8
วันเกิด8|生日8
วันคริสต์มาส8|圣诞节8
วันปีใหม่8|元旦8
วันสงกรานต์8|泼水节8
วันลอยกระทง8|水灯节8
วันแม่8|母亲节8
วันพ่อ8|父亲节8
วันเด็ก8|儿童节8
วัน Valentine8|情人节8
วันฮาโลวีน8|万圣节8
วัน Thanksgiving8|感恩节8
รอ8|等8
รออีกนิด8|再等一下8
รอนาน8|等很久8
รอสักครู่8|请稍等8
เร็ว8|快8
ช้า8|慢8
ทันเวลา8|准时8
สาย8|迟到8
เร็วเกินไป8|太早8
ตรงเวลา8|准时8
ก่อนเวลา8|提前8
หลังเวลา8|超过时间8
เกินเวลา8|超时8
ทุกวัน8|每天8
ทุกสัปดาห์8|每周8
ทุกเดือน8|每月8
ทุกปี8|每年8
เช้านี้8|今天早上8
บ่ายนี้8|今天下午8
ค่ำนี้8|今晚8
วันนี้15|今天15
เมื่อเช้านี้8|今天早上8
เมื่อบ่ายวาน8|昨天下午8
เมื่อคืน8|昨晚8
ปีที่แล้ว8|去年8
ปีหน้า8|明年8
เดือนที่แล้ว8|上个月8
เดือนหน้า8|下个月8
สัปดาห์ที่แล้ว8|上周8
สัปดาห์หน้า8|下周8
เช้าวันจันทร์8|周一早上8
บ่ายวันศุกร์8|周五下午8
วันหยุดสุดสัปดาห์8|周末8
วันเสาร์อาทิตย์8|周六周日8
พฤศจิกายน8|十一月8
ธันวาคม8|十二月8
มกราคม8|一月8
กุมภาพันธ์8|二月8
มีนาคม8|三月8
เมษายน8|四月8
พฤษภาคม8|五月8
มิถุนายน8|六月8
กรกฎาคม8|七月8
สิงหาคม8|八月8
กันยายน8|九月8
ตุลาคม8|十8
วัน9|天9
สัปดาห์9|周9
เดือน9|月9
ปี9|年9
วันนี้16|今天16
เมื่อวาน9|昨天9
พรุ่งนี้9|明天9
วันจันทร์9|星期一9
วันอังคาร9|星期二9
วันพุธ9|星期三9
วันพฤหัสบดี9|星期四9
วันศุกร์9|星期五9
วันเสาร์9|星期六9
วันอาทิตย์9|星期天9
ตอนเช้า9|早上9
ตอนบ่าย9|下午9
ตอนเย็น9|傍晚9
กลางคืน9|晚上9
เที่ยงวัน9|中午9
เที่ยงคืน9|午夜9
ตอนสาย9|上午9
ตอนค่ำ9|晚上9
เดือนมกราคม9|一月9
เดือนกุมภาพันธ์9|二月9
เดือนมีนาคม9|三月9
เดือนเมษายน9|四月9
เดือนพฤษภาคม9|五月9
เดือนมิถุนายน9|六月9
เดือนกรกฎาคม9|七月9
เดือนสิงหาคม9|八月9
เดือนกันยายน9|九月9
เดือนตุลาคม9|十月9
เดือนพฤศจิกายน9|十一月9
เดือนธันวาคม9|十二月9
ต้นปี9|年初9
กลางปี9|年中9
ปลายปี9|年末9
ปีใหม่9|新年9
ปีเก่า9|旧年9
วันหยุด9|假期9
วันหยุดราชการ9|法定假日9
วันหยุดยาว9|长假9
วันพักผ่อน9|休息日9
วันเกิด9|生日9
วันคริสต์มาส9|圣诞节9
วันปีใหม่9|元旦9
วันสงกรานต์9|泼水节9
วันลอยกระทง9|水灯节9
วันแม่9|母亲节9
วันพ่อ9|父亲节9
วันเด็ก9|儿童节9
วัน Valentine9|情人节9
วันฮาโลวีน9|万圣节9
วัน Thanksgiving9|感恩节9
รอ9|等9
รออีกนิด9|再等一下9
รอนาน9|等很久9
รอสักครู่9|请稍等9
เร็ว9|快9
ช้า9|慢9
ทันเวลา9|准时9
สาย9|迟到9
เร็วเกินไป9|太早9
ตรงเวลา9|准时9
ก่อนเวลา9|提前9
หลังเวลา9|超过时间9
เกินเวลา9|超时9
ทุกวัน9|每天9
ทุกสัปดาห์9|每周9
ทุกเดือน9|每月9
ทุกปี9|每年9
เช้านี้9|今天早上9
บ่ายนี้9|今天下午9
ค่ำนี้9|今晚9
วันนี้17|今天17
เมื่อเช้านี้9|今天早上9
เมื่อบ่ายวาน9|昨天下午9
เมื่อคืน9|昨晚9
ปีที่แล้ว9|去年9
ปีหน้า9|明年9
เดือนที่แล้ว9|上个月9
เดือนหน้า9|下个月9
สัปดาห์ที่แล้ว9|上周9
สัปดาห์หน้า9|下周9
เช้าวันจันทร์9|周一早上9
บ่ายวันศุกร์9|周五下午9
วันหยุดสุดสัปดาห์9|周末9
วันเสาร์อาทิตย์9|周六周日9
พฤศจิกายน9|十一月9
ธันวาคม9|十二月9
มกราคม9|一月9
กุมภาพันธ์9|二月9
มีนาคม9|三月9
เมษายน9|四月9
พฤษภาคม9|五月9
มิถุนายน9|六月9
กรกฎาคม9|七月9
สิงหาคม9|八月9
กันยายน9|九月9
ตุลาคม9|十9
วัน10|天10
สัปดาห์10|周10
เดือน10|月10
ปี10|年10
วันนี้18|今天18
เมื่อวาน10|昨天10
พรุ่งนี้10|明天10
วันจันทร์10|星期一10
วันอังคาร10|星期二10
วันพุธ10|星期三10
วันพฤหัสบดี10|星期四10
วันศุกร์10|星期五10
วันเสาร์10|星期六10
วันอาทิตย์10|星期天10
