วัฒนธรรม|文化
ผ้าไหม|丝绸
ผ้าฝ้าย|棉布
ผ้ามัดย้อม|扎染布
ผ้าทอ|编织布
หัตถกรรม|手工艺
เครื่องปั้นดินเผา|陶瓷
เครื่องเงิน|银器
เครื่องทอง|金器
ตะกร้าสาน|竹篮
จักสาน|编织
แกะสลัก|雕刻
ประดิษฐ์|制作
การกีฬา|体育
มวยไทย|泰拳
ฟุตบอล|足球
วолเลย์บอล|排球
แบดมินตัน|羽毛球
กอล์ฟ|高尔夫
ว่ายน้ำ|游泳
วิ่ง|跑步
ปั่นจักรยาน|骑自行车
เรือยาว|龙舟
เซปักตะกร้อ|藤球
ชกมวย|拳击
ยูโด|柔道
มารยาท|礼仪
วัฒนธรรมการกิน|饮食文化
วัฒนธรรมการทักทาย|问候文化
การไหว้|合十礼
ไหว้พระ|拜佛
ไหว้ผู้ใหญ่|向长辈行礼
การเคารพ|尊重
ความสุภาพ|礼貌
การแต่งกาย|着装
วัฒนธรรมการใช้เท้า|用脚文化
บ้าน|家
สถาปัตยกรรมไทย|泰国建筑
ปราสาท|宫殿
เรือนไทย|泰式房屋
ตลาดน้ำ|水上市场
ตลาด|市场
ชุมชน|社区
หมู่บ้าน|村庄
เมือง|城市
การเดินทาง|旅行
การท่องเที่ยว|旅游
ธรรมชาติ|自然
ป่าไม้|森林
ภูเขา|山
แม่น้ำ|河
ทะเล|海
เกาะ|岛
น้ำตก|瀑布
สัตว์|动物
ช้าง|大象
เสือ|老虎
กระทิง|野牛
กวาง|鹿
ลิง|猴子
นก|鸟
ปลา|鱼
จิ้งจก|壁虎
ตุ๊กแก|壁虎
งู|蛇
กบ|青蛙
ชีวิต|生活
ครอบครัว|家庭
สังคม|社会
เพื่อน|朋友
ความเชื่อ|信仰
โชคลาง|迷信
horoscope|星座
การทำนาย|占卜
หมอผี|巫师
วัฒนธรรม2|文化2
ประเพณี2|传统2
พิธี2|仪式2
พิธีกรรม2|典礼2
เทศกาล2|节日2
สงกรานต์2|泼水节2
ลอยกระทง2|水灯节2
วันสำคัญ2|重要日子2
วันพระ2|佛日2
วันเข้าพรรษา2|入夏节2
วันออกพรรษา2|出夏节2
วันอาสาฬหบูชา2|守夏节2
อาหาร2|食物2
อาหารไทย2|泰国菜2
อาหารท้องถิ่น2|当地菜2
ส้มตำ2|青木瓜沙拉2
ต้มยำ2|冬阴功2
ผัดไทย2|泰式炒粿条2
ข้าวมันไก่2|海南鸡饭2
แกงเขียวหวาน2|绿咖喱2
ศิลปะ2|艺术2
จิตรกรรม2|绘画2
ประติมากรรม2|雕塑2
สถาปัตยกรรม2|建筑2
ดนตรี2|音乐2
ดนตรีไทย2|泰国音乐2
ขิม2|扬琴2
ระนาด2|木琴2
ปี่2|笛子2
กลอง2|鼓2
ฆ้อง2|锣2
ฉิ่ง2|钹2
มโหรี2|乐队2
ลูกทุ่ง2|乡村音乐2
ป็อป2|流行音乐2
รำ2|舞蹈2
รำไทย2|泰国舞蹈2
ฟ้อน2|跳舞2
เล่นงิ้ว2|京剧2
นาฏศิลป์2|表演艺术2
หนัง2|电影2
ละคร2|戏剧2
คอนเสิร์ต2|音乐会2
การแสดง2|表演2
เวที2|舞台2
ศาสนา2|宗教2
พุทธ2|佛教2
คริสต์2|基督教2
อิสลาม2|伊斯兰教2
ฮินดู2|印度教2
วัด2|寺庙2
พระ2|和尚2
แม่ชี2|尼姑2
สวดมนต์2|念经2
ทำบุญ2|积德2
ตักบาตร2|布施2
เวียนเทียน2|绕佛2
ฟังธรรม2|听佛法2
นั่งสมาธิ2|冥想2
ภาษา2|语言2
ภาษาไทย2|泰语2
ภาษาบาลี2|巴利语2
ภาษาเขมร2|高棉语2
ภาษาลาว2|老挝语2
ตัวอักษร2|字母2
พยัญชนะ2|辅音2
สระ2|元音2
วรรณยุกต์2|声调2
การออกเสียง2|发音2
วรรณคดี2|文学2
นวนิยาย2|小说2
กวีนิพนธ์2|诗歌2
บทความ2|文章2
เรื่องสั้น2|短篇小说2
民间传说2|民间传说2
นิทาน2|故事2
ปรัมปรา2|神话2
_legend2|传说2
เสื้อผ้า2|衣服2
ชุดไทย2|泰国服装2
ชุดประจำชาติ2|民族服装2
ผ้าไทย2|泰国布2
ผ้าไหม2|丝绸2
ผ้าฝ้าย2|棉布2
ผ้ามัดย้อม2|扎染布2
ผ้าทอ2|编织布2
หัตถกรรม2|手工艺2
เครื่องปั้นดินเผา2|陶瓷2
เครื่องเงิน2|银器2
เครื่องทอง2|金器2
ตะกร้าสาน2|竹篮2
จักสาน2|编织2
แกะสลัก2|雕刻2
ประดิษฐ์2|制作2
การกีฬา2|体育2
มวยไทย2|泰拳2
ฟุตบอล2|足球2
วолเลย์บอล2|排球2
แบดมินตัน2|羽毛球2
กอล์ฟ2|高尔夫2
ว่ายน้ำ2|游泳2
วิ่ง2|跑步2
ปั่นจักรยาน2|骑自行车2
เรือยาว2|龙舟2
เซปักตะกร้อ2|藤球2
ชกมวย2|拳击2
ยูโด2|柔道2
มารยาท2|礼仪2
วัฒนธรรมการกิน2|饮食文化2
วัฒนธรรมการทักทาย2|问候文化2
การไหว้2|合十礼2
ไหว้พระ2|拜佛2
ไหว้ผู้ใหญ่2|向长辈行礼2
การเคารพ2|尊重2
ความสุภาพ2|礼貌2
การแต่งกาย2|着装2
วัฒนธรรมการใช้เท้า2|用脚文化2
บ้าน2|家2
สถาปัตยกรรมไทย2|泰国建筑2
วัด3|寺庙3
ปราสาท2|宫殿2
เรือนไทย2|泰式房屋2
ตลาดน้ำ2|水上市场2
ตลาด2|市场2
ชุมชน2|社区2
หมู่บ้าน2|村庄2
เมือง2|城市2
การเดินทาง2|旅行2
การท่องเที่ยว2|旅游2
ธรรมชาติ2|自然2
ป่าไม้2|森林2
ภูเขา2|山2
แม่น้ำ2|河2
ทะเล2|海2
เกาะ2|岛2
น้ำตก2|瀑布2
สัตว์2|动物2
ช้าง2|大象2
เสือ2|老虎2
กระทิง2|野牛2
กวาง2|鹿2
ลิง2|猴子2
นก2|鸟2
ปลา2|鱼2
จิ้งจก2|壁虎2
ตุ๊กแก2|壁虎2
งู2|蛇2
กบ2|青蛙2
ชีวิต2|生活2
ครอบครัว2|家庭2
สังคม2|社会2
ชุมชน3|社区3
เพื่อน2|朋友2
ความเชื่อ2|信仰2
โชคลาง2|迷信2
horoscope2|星座2
การทำนาย2|占卜2
หมอผี2|巫师2
วัฒนธรรม3|文化3
ประเพณี3|传统3
พิธี3|仪式3
พิธีกรรม3|典礼3
เทศกาล3|节日3
สงกรานต์3|泼水节3
ลอยกระทง3|水灯节3
วันสำคัญ3|重要日子3
วันพระ3|佛日3
วันเข้าพรรษา3|入夏节3
วันออกพรรษา3|出夏节3
วันอาสาฬหบูชา3|守夏节3
อาหาร3|食物3
อาหารไทย3|泰国菜3
อาหารท้องถิ่น3|当地菜3
ส้มตำ3|青木瓜沙拉3
ต้มยำ3|冬阴功3
ผัดไทย3|泰式炒粿条3
ข้าวมันไก่3|海南鸡饭3
แกงเขียวหวาน3|绿咖喱3
ศิลปะ3|艺术3
จิตรกรรม3|绘画3
ประติมากรรม3|雕塑3
สถาปัตยกรรม3|建筑3
ดนตรี3|音乐3
ดนตรีไทย3|泰国音乐3
ขิม3|扬琴3
ระนาด3|木琴3
ปี่3|笛子3
กลอง3|鼓3
ฆ้อง3|锣3
ฉิ่ง3|钹3
มโหรี3|乐队3
ลูกทุ่ง3|乡村音乐3
ป็อป3|流行音乐3
รำ3|舞蹈3
รำไทย3|泰国舞蹈3
ฟ้อน3|跳舞3
เล่นงิ้ว3|京剧3
นาฏศิลป์3|表演艺术3
หนัง3|电影3
ละคร3|戏剧3
คอนเสิร์ต3|音乐会3
การแสดง3|表演3
เวที3|舞台3
ศาสนา3|宗教3
พุทธ3|佛教3
คริสต์3|基督教3
อิสลาม3|伊斯兰教3
ฮินดู3|印度教3
วัด4|寺庙4
พระ3|和尚3
แม่ชี3|尼姑3
สวดมนต์3|念经3
ทำบุญ3|积德3
ตักบาตร3|布施3
เวียนเทียน3|绕佛3
ฟังธรรม3|听佛法3
นั่งสมาธิ3|冥想3
ภาษา3|语言3
ภาษาไทย3|泰语3
ภาษาบาลี3|巴利语3
ภาษาเขมร3|高棉语3
ภาษาลาว3|老挝语3
ตัวอักษร3|字母3
พยัญชนะ3|辅音3
สระ3|元音3
วรรณยุกต์3|声调3
การออกเสียง3|发音3
วรรณคดี3|文学3
นวนิยาย3|小说3
กวีนิพนธ์3|诗歌3
บทความ3|文章3
เรื่องสั้น3|短篇小说3
民间传说3|民间传说3
นิทาน3|故事3
ปรัมปรา3|神话3
_legend3|传说3
เสื้อผ้า3|衣服3
ชุดไทย3|泰国服装3
ชุดประจำชาติ3|民族服装3
ผ้าไทย3|泰国布3
ผ้าไหม3|丝绸3
ผ้าฝ้าย3|棉布3
ผ้ามัดย้อม3|扎染布3
ผ้าทอ3|编织布3
หัตถกรรม3|手工艺3
เครื่องปั้นดินเผา3|陶瓷3
เครื่องเงิน3|银器3
เครื่องทอง3|金器3
ตะกร้าสาน3|竹篮3
จักสาน3|编织3
แกะสลัก3|雕刻3
ประดิษฐ์3|制作3
การกีฬา3|体育3
มวยไทย3|泰拳3
ฟุตบอล3|足球3
วолเลย์บอล3|排球3
แบดมินตัน3|羽毛球3
กอล์ฟ3|高尔夫3
ว่ายน้ำ3|游泳3
วิ่ง3|跑步3
ปั่นจักรยาน3|骑自行车3
เรือยาว3|龙舟3
เซปักตะกร้อ3|藤球3
ชกมวย3|拳击3
ยูโด3|柔道3
มารยาท3|礼仪3
วัฒนธรรมการกิน3|饮食文化3
วัฒนธรรมการทักทาย3|问候文化3
การไหว้3|合十礼3
ไหว้พระ3|拜佛3
ไหว้ผู้ใหญ่3|向长辈行礼3
การเคารพ3|尊重3
ความสุภาพ3|礼貌3
การแต่งกาย3|着装3
วัฒนธรรมการใช้เท้า3|用脚文化3
บ้าน3|家3
สถาปัตยกรรมไทย3|泰国建筑3
วัด5|寺庙5
ปราสาท3|宫殿3
เรือนไทย3|泰式房屋3
ตลาดน้ำ3|水上市场3
ตลาด3|市场3
ชุมชน4|社区4
หมู่บ้าน3|村庄3
เมือง3|城市3
การเดินทาง3|旅行3
การท่องเที่ยว3|旅游3
ธรรมชาติ3|自然3
ป่าไม้3|森林3
ภูเขา3|山3
แม่น้ำ3|河3
ทะเล3|海3
เกาะ3|岛3
น้ำตก3|瀑布3
สัตว์3|动物3
ช้าง3|大象3
เสือ3|老虎3
กระทิง3|野牛3
กวาง3|鹿3
ลิง3|猴子3
นก3|鸟3
ปลา3|鱼3
จิ้งจก3|壁虎3
ตุ๊กแก3|壁虎3
งู3|蛇3
กบ3|青蛙3
ชีวิต3|生活3
ครอบครัว3|家庭3
สังคม3|社会3
ชุมชน5|社区5
เพื่อน3|朋友3
ความเชื่อ3|信仰3
โชคลาง3|迷信3
horoscope3|星座3
การทำนาย3|占卜3
หมอผี3|巫师3
วัฒนธรรม4|文化4
ประเพณี4|传统4
พิธี4|仪式4
พิธีกรรม4|典礼4
เทศกาล4|节日4
สงกรานต์4|泼水节4
ลอยกระทง4|水灯节4
วันสำคัญ4|重要日子4
วันพระ4|佛日4
วันเข้าพรรษา4|入夏节4
วันออกพรรษา4|出夏节4
วันอาสาฬหบูชา4|守夏节4
อาหาร4|食物4
อาหารไทย4|泰国菜4
อาหารท้องถิ่น4|当地菜4
ส้มตำ4|青木瓜沙拉4
ต้มยำ4|冬阴功4
ผัดไทย4|泰式炒粿条4
ข้าวมันไก่4|海南鸡饭4
แกงเขียวหวาน4|绿咖喱4
ศิลปะ4|艺术4
จิตรกรรม4|绘画4
ประติมากรรม4|雕塑4
สถาปัตยกรรม4|建筑4
ดนตรี4|音乐4
ดนตรีไทย4|泰国音乐4
ขิม4|扬琴4
ระนาด4|木琴4
ปี่4|笛子4
กลอง4|鼓4
ฆ้อง4|锣4
ฉิ่ง4|钹4
มโหรี4|乐队4
ลูกทุ่ง4|乡村音乐4
ป็อป4|流行音乐4
รำ4|舞蹈4
รำไทย4|泰国舞蹈4
ฟ้อน4|跳舞4
เล่นงิ้ว4|京剧4
นาฏศิลป์4|表演艺术4
หนัง4|电影4
ละคร4|戏剧4
คอนเสิร์ต4|音乐会4
การแสดง4|表演4
เวที4|舞台4
ศาสนา4|宗教4
พุทธ4|佛教4
คริสต์4|基督教4
อิสลาม4|伊斯兰教4
ฮินดู4|印度教4
วัด6|寺庙6
พระ4|和尚4
แม่ชี4|尼姑4
สวดมนต์4|念经4
ทำบุญ4|积德4
ตักบาตร4|布施4
เวียนเทียน4|绕佛4
ฟังธรรม4|听佛法4
นั่งสมาธิ4|冥想4
ภาษา4|语言4
ภาษาไทย4|泰语4
ภาษาบาลี4|巴利语4
ภาษาเขมร4|高棉语4
ภาษาลาว4|老挝语4
ตัวอักษร4|字母4
พยัญชนะ4|辅音4
สระ4|元音4
วรรณยุกต์4|声调4
การออกเสียง4|发音4
วรรณคดี4|文学4
นวนิยาย4|小说4
กวีนิพนธ์4|诗歌4
บทความ4|文章4
เรื่องสั้น4|短篇小说4
民间传说4|民间传说4
นิทาน4|故事4
ปรัมปรา4|神话4
_legend4|传说4
เสื้อผ้า4|衣服4
ชุดไทย4|泰国服装4
ชุดประจำชาติ4|民族服装4
ผ้าไทย4|泰国布4
ผ้าไหม4|丝绸4
ผ้าฝ้าย4|棉布4
ผ้ามัดย้อม4|扎染布4
ผ้าทอ4|编织布4
หัตถกรรม4|手工艺4
เครื่องปั้นดินเผา4|陶瓷4
เครื่องเงิน4|银器4
เครื่องทอง4|金器4
ตะกร้าสาน4|竹篮4
จักสาน4|编织4
แกะสลัก4|雕刻4
ประดิษฐ์4|制作4
การกีฬา4|体育4
มวยไทย4|泰拳4
ฟุตบอล4|足球4
วолเลย์บอล4|排球4
แบดมินตัน4|羽毛球4
กอล์ฟ4|高尔夫4
ว่ายน้ำ4|游泳4
วิ่ง4|跑步4
ปั่นจักรยาน4|骑自行车4
เรือยาว4|龙舟4
เซปักตะกร้อ4|藤球4
ชกมวย4|拳击4
ยูโด4|柔道4
มารยาท4|礼仪4
วัฒนธรรมการกิน4|饮食文化4
วัฒนธรรมการทักทาย4|问候文化4
การไหว้4|合十礼4
ไหว้พระ4|拜佛4
ไหว้ผู้ใหญ่4|向长辈行礼4
การเคารพ4|尊重4
ความสุภาพ4|礼貌4
การแต่งกาย4|着装4
วัฒนธรรมการใช้เท้า4|用脚文化4
บ้าน4|家4
สถาปัตยกรรมไทย4|泰国建筑4
วัด7|寺庙7
ปราสาท4|宫殿4
เรือนไทย4|泰式房屋4
ตลาดน้ำ4|水上市场4
ตลาด4|市场4
ชุมชน6|社区6
หมู่บ้าน4|村庄4
เมือง4|城市4
การเดินทาง4|旅行4
การท่องเที่ยว4|旅游4
ธรรมชาติ4|自然4
ป่าไม้4|森林4
ภูเขา4|山4
แม่น้ำ4|河4
ทะเล4|海4
เกาะ4|岛4
น้ำตก4|瀑布4
สัตว์4|动物4
ช้าง4|大象4
เสือ4|老虎4
กระทิง4|野牛4
กวาง4|鹿4
ลิง4|猴子4
นก4|鸟4
ปลา4|鱼4
จิ้งจก4|壁虎4
ตุ๊กแก4|壁虎4
งู4|蛇4
กบ4|青蛙4
ชีวิต4|生活4
ครอบครัว4|家庭4
สังคม4|社会4
ชุมชน7|社区7
เพื่อน4|朋友4
ความเชื่อ4|信仰4
โชคลาง4|迷信4
horoscope4|星座4
การทำนาย4|占卜4
หมอผี4|巫师4
วัฒนธรรม5|文化5
ประเพณี5|传统5
พิธี5|仪式5
พิธีกรรม5|典礼5
เทศกาล5|节日5
สงกรานต์5|泼水节5
ลอยกระทง5|水灯节5
วันสำคัญ5|重要日子5
วันพระ5|佛日5
วันเข้าพรรษา5|入夏节5
วันออกพรรษา5|出夏节5
วันอาสาฬหบูชา5|守夏节5
อาหาร5|食物5
อาหารไทย5|泰国菜5
อาหารท้องถิ่น5|当地菜5
ส้มตำ5|青木瓜沙拉5
ต้มยำ5|冬阴功5
ผัดไทย5|泰式炒粿条5
ข้าวมันไก่5|海南鸡饭5
แกงเขียวหวาน5|绿咖喱5
ศิลปะ5|艺术5
จิตรกรรม5|绘画5
ประติมากรรม5|雕塑5
สถาปัตยกรรม5|建筑5
ดนตรี5|音乐5
ดนตรีไทย5|泰国音乐5
ขิม5|扬琴5
ระนาด5|木琴5
ปี่5|笛子5
กลอง5|鼓5
ฆ้อง5|锣5
ฉิ่ง5|钹5
มโหรี5|乐队5
ลูกทุ่ง5|乡村音乐5
ป็อป5|流行音乐5
รำ5|舞蹈5
รำไทย5|泰国舞蹈5
ฟ้อน5|跳舞5
เล่นงิ้ว5|京剧5
นาฏศิลป์5|表演艺术5
หนัง5|电影5
ละคร5|戏剧5
คอนเสิร์ต5|音乐会5
การแสดง5|表演5
เวที5|舞台5
ศาสนา5|宗教5
พุทธ5|佛教5
คริสต์5|基督教5
อิสลาม5|伊斯兰教5
ฮินดู5|印度教5
วัด8|寺庙8
พระ5|和尚5
แม่ชี5|尼姑5
สวดมนต์5|念经5
ทำบุญ5|积德5
ตักบาตร5|布施5
เวียนเทียน5|绕佛5
ฟังธรรม5|听佛法5
นั่งสมาธิ5|冥想5
ภาษา5|语言5
ภาษาไทย5|泰语5
ภาษาบาลี5|巴利语5
ภาษาเขมร5|高棉语5
ภาษาลาว5|老挝语5
ตัวอักษร5|字母5
พยัญชนะ5|辅音5
สระ5|元音5
วรรณยุกต์5|声调5
การออกเสียง5|发音5
วรรณคดี5|文学5
นวนิยาย5|小说5
กวีนิพนธ์5|诗歌5
บทความ5|文章5
เรื่องสั้น5|短篇小说5
民间传说5|民间传说5
นิทาน5|故事5
ปรัมปรา5|神话5
_legend5|传说5
เสื้อผ้า5|衣服5
ชุดไทย5|泰国服装5
ชุดประจำชาติ5|民族服装5
ผ้าไทย5|泰国布5
ผ้าไหม5|丝绸5
ผ้าฝ้าย5|棉布5
ผ้ามัดย้อม5|扎染布5
ผ้าทอ5|编织布5
หัตถกรรม5|手工艺5
เครื่องปั้นดินเผา5|陶瓷5
เครื่องเงิน5|银器5
เครื่องทอง5|金器5
ตะกร้าสาน5|竹篮5
จักสาน5|编织5
แกะสลัก5|雕刻5
ประดิษฐ์5|制作5
การกีฬา5|体育5
มวยไทย5|泰拳5
ฟุตบอล5|足球5
วолเลย์บอล5|排球5
แบดมินตัน5|羽毛球5
กอล์ฟ5|高尔夫5
ว่ายน้ำ5|游泳5
วิ่ง5|跑步5
ปั่นจักรยาน5|骑自行车5
เรือยาว5|龙舟5
เซปักตะกร้อ5|藤球5
ชกมวย5|拳击5
ยูโด5|柔道5
มารยาท5|礼仪5
วัฒนธรรมการกิน5|饮食文化5
วัฒนธรรมการทักทาย5|问候文化5
การไหว้5|合十礼5
ไหว้พระ5|拜佛5
ไหว้ผู้ใหญ่5|向长辈行礼5
การเคารพ5|尊重5
ความสุภาพ5|礼貌5
การแต่งกาย5|着装5
วัฒนธรรมการใช้เท้า5|用脚文化5
บ้าน5|家5
สถาปัตยกรรมไทย5|泰国建筑5
วัด9|寺庙9
ปราสาท5|宫殿5
เรือนไทย5|泰式房屋5
ตลาดน้ำ5|水上市场5
ตลาด5|市场5
ชุมชน8|社区8
หมู่บ้าน5|村庄5
เมือง5|城市5
การเดินทาง5|旅行5
การท่องเที่ยว5|旅游5
ธรรมชาติ5|自然5
ป่าไม้5|森林5
ภูเขา5|山5
แม่น้ำ5|河5
ทะเล5|海5
เกาะ5|岛5
น้ำตก5|瀑布5
สัตว์5|动物5
ช้าง5|大象5
เสือ5|老虎5
กระทิง5|野牛5
กวาง5|鹿5
ลิง5|猴子5
นก5|鸟5
ปลา5|鱼5
จิ้งจก5|壁虎5
ตุ๊กแก5|壁虎5
งู5|蛇5
กบ5|青蛙5
ชีวิต5|生活5
ครอบครัว5|家庭5
สังคม5|社会5
ชุมชน9|社区9
เพื่อน5|朋友5
ความเชื่อ5|信仰5
โชคลาง5|迷信5
horoscope5|星座5
การทำนาย5|占卜5
หมอผี5|巫师5
วัฒนธรรม6|文化6
ประเพณี6|传统6
พิธี6|仪式6
พิธีกรรม6|典礼6
เทศกาล6|节日6
สงกรานต์6|泼水节6
ลอยกระทง6|水灯节6
วันสำคัญ6|重要日子6
วันพระ6|佛日6
วันเข้าพรรษา6|入夏节6
วันออกพรรษา6|出夏节6
วันอาสาฬหบูชา6|守夏节6
อาหาร6|食物6
อาหารไทย6|泰国菜6
อาหารท้องถิ่น6|当地菜6
ส้มตำ6|青木瓜沙拉6
ต้มยำ6|冬阴功6
ผัดไทย6|泰式炒粿条6
ข้าวมันไก่6|海南鸡饭6
แกงเขียวหวาน6|绿咖喱6
ศิลปะ6|艺术6
จิตรกรรม6|绘画6
ประติมากรรม6|雕塑6
สถาปัตยกรรม6|建筑6
ดนตรี6|音乐6
ดนตรีไทย6|泰国音乐6
ขิม6|扬琴6
ระนาด6|木琴6
ปี่6|笛子6
กลอง6|鼓6
ฆ้อง6|锣6
ฉิ่ง6|钹6
มโหรี6|乐队6
ลูกทุ่ง6|乡村音乐6
ป็อป6|流行音乐6
รำ6|舞蹈6
รำไทย6|泰国舞蹈6
ฟ้อน6|跳舞6
เล่นงิ้ว6|京剧6
นาฏศิลป์6|表演艺术6
หนัง6|电影6
ละคร6|戏剧6
คอนเสิร์ต6|音乐会6
การแสดง6|表演6
เวที6|舞台6
ศาสนา6|宗教6
พุทธ6|佛教6
คริสต์6|基督教6
อิสลาม6|伊斯兰教6
ฮินดู6|印度教6
วัด10|寺庙10
พระ6|和尚6
แม่ชี6|尼姑6
สวดมนต์6|念经6
ทำบุญ6|积德6
ตักบาตร6|布施6
เวียนเทียน6|绕佛6
ฟังธรรม6|听佛法6
นั่งสมาธิ6|冥想6
ภาษา6|语言6
ภาษาไทย6|泰语6
ภาษาบาลี6|巴利语6
ภาษาเขมร6|高棉语6
ภาษาลาว6|老挝语6
ตัวอักษร6|字母6
พยัญชนะ6|辅音6
สระ6|元音6
วรรณยุกต์6|声调6
การออกเสียง6|发音6
วรรณคดี6|文学6
นวนิยาย6|小说6
กวีนิพนธ์6|诗歌6
บทความ6|文章6
เรื่องสั้น6|短篇小说6
民间传说6|民间传说6
นิทาน6|故事6
ปรัมปรา6|神话6
_legend6|传说6
เสื้อผ้า6|衣服6
ชุดไทย6|泰国服装6
ชุดประจำชาติ6|民族服装6
ผ้าไทย6|泰国布6
ผ้าไหม6|丝绸6
ผ้าฝ้าย6|棉布6
ผ้ามัดย้อม6|扎染布6
ผ้าทอ6|编织布6
หัตถกรรม6|手工艺6
เครื่องปั้นดินเผา6|陶瓷6
เครื่องเงิน6|银器6
เครื่องทอง6|金器6
ตะกร้าสาน6|竹篮6
จักสาน6|编织6
แกะสลัก6|雕刻6
ประดิษฐ์6|制作6
การกีฬา6|体育6
มวยไทย6|泰拳6
ฟุตบอล6|足球6
วолเลย์บอล6|排球6
แบดมินตัน6|羽毛球6
กอล์ฟ6|高尔夫6
ว่ายน้ำ6|游泳6
วิ่ง6|跑步6
ปั่นจักรยาน6|骑自行车6
เรือยาว6|龙舟6
เซปักตะกร้อ6|藤球6
ชกมวย6|拳击6
