ตื่นนอน|起床
เย็นสบาย|凉爽
อากาศ|天气
ฤดูฝน|雨季
ฤดูร้อน|热季
ฤดูหนาว|冷季
พายุ|暴风雨
ฟ้าผ่า|闪电
น้ำท่วม|洪水
ภัยธรรมชาติ|自然灾害
แผ่นดินไหว|地震
สึนามิ|海啸
อร่อย|好吃
ไม่อร่อย|不好吃
เผ็ด|辣
เปรี้ยว|酸
หวาน|甜
เค็ม|咸
จืด|淡
มัน|油腻
กรอบ|脆
นุ่ม|软
เหนียว|粘
ร่วน|松软
ร้อน|烫
เย็น|凉
สด|新鲜
เน่า|腐烂
บูด|变质
เสีย|坏了
อุ่น|温热
ร้อนจัด|滚烫
เย็นจัด|冰凉
แช่แข็ง|冷冻
ละลาย|融化
ล้าง|清洗
ล้างมือ|洗手
ล้างเนื้อ|洗肉
หั่น|切
สับ|剁
หั่นเป็นชิ้น|切块
หั่นเป็นแว่น|切片
หั่นฝอย|切丝
ปรุงรส|调味
ใส่เกลือ|加盐
ใส่น้ำตาล|加糖
ใส่พริก|加辣椒
ใส่น้ำมัน|加油
ต้ม|煮
ต้มเส้น|煮面
ต้มผัก|煮菜
ทอด|炸
ทอดไก่|炸鸡
ทอดปลา|炸鱼
ทอดมัน|炸丸子
ผัด|炒
ผัดผัก|炒菜
ผัดหมี่|炒面
ผัดข้าว|炒饭
ผัดกะเพรา|炒罗勒
ย่าง|烤
ย่างไก่|烤鸡
ย่างปลา|烤鱼
ย่างกุ้ง|烤虾
นึ่ง|蒸
นึ่งข้าว|蒸饭
นึ่งไข่|蒸蛋
นึ่งผัก|蒸菜
ยำ|拌
ยำวุ้นเส้น|拌粉丝
ยำมะม่วง|拌芒果
ยำถั่วพลู|拌豆叶
ยำทะเล|拌海鲜
ลาบ|碎肉沙拉
ลาบหมู|猪肉碎沙拉
ลาบไก่|鸡肉碎沙拉
ลาบเนื้อ|牛肉碎沙拉
ส้มตำ|青木瓜沙拉
ตำปู|腌蟹沙拉
ตำไทย|泰式沙拉
ตำลาว|老挝沙拉
น้ำจิ้ม|蘸酱
น้ำจิ้มซีฟู้ด|海鲜酱
น้ำจิ้มถั่ว|花生酱
น้ำจิ้มพริก|辣椒酱
ข้าว|米饭
ข้าวสวย|白米饭
ข้าวเหนียว|糯米饭
ข้าวกล้อง|糙米
ข้าวไรซ์เบอร์รี่|红米
ก๋วยเตี๋ยว|面条
บะหมี่|黄面条
วุ้นเส้น|粉丝
เส้นจันท์|粿条
ขนมจีน|米线
ข้าวผัด|炒饭
ข้าวผัดกระเทียม|蒜蓉炒饭
ข้าวผัดไข่|蛋炒饭
ข้าวผัดกุ้ง|虾仁炒饭
แกง|咖喱
แกงเขียวหวาน|绿咖喱
แกงเผ็ด|红咖喱
แกงกะหรี่|黄咖喱
แกงมัสมั่น|马沙曼咖喱
ต้มยำ|冬阴功汤
ต้มข่า|椰奶鸡汤
แกงส้ม|酸咖喱
แกงจืด|清汤
จิ้มจุ่ม|火锅
สุกี้ยากี้|日式火锅
ชาบู|涮涮锅
หมูกะทะ|烤肉
ปิ้งย่าง|烧烤
ข้าวซอย|泰北咖喱面
ข้าวมันไก่|海南鸡饭
ข้าวหมูแดง|叉烧饭
ข้าวหน้าเป็ด|鸭肉饭
ผัดไทย|泰式炒粿条
ผัดซีอิ๊ว|酱油炒面
ผัดหมูสับ|肉末炒面
ผัดกะเพราหมู|罗勒炒猪肉
ลาบหมู|猪肉沙拉
ไส้กรอก|香肠
หมูยอ|猪肉肠
แหนม|酸肉
ไข่ต้ม|水煮蛋
ไข่ดาว|煎蛋
ไข่คน|炒蛋
ไข่ลวก|溏心蛋
ไข่เจียว|蛋饼
นม|牛奶
น้ำส้ม|橙汁
น้ำมะพร้าว|椰子水
น้ำมะนาว|柠檬水
น้ำอัดลม|汽水
กาแฟ|咖啡
ชา|茶
ชาเขียว|绿茶
ชาไทย|泰式奶茶
ชาดำ|红茶
เบียร์|啤酒
ไวน์|葡萄酒
สุรา|烈酒
เหล้า|酒
ค็อกเทล|鸡尾酒
ไอศกรีม|冰淇淋
ขนมหวาน|甜点
เค้ก|蛋糕
คุกกี้|饼干
พาย|派
ขนมปัง|面包
โดนัท|甜甜圈
เวเฟอร์|威化
ช็อกโกแลต|巧克力
ลูกอม|糖果
เช้า2|早上2
กลางวัน2|中午2
เย็น2|傍晚2
ค่ำ2|晚上2
ดึก2|深夜2
สว่าง2|天亮2
มืด2|天黑2
ฝนตก2|下雨2
แดดออก2|出太阳2
ลมแรง2|大风2
หนาว2|冷2
ร้อน2|热2
ชื้น2|潮湿2
แห้ง2|干燥2
อบอุ่น2|温暖2
เย็นสบาย2|凉爽2
อากาศ2|天气2
ฤดูฝน2|雨季2
ฤดูร้อน2|热季2
ฤดูหนาว2|冷季2
พายุ2|暴风雨2
ฟ้าผ่า2|闪电2
น้ำท่วม2|洪水2
ภัยธรรมชาติ2|自然灾害2
แผ่นดินไหว2|地震2
สึนามิ2|海啸2
อร่อย2|好吃2
ไม่อร่อย2|不好吃2
เผ็ด2|辣2
เปรี้ยว2|酸2
หวาน2|甜2
เค็ม2|咸2
จืด2|淡2
มัน2|油腻2
กรอบ2|脆2
นุ่ม2|软2
เหนียว2|粘2
ร่วน2|松软2
ร้อน2|烫2
เย็น2|凉2
สด2|新鲜2
เน่า2|腐烂2
บูด2|变质2
เสีย2|坏了2
อุ่น2|温热2
ร้อนจัด2|滚烫2
เย็นจัด2|冰凉2
แช่แข็ง2|冷冻2
ละลาย2|融化2
ล้าง2|清洗2
ล้างมือ2|洗手2
ล้างจาน2|洗碗2
ล้างผัก2|洗菜2
ล้างเนื้อ2|洗肉2
หั่น2|切2
สับ2|剁2
หั่นเป็นชิ้น2|切块2
หั่นเป็นแว่น2|切片2
หั่นฝอย2|切丝2
ปรุงรส2|调味2
ใส่เกลือ2|加盐2
ใส่น้ำตาล2|加糖2
ใส่พริก2|加辣椒2
ใส่น้ำมัน2|加油2
ต้ม2|煮2
ต้มน้ำ2|烧水2
ต้มไข่2|煮蛋2
ต้มเส้น2|煮面2
ต้มผัก2|煮菜2
ทอด2|炸2
ทอดไข่2|煎蛋2
ทอดไก่2|炸鸡2
ทอดปลา2|炸鱼2
ทอดมัน2|炸丸子2
ผัด2|炒2
ผัดผัก2|炒菜2
ผัดหมี่2|炒面2
ผัดข้าว2|炒饭2
ผัดกะเพรา2|炒罗勒2
ย่าง2|烤2
ย่างเนื้อ2|烤肉2
ย่างไก่2|烤鸡2
ย่างปลา2|烤鱼2
ย่างกุ้ง2|烤虾2
นึ่ง2|蒸2
นึ่งข้าว2|蒸饭2
นึ่งปลา2|蒸鱼2
นึ่งไข่2|蒸蛋2
นึ่งผัก2|蒸菜2
ยำ2|拌2
ยำวุ้นเส้น2|拌粉丝2
ยำมะม่วง2|拌芒果2
ยำถั่วพลู2|拌豆叶2
ยำทะเล2|拌海鲜2
ลาบ2|碎肉沙拉2
ลาบหมู2|猪肉碎沙拉2
ลาบไก่2|鸡肉碎沙拉2
ลาบเนื้อ2|牛肉碎沙拉2
ส้มตำ2|青木瓜沙拉2
ตำปู2|腌蟹沙拉2
ตำไทย2|泰式沙拉2
ตำลาว2|老挝沙拉2
น้ำจิ้ม2|蘸酱2
น้ำจิ้มซีฟู้ด2|海鲜酱2
น้ำจิ้มถั่ว2|花生酱2
น้ำจิ้มพริก2|辣椒酱2
ข้าว2|米饭2
ข้าวสวย2|白米饭2
ข้าวเหนียว2|糯米饭2
ข้าวกล้อง2|糙米2
ข้าวไรซ์เบอร์รี่2|红米2
ก๋วยเตี๋ยว2|面条2
บะหมี่2|黄面条2
วุ้นเส้น2|粉丝2
เส้นจันท์2|粿条2
ขนมจีน2|米线2
ข้าวผัด2|炒饭2
ข้าวผัดกระเทียม2|蒜蓉炒饭2
ข้าวผัดไข่2|蛋炒饭2
ข้าวผัดกุ้ง2|虾仁炒饭2
แกง2|咖喱2
แกงเขียวหวาน2|绿咖喱2
แกงเผ็ด2|红咖喱2
แกงกะหรี่2|黄咖喱2
แกงมัสมั่น2|马沙曼咖喱2
ต้มยำ2|冬阴功汤2
ต้มข่า2|椰奶鸡汤2
แกงส้ม2|酸咖喱2
แกงจืด2|清汤2
จิ้มจุ่ม2|火锅2
สุกี้ยากี้2|日式火锅2
ชาบู2|涮涮锅2
หมูกะทะ2|烤肉2
ปิ้งย่าง2|烧烤2
ข้าวซอย2|泰北咖喱面2
ข้าวมันไก่2|海南鸡饭2
ข้าวหมูแดง2|叉烧饭2
ข้าวหน้าเป็ด2|鸭肉饭2
ผัดไทย2|泰式炒粿条2
ผัดซีอิ๊ว2|酱油炒面2
ผัดหมูสับ2|肉末炒面2
ผัดกะเพราหมู2|罗勒炒猪肉2
ส้มตำ3|青木瓜沙拉3
ลาบหมู2|猪肉沙拉2
ไส้กรอก2|香肠2
หมูยอ2|猪肉肠2
แหนม2|酸肉2
ไข่ต้ม2|水煮蛋2
ไข่ดาว2|煎蛋2
ไข่คน2|炒蛋2
ไข่ลวก2|溏心蛋2
ไข่เจียว2|蛋饼2
นม2|牛奶2
น้ำส้ม2|橙汁2
น้ำมะพร้าว2|椰子水2
น้ำมะนาว2|柠檬水2
น้ำอัดลม2|汽水2
กาแฟ2|咖啡2
ชา2|茶2
ชาเขียว2|绿茶2
ชาไทย2|泰式奶茶2
ชาดำ2|红茶2
เบียร์2|啤酒2
ไวน์2|葡萄酒2
สุรา2|烈酒2
เหล้า2|酒2
ค็อกเทล2|鸡尾酒2
ไอศกรีม2|冰淇淋2
ขนมหวาน2|甜点2
เค้ก2|蛋糕2
คุกกี้2|饼干2
พาย2|派2
ขนมปัง2|面包2
โดนัท2|甜甜圈2
เวเฟอร์2|威化2
ช็อกโกแลต2|巧克力2
ลูกอม2|糖果2
เช้า3|早上3
กลางวัน3|中午3
เย็น3|傍晚3
ค่ำ3|晚上3
ดึก3|深夜3
สว่าง3|天亮3
มืด3|天黑3
ฝนตก3|下雨3
แดดออก3|出太阳3
ลมแรง3|大风3
หนาว3|冷3
ร้อน3|热3
ชื้น3|潮湿3
แห้ง3|干燥3
อบอุ่น3|温暖3
เย็นสบาย3|凉爽3
อากาศ3|天气3
ฤดูฝน3|雨季3
ฤดูร้อน3|热季3
ฤดูหนาว3|冷季3
พายุ3|暴风雨3
ฟ้าผ่า3|闪电3
น้ำท่วม3|洪水3
ภัยธรรมชาติ3|自然灾害3
แผ่นดินไหว3|地震3
สึนามิ3|海啸3
อร่อย3|好吃3
ไม่อร่อย3|不好吃3
เผ็ด3|辣3
เปรี้ยว3|酸3
หวาน3|甜3
เค็ม3|咸3
จืด3|淡3
มัน3|油腻3
กรอบ3|脆3
นุ่ม3|软3
เหนียว3|粘3
ร่วน3|松软3
ร้อน3|烫3
เย็น3|凉3
สด3|新鲜3
เน่า3|腐烂3
บูด3|变质3
เสีย3|坏了3
อุ่น3|温热3
ร้อนจัด3|滚烫3
เย็นจัด3|冰凉3
แช่แข็ง3|冷冻3
ละลาย3|融化3
ล้าง3|清洗3
ล้างมือ3|洗手3
ล้างจาน3|洗碗3
ล้างผัก3|洗菜3
ล้างเนื้อ3|洗肉3
หั่น3|切3
สับ3|剁3
หั่นเป็นชิ้น3|切块3
หั่นเป็นแว่น3|切片3
หั่นฝอย3|切丝3
ปรุงรส3|调味3
ใส่เกลือ3|加盐3
ใส่น้ำตาล3|加糖3
ใส่พริก3|加辣椒3
ใส่น้ำมัน3|加油3
ต้ม3|煮3
ต้มน้ำ3|烧水3
ต้มไข่3|煮蛋3
ต้มเส้น3|煮面3
ต้มผัก3|煮菜3
ทอด3|炸3
ทอดไข่3|煎蛋3
ทอดไก่3|炸鸡3
ทอดปลา3|炸鱼3
ทอดมัน3|炸丸子3
ผัด3|炒3
ผัดผัก3|炒菜3
ผัดหมี่3|炒面3
ผัดข้าว3|炒饭3
ผัดกะเพรา3|炒罗勒3
ย่าง3|烤3
ย่างเนื้อ3|烤肉3
ย่างไก่3|烤鸡3
ย่างปลา3|烤鱼3
ย่างกุ้ง3|烤虾3
นึ่ง3|蒸3
นึ่งข้าว3|蒸饭3
นึ่งปลา3|蒸鱼3
นึ่งไข่3|蒸蛋3
นึ่งผัก3|蒸菜3
ยำ3|拌3
ยำวุ้นเส้น3|拌粉丝3
ยำมะม่วง3|拌芒果3
ยำถั่วพลู3|拌豆叶3
ยำทะเล3|拌海鲜3
ลาบ3|碎肉沙拉3
ลาบหมู3|猪肉碎沙拉3
ลาบไก่3|鸡肉碎沙拉3
ลาบเนื้อ3|牛肉碎沙拉3
ส้มตำ4|青木瓜沙拉4
ตำปู3|腌蟹沙拉3
ตำไทย3|泰式沙拉3
ตำลาว3|老挝沙拉3
น้ำจิ้ม3|蘸酱3
น้ำจิ้มซีฟู้ด3|海鲜酱3
น้ำจิ้มถั่ว3|花生酱3
น้ำจิ้มพริก3|辣椒酱3
ข้าว3|米饭3
ข้าวสวย3|白米饭3
ข้าวเหนียว3|糯米饭3
ข้าวกล้อง3|糙米3
ข้าวไรซ์เบอร์รี่3|红米3
ก๋วยเตี๋ยว3|面条3
บะหมี่3|黄面条3
วุ้นเส้น3|粉丝3
เส้นจันท์3|粿条3
ขนมจีน3|米线3
ข้าวผัด3|炒饭3
ข้าวผัดกระเทียม3|蒜蓉炒饭3
ข้าวผัดไข่3|蛋炒饭3
ข้าวผัดกุ้ง3|虾仁炒饭3
แกง3|咖喱3
แกงเขียวหวาน3|绿咖喱3
แกงเผ็ด3|红咖喱3
แกงกะหรี่3|黄咖喱3
แกงมัสมั่น3|马沙曼咖喱3
ต้มยำ3|冬阴功汤3
ต้มข่า3|椰奶鸡汤3
แกงส้ม3|酸咖喱3
แกงจืด3|清汤3
จิ้มจุ่ม3|火锅3
สุกี้ยากี้3|日式火锅3
ชาบู3|涮涮锅3
หมูกะทะ3|烤肉3
ปิ้งย่าง3|烧烤3
ข้าวซอย3|泰北咖喱面3
ข้าวมันไก่3|海南鸡饭3
ข้าวหมูแดง3|叉烧饭3
ข้าวหน้าเป็ด3|鸭肉饭3
ผัดไทย3|泰式炒粿条3
ผัดซีอิ๊ว3|酱油炒面3
ผัดหมูสับ3|肉末炒面3
ผัดกะเพราหมู3|罗勒炒猪肉3
ส้มตำ5|青木瓜沙拉5
ลาบหมู3|猪肉沙拉3
ไส้กรอก3|香肠3
หมูยอ3|猪肉肠3
แหนม3|酸肉3
ไข่ต้ม3|水煮蛋3
ไข่ดาว3|煎蛋3
ไข่คน3|炒蛋3
ไข่ลวก3|溏心蛋3
ไข่เจียว3|蛋饼3
นม3|牛奶3
น้ำส้ม3|橙汁3
น้ำมะพร้าว3|椰子水3
น้ำมะนาว3|柠檬水3
น้ำอัดลม3|汽水3
กาแฟ3|咖啡3
ชา3|茶3
ชาเขียว3|绿茶3
ชาไทย3|泰式奶茶3
ชาดำ3|红茶3
เบียร์3|啤酒3
ไวน์3|葡萄酒3
สุรา3|烈酒3
เหล้า3|酒3
ค็อกเทล3|鸡尾酒3
ไอศกรีม3|冰淇淋3
ขนมหวาน3|甜点3
เค้ก3|蛋糕3
คุกกี้3|饼干3
พาย3|派3
ขนมปัง3|面包3
โดนัท3|甜甜圈3
เวเฟอร์3|威化3
ช็อกโกแลต3|巧克力3
ลูกอม3|糖果3
เช้า4|早上4
กลางวัน4|中午4
เย็น4|傍晚4
ค่ำ4|晚上4
ดึก4|深夜4
สว่าง4|天亮4
มืด4|天黑4
ฝนตก4|下雨4
แดดออก4|出太阳4
ลมแรง4|大风4
หนาว4|冷4
ร้อน4|热4
ชื้น4|潮湿4
แห้ง4|干燥4
อบอุ่น4|温暖4
เย็นสบาย4|凉爽4
อากาศ4|天气4
ฤดูฝน4|雨季4
ฤดูร้อน4|热季4
ฤดูหนาว4|冷季4
พายุ4|暴风雨4
ฟ้าผ่า4|闪电4
น้ำท่วม4|洪水4
ภัยธรรมชาติ4|自然灾害4
แผ่นดินไหว4|地震4
สึนามิ4|海啸4
อร่อย4|好吃4
ไม่อร่อย4|不好吃4
เผ็ด4|辣4
เปรี้ยว4|酸4
หวาน4|甜4
เค็ม4|咸4
จืด4|淡4
มัน4|油腻4
กรอบ4|脆4
นุ่ม4|软4
เหนียว4|粘4
ร่วน4|松软4
ร้อน4|烫4
เย็น4|凉4
สด4|新鲜4
เน่า4|腐烂4
บูด4|变质4
เสีย4|坏了4
อุ่น4|温热4
ร้อนจัด4|滚烫4
เย็นจัด4|冰凉4
แช่แข็ง4|冷冻4
ละลาย4|融化4
ล้าง4|清洗4
ล้างมือ4|洗手4
ล้างจาน4|洗碗4
ล้างผัก4|洗菜4
ล้างเนื้อ4|洗肉4
หั่น4|切4
สับ4|剁4
หั่นเป็นชิ้น4|切块4
หั่นเป็นแว่น4|切片4
หั่นฝอย4|切丝4
ปรุงรส4|调味4
ใส่เกลือ4|加盐4
ใส่น้ำตาล4|加糖4
ใส่พริก4|加辣椒4
ใส่น้ำมัน4|加油4
ต้ม4|煮4
ต้มน้ำ4|烧水4
ต้มไข่4|煮蛋4
ต้มเส้น4|煮面4
ต้มผัก4|煮菜4
