บ้าน|家
ร้านขายเสื้อผ้า2|服装店2
ร้านรองเท้า2|鞋店2
ร้านเครื่องประดับ2|珠宝店2
ร้านแว่นตา2|眼镜店2
ร้านซ่อม2|维修店2
ร้านตัดผม2|理发店2
ร้านสปา2|SPA馆2
ร้านนวด2|按摩店2
สนามบิน2|机场2
สถานีรถไฟ2|火车站2
สถานีรถตู้2|小巴站2
ท่าเรือ2|码头2
สถานีรถไฟฟ้า2|地铁站2
สถานี BTS2|轻轨站2
สถานี MRT2|地铁站2
ป้ายรถเมล์2|公交站2
ที่จอดรถ2|停车场2
ทางด่วน2|高速公路2
ถนน2|马路2
ซอย2|小巷2
สะพาน2|桥2
อุโมงค์2|隧道2
สี่แยก2|十字路口2
วงเวียน2|环岛2
ทางเท้า2|人行道2
จุดจอด2|停靠站2
วัด2|寺庙2
โบสถ์2|教堂2
มัสยิด2|清真寺2
ศาลเจ้า2|神社2
ศาลหลักเมือง2|城隍庙2
สวนสาธารณะ2|公园2
สวนสาธารณะ3|公园3
สนามกีฬา2|运动场2
สนามฟุตบอล2|足球场2
สนามบาสเกตบอล2|篮球场2
สนามเทนนิส2|网球场2
สนามกอล์ฟ2|高尔夫球场2
สระว่ายน้ำ2|游泳池2
สวนสัตว์2|动物园2
อควาเรียม2|水族馆2
พิพิธภัณฑ์2|博物馆2
หอศิลป์2|美术馆2
โรงมหรสพ2|剧院2
โรงภาพยนตร์2|电影院2
โรงละคร2|剧场2
โรงเต็มรูปแบบ2|全功能剧院2
เกาะ2|岛2
ชายหาด2|海滩2
ภูเขา2|山2
น้ำตก2|瀑布2
ถ้ำ2|洞穴2
ป่า2|森林2
ทะเลสาบ2|湖2
แม่น้ำ2|河流2
คลอง2|运河2
อ่างเก็บน้ำ2|水库2
น้ำพุ2|喷泉2
 לאורจันทร์2|月光下2
ใต้ต้นไม้2|树下2
บนเนินเขา2|山上2
ชายป่า2|森林边缘2
บ้าน3|家3
คอนโด3|公寓3
คอนโดมิเนียม3|高级公寓3
ทาวน์โฮม3|联排别墅3
บ้านเดี่ยว3|独栋别墅3
ห้อง3|房间3
ห้องนอน3|卧室3
ห้องนั่งเล่น3|客厅3
ห้องครัว3|厨房3
ห้องน้ำ3|浴室3
ห้องรับแขก3|会客室3
ห้องทำงาน3|书房3
ห้องเก็บของ3|储藏室3
ระเบียง3|阳台3
ดาดฟ้า3|天台3
สนาม3|场地3
สนามหญ้า3|草坪3
สวน3|花园3
สระน้ำ3|游泳池3
โรงจอดรถ3|车库3
โรงเรียน3|学校3
มหาวิทยาลัย3|大学3
วิทยาลัย3|学院3
โรงเรียนประถม3|小学3
โรงเรียนมัธยม3|中学3
สถาบันกวดวิชา3|补习班3
ห้องสมุด3|图书馆3
ห้องปฏิบัติการ3|实验室3
โรงพยาบาล3|医院3
คลินิก3|诊所3
ร้านขายยา3|药店3
ห้องฉุกเฉิน3|急诊室3
ห้องผ่าตัด3|手术室3
ห้องแล็บ3|化验室3
แผนก3|科室3
แผนกอายุรกรรม3|内科3
แผนกศัลยกรรม3|外科3
แผนกสูตินรีเวช3|妇产科3
แผนกกุมารเวช3|儿科3
แผนกทันตกรรม3|牙科3
แผนกตา3|眼科3
ห้างสรรพสินค้า3|百货商场3
ซุปเปอร์มาร์เก็ต3|超市3
ร้านสะดวกซื้อ3|便利店3
ตลาด3|市场3
ตลาดสด3|菜市场3
ตลาดนัด3|跳蚤市场3
ตลาดกลางคืน3|夜市3
ฟู้ดคอร์ด3|美食广场3
ร้านอาหาร3|餐厅3
ร้านกาแฟ3|咖啡馆3
ร้านเบเกอรี่3|面包店3
ร้านไอศกรีม3|冰淇淋店3
ร้านขายเสื้อผ้า3|服装店3
ร้านรองเท้า3|鞋店3
ร้านเครื่องประดับ3|珠宝店3
ร้านแว่นตา3|眼镜店3
ร้านซ่อม3|维修店3
ร้านตัดผม3|理发店3
ร้านสปา3|SPA馆3
ร้านนวด3|按摩店3
สนามบิน3|机场3
สถานีรถไฟ3|火车站3
สถานีรถตู้3|小巴站3
ท่าเรือ3|码头3
สถานีรถไฟฟ้า3|地铁站3
สถานี BTS3|轻轨站3
สถานี MRT3|地铁站3
ป้ายรถเมล์3|公交站3
ที่จอดรถ3|停车场3
ทางด่วน3|高速公路3
ถนน3|马路3
ซอย3|小巷3
สะพาน3|桥3
อุโมงค์3|隧道3
สี่แยก3|十字路口3
วงเวียน3|环岛3
ทางเท้า3|人行道3
จุดจอด3|停靠站3
วัด3|寺庙3
โบสถ์3|教堂3
มัสยิด3|清真寺3
ศาลเจ้า3|神社3
ศาลหลักเมือง3|城隍庙3
สวนสาธารณะ4|公园4
สวนสาธารณะ5|公园5
สนามกีฬา3|运动场3
สนามฟุตบอล3|足球场3
สนามบาสเกตบอล3|篮球场3
สนามเทนนิส3|网球场3
สนามกอล์ฟ3|高尔夫球场3
สระว่ายน้ำ3|游泳池3
สวนสัตว์3|动物园3
อควาเรียม3|水族馆3
พิพิธภัณฑ์3|博物馆3
หอศิลป์3|美术馆3
โรงมหรสพ3|剧院3
โรงภาพยนตร์3|电影院3
โรงละคร3|剧场3
โรงเต็มรูปแบบ3|全功能剧院3
เกาะ3|岛3
ชายหาด3|海滩3
ภูเขา3|山3
น้ำตก3|瀑布3
ถ้ำ3|洞穴3
ป่า3|森林3
ทะเลสาบ3|湖3
แม่น้ำ3|河流3
คลอง3|运河3
อ่างเก็บน้ำ3|水库3
น้ำพุ3|喷泉3
 לאורจันทร์3|月光下3
ใต้ต้นไม้3|树下3
บนเนินเขา3|山上3
ชายป่า3|森林边缘3
บ้าน4|家4
คอนโด4|公寓4
คอนโดมิเนียม4|高级公寓4
ทาวน์โฮม4|联排别墅4
บ้านเดี่ยว4|独栋别墅4
ห้อง4|房间4
ห้องนอน4|卧室4
ห้องนั่งเล่น4|客厅4
ห้องครัว4|厨房4
ห้องน้ำ4|浴室4
ห้องรับแขก4|会客室4
ห้องทำงาน4|书房4
ห้องเก็บของ4|储藏室4
ระเบียง4|阳台4
ดาดฟ้า4|天台4
สนาม4|场地4
สนามหญ้า4|草坪4
สวน4|花园4
สระน้ำ4|游泳池4
โรงจอดรถ4|车库4
โรงเรียน4|学校4
มหาวิทยาลัย4|大学4
วิทยาลัย4|学院4
โรงเรียนประถม4|小学4
โรงเรียนมัธยม4|中学4
สถาบันกวดวิชา4|补习班4
ห้องสมุด4|图书馆4
ห้องปฏิบัติการ4|实验室4
โรงพยาบาล4|医院4
คลินิก4|诊所4
ร้านขายยา4|药店4
ห้องฉุกเฉิน4|急诊室4
ห้องผ่าตัด4|手术室4
ห้องแล็บ4|化验室4
แผนก4|科室4
แผนกอายุรกรรม4|内科4
แผนกศัลยกรรม4|外科4
แผนกสูตินรีเวช4|妇产科4
แผนกกุมารเวช4|儿科4
แผนกทันตกรรม4|牙科4
แผนกตา4|眼科4
ห้างสรรพสินค้า4|百货商场4
ซุปเปอร์มาร์เก็ต4|超市4
ร้านสะดวกซื้อ4|便利店4
ตลาด4|市场4
ตลาดสด4|菜市场4
ตลาดนัด4|跳蚤市场4
ตลาดกลางคืน4|夜市4
ฟู้ดคอร์ด4|美食广场4
ร้านอาหาร4|餐厅4
ร้านกาแฟ4|咖啡馆4
ร้านเบเกอรี่4|面包店4
ร้านไอศกรีม4|冰淇淋店4
ร้านขายเสื้อผ้า4|服装店4
ร้านรองเท้า4|鞋店4
ร้านเครื่องประดับ4|珠宝店4
ร้านแว่นตา4|眼镜店4
ร้านซ่อม4|维修店4
ร้านตัดผม4|理发店4
ร้านสปา4|SPA馆4
ร้านนวด4|按摩店4
สนามบิน4|机场4
สถานีรถไฟ4|火车站4
สถานีรถตู้4|小巴站4
ท่าเรือ4|码头4
สถานีรถไฟฟ้า4|地铁站4
สถานี BTS4|轻轨站4
สถานี MRT4|地铁站4
ป้ายรถเมล์4|公交站4
ที่จอดรถ4|停车场4
ทางด่วน4|高速公路4
ถนน4|马路4
ซอย4|小巷4
สะพาน4|桥4
อุโมงค์4|隧道4
สี่แยก4|十字路口4
วงเวียน4|环岛4
ทางเท้า4|人行道4
จุดจอด4|停靠站4
วัด4|寺庙4
โบสถ์4|教堂4
มัสยิด4|清真寺4
ศาลเจ้า4|神社4
ศาลหลักเมือง4|城隍庙4
สวนสาธารณะ6|公园6
สวนสาธารณะ7|公园7
สนามกีฬา4|运动场4
สนามฟุตบอล4|足球场4
สนามบาสเกตบอล4|篮球场4
สนามเทนนิส4|网球场4
สนามกอล์ฟ4|高尔夫球场4
สระว่ายน้ำ4|游泳池4
สวนสัตว์4|动物园4
อควาเรียม4|水族馆4
พิพิธภัณฑ์4|博物馆4
หอศิลป์4|美术馆4
โรงมหรสพ4|剧院4
โรงภาพยนตร์4|电影院4
โรงละคร4|剧场4
โรงเต็มรูปแบบ4|全功能剧院4
เกาะ4|岛4
ชายหาด4|海滩4
ภูเขา4|山4
น้ำตก4|瀑布4
ถ้ำ4|洞穴4
ป่า4|森林4
ทะเลสาบ4|湖4
แม่น้ำ4|河流4
คลอง4|运河4
อ่างเก็บน้ำ4|水库4
น้ำพุ4|喷泉4
 לאורจันทร์4|月光下4
ใต้ต้นไม้4|树下4
บนเนินเขา4|山上4
ชายป่า4|森林边缘4
บ้าน5|家5
คอนโด5|公寓5
คอนโดมิเนียม5|高级公寓5
ทาวน์โฮม5|联排别墅5
บ้านเดี่ยว5|独栋别墅5
ห้อง5|房间5
ห้องนอน5|卧室5
ห้องนั่งเล่น5|客厅5
ห้องครัว5|厨房5
ห้องน้ำ5|浴室5
ห้องรับแขก5|会客室5
ห้องทำงาน5|书房5
ห้องเก็บของ5|储藏室5
ระเบียง5|阳台5
ดาดฟ้า5|天台5
สนาม5|场地5
สนามหญ้า5|草坪5
สวน5|花园5
สระน้ำ5|游泳池5
โรงจอดรถ5|车库5
โรงเรียน5|学校5
มหาวิทยาลัย5|大学5
วิทยาลัย5|学院5
โรงเรียนประถม5|小学5
โรงเรียนมัธยม5|中学5
สถาบันกวดวิชา5|补习班5
ห้องสมุด5|图书馆5
ห้องปฏิบัติการ5|实验室5
โรงพยาบาล5|医院5
คลินิก5|诊所5
ร้านขายยา5|药店5
ห้องฉุกเฉิน5|急诊室5
ห้องผ่าตัด5|手术室5
ห้องแล็บ5|化验室5
แผนก5|科室5
แผนกอายุรกรรม5|内科5
แผนกศัลยกรรม5|外科5
แผนกสูตินรีเวช5|妇产科5
แผนกกุมารเวช5|儿科5
แผนกทันตกรรม5|牙科5
แผนกตา5|眼科5
ห้างสรรพสินค้า5|百货商场5
ซุปเปอร์มาร์เก็ต5|超市5
ร้านสะดวกซื้อ5|便利店5
ตลาด5|市场5
ตลาดสด5|菜市场5
ตลาดนัด5|跳蚤市场5
ตลาดกลางคืน5|夜市5
ฟู้ดคอร์ด5|美食广场5
ร้านอาหาร5|餐厅5
ร้านกาแฟ5|咖啡馆5
ร้านเบเกอรี่5|面包店5
ร้านไอศกรีม5|冰淇淋店5
ร้านขายเสื้อผ้า5|服装店5
ร้านรองเท้า5|鞋店5
ร้านเครื่องประดับ5|珠宝店5
ร้านแว่นตา5|眼镜店5
ร้านซ่อม5|维修店5
ร้านตัดผม5|理发店5
ร้านสปา5|SPA馆5
ร้านนวด5|按摩店5
สนามบิน5|机场5
สถานีรถไฟ5|火车站5
สถานีรถตู้5|小巴站5
ท่าเรือ5|码头5
สถานีรถไฟฟ้า5|地铁站5
สถานี BTS5|轻轨站5
สถานี MRT5|地铁站5
ป้ายรถเมล์5|公交站5
ที่จอดรถ5|停车场5
ทางด่วน5|高速公路5
ถนน5|马路5
ซอย5|小巷5
สะพาน5|桥5
อุโมงค์5|隧道5
สี่แยก5|十字路口5
วงเวียน5|环岛5
ทางเท้า5|人行道5
จุดจอด5|停靠站5
วัด5|寺庙5
โบสถ์5|教堂5
มัสยิด5|清真寺5
ศาลเจ้า5|神社5
ศาลหลักเมือง5|城隍庙5
สวนสาธารณะ8|公园8
สวนสาธารณะ9|公园9
สนามกีฬา5|运动场5
สนามฟุตบอล5|足球场5
สนามบาสเกตบอล5|篮球场5
สนามเทนนิส5|网球场5
สนามกอล์ฟ5|高尔夫球场5
สระว่ายน้ำ5|游泳池5
สวนสัตว์5|动物园5
อควาเรียม5|水族馆5
พิพิธภัณฑ์5|博物馆5
หอศิลป์5|美术馆5
โรงมหรสพ5|剧院5
โรงภาพยนตร์5|电影院5
โรงละคร5|剧场5
โรงเต็มรูปแบบ5|全功能剧院5
เกาะ5|岛5
ชายหาด5|海滩5
ภูเขา5|山5
น้ำตก5|瀑布5
ถ้ำ5|洞穴5
ป่า5|森林5
ทะเลสาบ5|湖5
แม่น้ำ5|河流5
คลอง5|运河5
อ่างเก็บน้ำ5|水库5
น้ำพุ5|喷泉5
 לאורจันทร์5|月光下5
ใต้ต้นไม้5|树下5
บนเนินเขา5|山上5
ชายป่า5|森林边缘5
บ้าน6|家6
คอนโด6|公寓6
คอนโดมิเนียม6|高级公寓6
ทาวน์โฮม6|联排别墅6
บ้านเดี่ยว6|独栋别墅6
ห้อง6|房间6
ห้องนอน6|卧室6
ห้องนั่งเล่น6|客厅6
ห้องครัว6|厨房6
ห้องน้ำ6|浴室6
ห้องรับแขก6|会客室6
ห้องทำงาน6|书房6
ห้องเก็บของ6|储藏室6
ระเบียง6|阳台6
ดาดฟ้า6|天台6
สนาม6|场地6
สนามหญ้า6|草坪6
สวน6|花园6
สระน้ำ6|游泳池6
โรงจอดรถ6|车库6
โรงเรียน6|学校6
มหาวิทยาลัย6|大学6
วิทยาลัย6|学院6
โรงเรียนประถม6|小学6
โรงเรียนมัธยม6|中学6
สถาบันกวดวิชา6|补习班6
ห้องสมุด6|图书馆6
ห้องปฏิบัติการ6|实验室6
โรงพยาบาล6|医院6
คลินิก6|诊所6
ร้านขายยา6|药店6
ห้องฉุกเฉิน6|急诊室6
ห้องผ่าตัด6|手术室6
ห้องแล็บ6|化验室6
แผนก6|科室6
แผนกอายุรกรรม6|内科6
แผนกศัลยกรรม6|外科6
แผนกสูตินรีเวช6|妇产科6
แผนกกุมารเวช6|儿科6
แผนกทันตกรรม6|牙科6
แผนกตา6|眼科6
ห้างสรรพสินค้า6|百货商场6
ซุปเปอร์มาร์เก็ต6|超市6
ร้านสะดวกซื้อ6|便利店6
ตลาด6|市场6
ตลาดสด6|菜市场6
ตลาดนัด6|跳蚤市场6
ตลาดกลางคืน6|夜市6
ฟู้ดคอร์ด6|美食广场6
ร้านอาหาร6|餐厅6
ร้านกาแฟ6|咖啡馆6
ร้านเบเกอรี่6|面包店6
ร้านไอศกรีม6|冰淇淋店6
ร้านขายเสื้อผ้า6|服装店6
ร้านรองเท้า6|鞋店6
ร้านเครื่องประดับ6|珠宝店6
ร้านแว่นตา6|眼镜店6
ร้านซ่อม6|维修店6
ร้านตัดผม6|理发店6
ร้านสปา6|SPA馆6
ร้านนวด6|按摩店6
สนามบิน6|机场6
สถานีรถไฟ6|火车站6
สถานีรถตู้6|小巴站6
ท่าเรือ6|码头6
สถานีรถไฟฟ้า6|地铁站6
สถานี BTS6|轻轨站6
สถานี MRT6|地铁站6
ป้ายรถเมล์6|公交站6
ที่จอดรถ6|停车场6
ทางด่วน6|高速公路6
ถนน6|马路6
ซอย6|小巷6
สะพาน6|桥6
อุโมงค์6|隧道6
สี่แยก6|十字路口6
วงเวียน6|环岛6
ทางเท้า6|人行道6
จุดจอด6|停靠站6
วัด6|寺庙6
โบสถ์6|教堂6
มัสยิด6|清真寺6
ศาลเจ้า6|神社6
ศาลหลักเมือง6|城隍庙6
สวนสาธารณะ10|公园10
สวนสาธารณะ11|公园11
สนามกีฬา6|运动场6
สนามฟุตบอล6|足球场6
สนามบาสเกตบอล6|篮球场6
สนามเทนนิส6|网球场6
สนามกอล์ฟ6|高尔夫球场6
สระว่ายน้ำ6|游泳池6
สวนสัตว์6|动物园6
อควาเรียม6|水族馆6
พิพิธภัณฑ์6|博物馆6
หอศิลป์6|美术馆6
โรงมหรสพ6|剧院6
โรงภาพยนตร์6|电影院6
โรงละคร6|剧场6
โรงเต็มรูปแบบ6|全功能剧院6
เกาะ6|岛6
ชายหาด6|海滩6
ภูเขา6|山6
น้ำตก6|瀑布6
ถ้ำ6|洞穴6
ป่า6|森林6
ทะเลสาบ6|湖6
แม่น้ำ6|河流6
คลอง6|运河6
อ่างเก็บน้ำ6|水库6
น้ำพุ6|喷泉6
 לאורจันทร์6|月光下6
ใต้ต้นไม้6|树下6
บนเนินเขา6|山上6
ชายป่า6|森林边缘6
บ้าน7|家7
คอนโด7|公寓7
คอนโดมิเนียม7|高级公寓7
ทาวน์โฮม7|联排别墅7
บ้านเดี่ยว7|独栋别墅7
ห้อง7|房间7
ห้องนอน7|卧室7
ห้องนั่งเล่น7|客厅7
ห้องครัว7|厨房7
ห้องน้ำ7|浴室7
ห้องรับแขก7|会客室7
ห้องทำงาน7|书房7
ห้องเก็บของ7|储藏室7
ระเบียง7|阳台7
ดาดฟ้า7|天台7
สนาม7|场地7
สนามหญ้า7|草坪7
สวน7|花园7
สระน้ำ7|游泳池7
โรงจอดรถ7|车库7
โรงเรียน7|学校7
มหาวิทยาลัย7|大学7
วิทยาลัย7|学院7
โรงเรียนประถม7|小学7
โรงเรียนมัธยม7|中学7
สถาบันกวดวิชา7|补习班7
ห้องสมุด7|图书馆7
ห้องปฏิบัติการ7|实验室7
โรงพยาบาล7|医院7
คลินิก7|诊所7
ร้านขายยา7|药店7
ห้องฉุกเฉิน7|急诊室7
ห้องผ่าตัด7|手术室7
ห้องแล็บ7|化验室7
แผนก7|科室7
แผนกอายุรกรรม7|内科7
แผนกศัลยกรรม7|外科7
แผนกสูตินรีเวช7|妇产科7
แผนกกุมารเวช7|儿科7
แผนกทันตกรรม7|牙科7
แผนกตา7|眼科7
ห้างสรรพสินค้า7|百货商场7
ซุปเปอร์มาร์เก็ต7|超市7
ร้านสะดวกซื้อ7|便利店7
ตลาด7|市场7
ตลาดสด7|菜市场7
ตลาดนัด7|跳蚤市场7
ตลาดกลางคืน7|夜市7
ฟู้ดคอร์ด7|美食广场7
ร้านอาหาร7|餐厅7
ร้านกาแฟ7|咖啡馆7
ร้านเบเกอรี่7|面包店7
ร้านไอศกรีม7|冰淇淋店7
ร้านขายเสื้อผ้า7|服装店7
ร้านรองเท้า7|鞋店7
ร้านเครื่องประดับ7|珠宝店7
ร้านแว่นตา7|眼镜店7
ร้านซ่อม7|维修店7
ร้านตัดผม7|理发店7
ร้านสปา7|SPA馆7
ร้านนวด7|按摩店7
สนามบิน7|机场7
สถานีรถไฟ7|火车站7
สถานีรถตู้7|小巴站7
ท่าเรือ7|码头7
สถานีรถไฟฟ้า7|地铁站7
สถานี BTS7|轻轨站7
สถานี MRT7|地铁站7
ป้ายรถเมล์7|公交站7
ที่จอดรถ7|停车场7
ทางด่วน7|高速公路7
ถนน7|马路7
ซอย7|小巷7
สะพาน7|桥7
อุโมงค์7|隧道7
สี่แยก7|十字路口7
วงเวียน7|环岛7
ทางเท้า7|人行道7
จุดจอด7|停靠站7
วัด7|寺庙7
โบสถ์7|教堂7
มัสยิด7|清真寺7
ศาลเจ้า7|神社7
ศาลหลักเมือง7|城隍庙7
สวนสาธารณะ12|公园12
สวนสาธารณะ13|公园13
สนามกีฬา7|运动场7
สนามฟุตบอล7|足球场7
สนามบาสเกตบอล7|篮球场7
สนามเทนนิส7|网球场7
สนามกอล์ฟ7|高尔夫球场7
สระว่ายน้ำ7|游泳池7
สวนสัตว์7|动物园7
อควาเรียม7|水族馆7
พิพิธภัณฑ์7|博物馆7
หอศิลป์7|美术馆7
โรงมหรสพ7|剧院7
โรงภาพยนตร์7|电影院7
โรงละคร7|剧场7
โรงเต็มรูปแบบ7|全功能剧院7
เกาะ7|岛7
ชายหาด7|海滩7
ภูเขา7|山7
น้ำตก7|瀑布7
ถ้ำ7|洞穴7
ป่า7|森林7
ทะเลสาบ7|湖7
แม่น้ำ7|河流7
คลอง7|运河7
อ่างเก็บน้ำ7|水库7
น้ำพุ7|喷泉7
 לאורจันทร์7|月光下7
ใต้ต้นไม้7|树下7
บนเนินเขา7|山上7
ชายป่า7|森林边缘7
บ้าน8|家8
คอนโด8|公寓8
คอนโดมิเนียม8|高级公寓8
ทาวน์โฮม8|联排别墅8
บ้านเดี่ยว8|独栋别墅8
ห้อง8|房间8
ห้องนอน8|卧室8
ห้องนั่งเล่น8|客厅8
ห้องครัว8|厨房8
ห้องน้ำ8|浴室8
ห้องรับแขก8|会客室8
ห้องทำงาน8|书房8
ห้องเก็บของ8|储藏室8
ระเบียง8|阳台8
ดาดฟ้า8|天台8
สนาม8|场地8
สนามหญ้า8|草坪8
สวน8|花园8
สระน้ำ8|游泳池8
โรงจอดรถ8|车库8
โรงเรียน8|学校8
มหาวิทยาลัย8|大学8
วิทยาลัย8|学院8
โรงเรียนประถม8|小学8
โรงเรียนมัธยม8|中学8
สถาบันกวดวิชา8|补习班8
ห้องสมุด8|图书馆8
ห้องปฏิบัติการ8|实验室8
โรงพยาบาล8|医院8
คลินิก8|诊所8
ร้านขายยา8|药店8
ห้องฉุกเฉิน8|急诊室8
ห้องผ่าตัด8|手术室8
ห้องแล็บ8|化验室8
แผนก8|科室8
แผนกอายุรกรรม8|内科8
แผนกศัลยกรรม8|外科8
แผนกสูตินรีเวช8|妇产科8
แผนกกุมารเวช8|儿科8
