ศูนย์|零
สมการเชิงกำลังสาม|三次方程
พีชคณิต|代数
เรขาคณิต|几何
ตรีโกณมิติ|三角函数
แคลคูลัส|微积分
สถิติ|统计
ความน่าจะเป็น|概率
เซต|集合
ฟังก์ชัน|函数
กราฟ|图表
เส้นตรง|直线
เส้นโค้ง|曲线
วงกลม|圆
สี่เหลี่ยม|四边形
สามเหลี่ยม|三角形
ห้าเหลี่ยม|五边形
หกเหลี่ยม|六边形
แปดเหลี่ยม|八边形
เส้นผ่านศูนย์กลาง|直径
รัศมี|半径
เส้นรอบวง|周长
พื้นที่|面积
ปริมาตร|体积
ความสูง|高度
ความกว้าง|宽度
ความยาว|长度
ความลึก|深度
น้ำหนัก|重量
ระยะทาง|距离
ความเร็ว|速度
เวลา|时间
อัตรา|比率
สัดส่วน|比例
จำนวนเต็ม|整数
จำนวนลบ|负数
จำนวนบวก|正数
จำนวนธรรมชาติ|自然数
จำนวนเรational|有理数
จำนวนจริง|实数
จำนวนจินตภาพ|虚数
จำนวนComplex|复数
ลำดับ|数列
อนุกรม|级数
ลิมิต|极限
อนุพันธ์|导数
ปริพันธ์|积分
อนุพันธ์ย่อย|偏导数
อนุพันธ์ที่สอง|二阶导数
กฎความถอย|递推公式
สมมูล|等价
ความสัมพันธ์|关系
อสมการ|不等式
ค่าสัมบูรณ์|绝对值
เลขคู่|偶数
เลขคี่|奇数
จำนวนเฉพาะ|质数
จำนวน Composite|合数
ตัวคูณ|倍数
ตัวหาร|因数
หนึ่งพันสองร้อยสามสิบสี่|一千二百三十四
ห้าพันหกร้อยเจ็ดสิบแปด|五千六百七十八
เก้าพันหนึ่งร้อยสองสิบสาม|九千一百二十三
สามพันสี่ร้อยห้าสิบหก|三千四百ห十六
เจ็ดพันแปดร้อยเก้าสิบ|七千八百九十
สองหมื่นสามพันสี่ร้อยห้าสิบหก|二万三千四百五十六
แปดหมื่นเก้าพันหนึ่งร้อยสิบ|八万九千一百一十
สี่หมื่นห้าพันหกร้อยเจ็ดสิบแปด|四万五千六百七十八
หนึ่งแสนสองหมื่นสามพันสิบ|十二万三千零一十
ห้าแสนหกหมื่นเจ็ดพันแปดร้อยเก้าสิบ|五十六万七千八百九十
หนึ่งล้านสองแสนสามหมื่นสี่พันห้าร้อยหกสิบเจ็ด|一百二十三万四千五百六十七
แปดล้านเก้าแสนหนึ่งหมื่นสองร้อยสามสิบสี่|八百九十一万二千三百四十四
ล้านสองหมื่นสามพันสี่ร้อยห้าสิบหก|一百零二万三千四百ห十六
สองล้านสามแสนสี่หมื่นห้าพันหกร้อยเจ็ดสิบแปด|二百三十四万五千六百七十八
สามล้านสี่แสนห้าหมื่นหกพันเจ็ดร้อยเก้าสิบ|三百四十五万六千七百九十
สี่ล้านห้าแสนหกหมื่นเจ็ดพันแปดร้อยเก้าสิบ|四百五十六万七千八百九十
ห้าล้านหกแสนเจ็ดหมื่นแปดพันเก้าร้อยสิบ|五百六十七万八千九百一十
หกล้านเจ็ดแสนแปดหมื่นเก้าพันหนึ่งร้อยยี่สิบ|六百七十八万九千一百二十
เจ็ดล้านแปดแสนเก้าหมื่นหนึ่งพันสองร้อยสามสิบ|七百八十九万一千二百三十
เก้าล้านหนึ่งแสนสองหมื่นสามพันสี่ร้อยห้าสิบ|九百一十二万三千四百五十
ร้อยละ|百分之
ร้อยละห้าสิบ|百分之五十
ร้อยละสิบ|百分之十
ร้อยละยี่สิบ|百分之二十
ร้อยละสามสิบ|百分之三十
ร้อยละสี่สิบ|百分之四十
ร้อยละหกสิบ|百分之六十
ร้อยละเจ็ดสิบ|百分之七十
ร้อยละแปดสิบ|百分之八十
ร้อยละเก้าสิบ|百分之九十
ร้อยละหนึ่งร้อย|百分之一百
อัตราส่วน|比率
ส่วน|部分
ทั้งหมด|总共
รวมทั้งหมด|总计
ผลรวม|总和
ผลคูณ|乘积
ค่าเฉลี่ย|平均值
ค่ากลาง|中位数
ค่าฐานนิยม|众数
ส่วนเบี่ยงเบนมาตรฐาน|标准差
ค่าความแปรปรวน|方差
ค่าความถี่|频率
แผนภูมิ|图表
กราฟแท่ง|柱状图
กราฟเส้น|折线图
กราฟวงกลม|饼图
แผนภูมิจุด|散点图
แผนภูมิกล่อง|箱线图
ค่าต่ำสุด|最小值
ค่าสูงสุด|最大值
ช่วง|范围
ขนาด|大小
จำนวนข้อมูล|数据量
ตัวอย่าง|样本
กลุ่มข้อมูล|数据集
ข้อมูลดิบ|原始数据
ข้อมูลที่ประมวลผล|处理后的数据
ข้อมูลขาเข้า|输入数据
ข้อมูลขาออก|输出数据
ข้อมูลตัวอย่าง|样本数据
ข้อมูลPopulation|总体数据
สมมติฐาน|假设
ระดับนัยสำคัญ|显著性水平
ค่าp|p值
ค่าZ|Z值
ค่าT|T值
ค่าChi-Square|卡方值
ค่าF|F值
ค่าR|R值
ค่าR-Squared|R平方值
ค่าAdjusted R-Squared|调整R平方值
ค่าRMSE|均方根误差
ค่าMAE|平均绝对误差
ค่าMAPE|平均绝对百分比误差
ค่าAIC|赤池信息准则
ค่าBIC|贝叶斯信息准则
การถดถอย|回归
การถดถอยเชิงเส้น|线性回归
การถดถอยเชิงกำลังสอง|二次回归
การถดถอยพหุคูณ|多元回归
การถดถอยโลจิสติก|逻辑回归
การจำแนกประเภท|分类
การจัดกลุ่ม|聚类
การลดมิติ|降维
ที่หนึ่ง|第一名
ที่สอง|第二名
ที่สาม|第三名
ที่สี่|第四名
ที่ห้า|第五名
ที่หก|第六名
ที่เจ็ด|第七名
ที่แปด|第八名
ที่เก้า|第九名
ที่สิบ|第十名
ที่สิบเอ็ด|第十一名
ที่สิบสอง|第十二名
ที่ยี่สิบ|第二十名
ที่ร้อย|第一百名
ที่พัน|第一千名
ที่หมื่น|第一万名
ที่แสน|第十万名
ที่ล้าน|第一百万名
ครั้ง|次（量词）
ครั้งแรก|第一次
ครั้งที่สอง|第二次
ครั้งที่สาม|第三次
ครั้งสุดท้าย|最后一次
ครั้งต่อไป|下一次
ครั้งก่อน|上一次
ครั้งนี้|这次
ครั้งหน้า|下次
ทุกครั้ง|每次
หลายครั้ง|多次
ไม่กี่ครั้ง|几次
ครั้งเดียว|一次
สองครั้ง|两次
สามครั้ง|三次
สี่ครั้ง|四次
ห้าครั้ง|五次
หกครั้ง|六次
เจ็ดครั้ง|七次
แปดครั้ง|八次
เก้าครั้ง|九次
สิบครั้ง|十次数|数（量词）
สอง数|两数
สาม数|三数
ครั้ง|次（用于重复动作）
หน|人（量词）
สองหน|两人
สามหน|三人
สี่หน|四人
ห้าหน|五人
หกหน|六人
เจ็ดหน|七人
แปดหน|八人
เก้าหน|九人
สิบหน|十人
สิบเอ็ดหน|十一人
สิบสองหน|十二人
ยี่สิบหน|二十人
ร้อยหน|一百人
พันหน|一千人
หมื่นหน|一万人
แสนหน|十万人
ล้านหน|一百万人
ชิ้น|件（量词）
สองชิ้น|两件
สามชิ้น|三件
สี่ชิ้น|四件
ห้าชิ้น|五件
หกชิ้น|六件
เจ็ดชิ้น|七件
แปดชิ้น|八件
เก้าชิ้น|九件
สิบชิ้น|十件
ตัว|只（量词）
สองตัว|两只
สามตัว|三只
สี่ตัว|四只
ห้าตัว|五只
หกตัว|六只
เจ็ดตัว|七只
แปดตัว|八只
เก้าตัว|九只
สิบตัว|十只
ดวง|颗（量词）
สองดวง|两颗
สามดวง|三颗
สี่ดวง|四颗
ห้าดวง|五颗
เล่ม|本（量词）
สองเล่ม|两本
สามเล่ม|三本
สี่เล่ม|四本
ห้าเล่ม|五本
หกเล่ม|六本
เจ็ดเล่ม|七本
แปดเล่ม|八本
เก้าเล่ม|九本
สิบเล่ม|十本
คัน|辆（量词）
สองคัน|两辆
สามคัน|三辆
สี่คัน|四辆
ห้าคัน|五辆
หกคัน|六辆
เจ็ดคัน|七辆
แปดคัน|八辆
เก้าคัน|九辆
สิบคัน|十คัน
หลัง|栋（量词）
สองหลัง|两栋
สามหลัง|三栋
สี่หลัง|四栋
ห้าหลัง|五栋
หกหลัง|六栋
เจ็ดหลัง|七栋
แปดหลัง|八栋
เก้าหลัง|九栋
สิบหลัง|十栋
ห้อง|间（量词）
สองห้อง|两间
สามห้อง|三间
สี่ห้อง|四间
ห้าห้อง|五间
หกห้อง|六间
เจ็ดห้อง|七间
แปดห้อง|八间
เก้าห้อง|九栋
สิบห้อง|十间
คู่|双（量词）
สองคู่|两双
สามคู่|三双
สี่คู่|四双
ห้าคู่|五双
หกคู่|六双
เจ็ดคู่|七双
แปดคู่|八双
เก้าคู่|九双
สิบคู่|十双
กลุ่ม|组（量词）
สองกลุ่ม|两组
สามกลุ่ม|三组
สี่กลุ่ม|四组
ห้ากลุ่ม|五组
หกกลุ่ม|六组
เจ็ดกลุ่ม|七组
แปดกลุ่ม|八组
เก้ากลุ่ม|九组
สิบกลุ่ม|十组
ชุด|套（量词）
สองชุด|两套
สามชุด|三套
สี่ชุด|四套
ห้าชุด|五套
หกชุด|六套
เจ็ดชุด|七套
แปดชุด|八套
เก้าชุด|九套
สิบชุด|十套
แถว|排（量词）
สองแถว|两排
สามแถว|三排
สี่แถว|四排
ห้าแถว|五排
หกแถว|六排
เจ็ดแถว|七排
แปดแถว|八排
เก้าแถว|九排
สิบแถว|十排
ชั้น|层（量词）
สองชั้น|两层
สามชั้น|三层
สี่ชั้น|四层
ห้าชั้น|五层
หกชั้น|六层
เจ็ดชั้น|七层
แปดชั้น|八层
เก้าชั้น|九层
สิบชั้น|十层
กิโลเมตร|公里
สองกิโลเมตร|两公里
สามกิโลเมตร|三公里
สี่กิโลเมตร|四公里
ห้ากิโลเมตร|五公里
หกกิโลเมตร|六公里
เจ็ดกิโลเมตร|七公里
แปดกิโลเมตร|八公里
เก้ากิโลเมตร|九公里
สิบกิโลเมตร|十公里
เมตร|米
สองเมตร|两米
สามเมตร|三米
สี่เมตร|四米
ห้าเมตร|五米
หกเมตร|六เมตร
เจ็ดเมตร|七米
แปดเมตร|八米
เก้าเมตร|九米
สิบเมตร|十米
เซนติเมตร|厘米
สองเซนติเมตร|两厘米
สามเซนติเมตร|三厘米
สี่เซนติเมตร|四厘米
ห้าเซนติเมตร|五厘米
หกเซนติเมตร|六厘米
เจ็ดเซนติเมตร|七厘米
แปดเซนติเมตร|八厘米
เก้าเซนติเมตร|九厘米
สิบเซนติเมตร|十厘米
มิลลิเมตร|毫米
สองมิลลิเมตร|两毫米
สามมิลลิเมตร|三毫米
สี่มิลลิเมตร|四毫米
ห้ามิลลิเมตร|五毫米
กิโลกรัม|公斤
สองกิโลกรัม|两公斤
สามกิโลกรัม|三公斤
สี่กิโลกรัม|四公斤
ห้ากิโลกรัม|五公斤
หกกิโลกรัม|六公斤
เจ็ดกิโลกรัม|เจ็ด公斤
แปดกิโลกรัม|八公斤
เก้ากิโลกรัม|九公斤
สิบกิโลกรัม|十公斤
กรัม|克
สองกรัม|两克
สามกรัม|三克
สี่กรัม|四克
ห้ากรัม|五克
หกกรัม|六克
เจ็ดกรัม|七克
แปดกรัม|八克
เก้ากรัม|九克
สิบกรัม|十克
ลิตร|升
สองลิตร|两升
สามลิตร|三升
สี่ลิตร|四升
ห้าลิตร|五升
หกลิตร|六升
เจ็ดลิตร|七升
แปดลิตร|แปด升
เก้าลิตร|九升
สิบลิตร|十升
มิลลิลิตร|毫升
สองมิลลิลิตร|两毫升
สามมิลลิลิตร|三毫升
สี่มิลลิลิตร|四毫升
ห้ามิลลิลิตร|五毫升
เปอร์เซ็นต์|百分之
จำนวน|数字
เลขบวก|正数
เลขลบ|负数
หนึ่งส่วนสอง|二分之一
สองในสาม|三分之四分之一
เท่า|倍
ครึ่งหนึ่ง|一半
หนึ่งเท่า|一倍
สองเท่า|两倍
สามเท่า|三倍
สิบเท่า|十倍
ร้อยเท่า|百倍
พันเท่า|千倍
มากกว่า|多于
น้อยกว่า|少于
ระหว่าง|之间
ประมาณ|大约
เกือบ|将近
เกือบจะ|差不多
มากกว่าหนึ่ง|不止一个
ไม่ถึง|不到
เกิน|超过
จำนวนรวม|总数
จำนวนทั้งหมด|全部数量
จำนวนคน|人数
จำนวนครั้ง|次数
จำนวนเงิน|金额
ราคายี่สิบบาท|二十块
ค่าใช้จ่าย|费用
รายได้|收入
กำไร|利润
ขาดทุน|亏损
เงินเดือน|工资
ค่าแรง|工钱
ค่าธรรมเนียม|手续费
ภาษี|税
ส่วนลด|折扣
ครึ่งราคา|半价
สองต่อหนึ่ง|买一送一
ซื้อหนึ่งแถมหนึ่ง|买一送一
ชุดละร้อย|每套一百
ตัวละสองร้อย|每个两百
กิโลละห้าสิบ|每公斤五十
ลิตรละสิบ|每升十
ตารางเมตรละ|每平方米
ตารางเมตร|平方米
ลูกบาศก์เมตร|立方米
กิโลกรัม|千克
กิโลเมตร|千米
นิ้ว|英寸
ฟุต|英尺
ไมล์|英里
เมตรต่อวินาที|米每秒
กิโลเมตรต่อชั่วโมง|千米每小时
วงกลม|圆形
รูปหกเหลี่ยม|六边形
รูปแปดเหลี่ยม|八边形
เส้นรอบรูม|周长
ความหนา|厚度
วินาที|秒
นาที|分钟
ชั่วโมง|小时
วัน|天
สัปดาห์|周
เดือน|月
ปี|年
ทศวรรษ| decade
ศตวรรษ|世纪
millennium|千年
หนึ่ง2|一2
สอง2|二2
สาม2|三2
สี่2|四2
ห้า2|五2
หก2|六2
เจ็ด2|七2
แปด2|八2
เก้า2|九2
สิบ2|十2
ยี่สิบ2|二十2
สามสิบ2|三十2
สี่สิบ2|四十2
ห้าสิบ2|五十2
หกสิบ2|六十2
เจ็ดสิบ2|七十2
แปดสิบ2|八十2
เก้าสิบ2|九十2
ร้อย2|百2
พัน2|千2
หมื่น2|万2
แสน2|十万2
ล้าน2|百万2
สิบล้าน2|千万2
ร้อยล้าน2|亿2
ครึ่ง2|一半2
ส่วน2|部分2
เปอร์เซ็นต์2|百分之2
ทศนิยม2|小数2
จำนวน2|数字2
เลขคู่2|偶数2
เลขคี่2|奇数2
เลขบวก2|正数2
เลขลบ2|负数2
ศูนย์2|零2
หนึ่งส่วนสอง2|二分之一2
หนึ่งในสาม2|三分之一2
สองในสาม2|三分之四分之一2
สามในสี่2|四分之三2
เท่า2|倍2
ครึ่งหนึ่ง2|一半2
หนึ่งเท่า2|一倍2
สองเท่า2|两倍2
สามเท่า2|三倍2
สิบเท่า2|十倍2
ร้อยเท่า2|百倍2
พันเท่า2|千倍2
มากกว่า2|多于2
น้อยกว่า2|少于2
เท่ากับ2|等于2
มากกว่า2|大于2
น้อยกว่า2|小于2
ระหว่าง2|之间2
ประมาณ2|大约2
เกือบ2|将近2
เกือบจะ2|差不多2
มากกว่าหนึ่ง2|不止一个2
ไม่ถึง2|不到2
เกิน2|超过2
จำนวนรวม2|总数2
จำนวนทั้งหมด2|全部数量2
จำนวนคน2|人数2
จำนวนครั้ง2|次数2
จำนวนเงิน2|金额2
ราคายี่สิบบาท2|二十块2
ค่าใช้จ่าย2|费用2
รายได้2|收入2
กำไร2|利润2
ขาดทุน2|亏损2
เงินเดือน2|工资2
ค่าแรง2|工钱2
ค่าธรรมเนียม2|手续费2
ภาษี2|税2
ส่วนลด2|折扣2
สี่สิบเปอร์เซ็นต์2|百分之四十2
ครึ่งราคา2|半价2
สองต่อหนึ่ง2|买一送一2
ซื้อหนึ่งแถมหนึ่ง2|买一送一2
ชุดละร้อย2|每套一百2
ตัวละสองร้อย2|每个两百2
กิโลละห้าสิบ2|每公斤五十2
ลิตรละสิบ2|每升十2
ตารางเมตรละ2|每平方米2
ตารางเมตร2|平方米2
ลูกบาศก์เมตร2|立方米2
เซนติเมตร2|厘米2
มิลลิเมตร2|毫米2
กิโลกรัม2|千克2
กรัม2|克2
เมตร2|米2
กิโลเมตร2|千米2
นิ้ว2|英寸2
ฟุต2|英尺2
ไมล์2|英里2
เมตรต่อวินาที2|米每秒2
กิโลเมตรต่อชั่วโมง2|千米每小时2
สี่เหลี่ยม2|四边形2
วงกลม2|圆形2
สามเหลี่ยม2|三角形2
รูปหกเหลี่ยม2|六边形2
รูปแปดเหลี่ยม2|八边形2
เส้นรอบรูม2|周长2
พื้นที่2|面积2
ปริมาตร2|体积2
ความสูง2|高度2
ความกว้าง2|宽度2
ความยาว2|长度2
ความลึก2|深度2
ความหนา2|厚度2
ความเร็ว2|速度2
ระยะทาง2|距离2
เวลา2|时间2
วินาที2|秒2
นาที2|分钟2
ชั่วโมง2|小时2
วัน2|天2
สัปดาห์2|周2
เดือน2|月2
ปี2|年2
ทศวรรษ2| decade2
ศตวรรษ2|世纪2
millennium2|千年2
หนึ่ง3|一3
สอง3|二3
สาม3|三3
สี่3|四3
ห้า3|五3
หก3|六3
เจ็ด3|七3
แปด3|八3
เก้า3|九3
สิบ3|十3
ยี่สิบ3|二十3
สามสิบ3|三十3
สี่สิบ3|四十3
ห้าสิบ3|五十3
หกสิบ3|六十3
เจ็ดสิบ3|七十3
แปดสิบ3|八十3
เก้าสิบ3|九十3
ร้อย3|百3
พัน3|千3
หมื่น3|万3
แสน3|十万3
ล้าน3|百万3
สิบล้าน3|千万3
ร้อยล้าน3|亿3
ครึ่ง3|一半3
ส่วน3|部分3
เปอร์เซ็นต์3|百分之3
ทศนิยม3|小数3
จำนวน3|数字3
เลขคู่3|偶数3
เลขคี่3|奇数3
เลขบวก3|正数3
เลขลบ3|负数3
ศูนย์3|零3
หนึ่งส่วนสอง3|二分之一3
หนึ่งในสาม3|三分之一3
สองในสาม3|三分之四分之一3
สามในสี่3|四分之三3
เท่า3|倍3
ครึ่งหนึ่ง3|一半3
หนึ่งเท่า3|一倍3
สองเท่า3|两倍3
สามเท่า3|三倍3
สิบเท่า3|十倍3
ร้อยเท่า3|百倍3
พันเท่า3|千倍3
มากกว่า3|多于3
น้อยกว่า3|少于3
เท่ากับ3|等于3
มากกว่า3|大于3
น้อยกว่า3|小于3
ระหว่าง3|之间3
ประมาณ3|大约3
เกือบ3|将近3
เกือบจะ3|差不多3
มากกว่าหนึ่ง3|不止一个3
ไม่ถึง3|不到3
เกิน3|超过3
จำนวนรวม3|总数3
จำนวนทั้งหมด3|全部数量3
จำนวนคน3|人数3
จำนวนครั้ง3|次数3
จำนวนเงิน3|金额3
ราคายี่สิบบาท3|二十块3
ค่าใช้จ่าย3|费用3
รายได้3|收入3
กำไร3|利润3
ขาดทุน3|亏损3
เงินเดือน3|工资3
ค่าแรง3|工钱3
ค่าธรรมเนียม3|手续费3
ภาษี3|税3
ส่วนลด3|折扣3
สี่สิบเปอร์เซ็นต์3|百分之四十3
ครึ่งราคา3|半价3
สองต่อหนึ่ง3|买一送一3
ซื้อหนึ่งแถมหนึ่ง3|买一送一3
ชุดละร้อย3|每套一百3
ตัวละสองร้อย3|每个两百3
กิโลละห้าสิบ3|每公斤五十3
ลิตรละสิบ3|每升十3
ตารางเมตรละ3|每平方米3
ตารางเมตร3|平方米3
ลูกบาศก์เมตร3|立方米3
เซนติเมตร3|厘米3
มิลลิเมตร3|毫米3
กิโลกรัม3|千克3
กรัม3|克3
เมตร3|米3
กิโลเมตร3|千米3
นิ้ว3|英寸3
ฟุต3|英尺3
ไมล์3|英里3
เมตรต่อวินาที3|米每秒3
กิโลเมตรต่อชั่วโมง3|千米每小时3
สี่เหลี่ยม3|四边形3
วงกลม3|圆形3
สามเหลี่ยม3|三角形3
รูปหกเหลี่ยม3|六边形3
รูปแปดเหลี่ยม3|八边形3
เส้นรอบรูม3|周长3
พื้นที่3|面积3
ปริมาตร3|体积3
ความสูง3|高度3
ความกว้าง3|宽度3
ความยาว3|长度3
ความลึก3|深度3
ความหนา3|厚度3
ความเร็ว3|速度3
ระยะทาง3|距离3
เวลา3|时间3
วินาที3|秒3
นาที3|分钟3
ชั่วโมง3|小时3
วัน3|天3
สัปดาห์3|周3
เดือน3|月3
ปี3|年3
ทศวรรษ3| decade3
ศตวรรษ3|世纪3
millennium3|千年3
หนึ่ง4|一4
สอง4|二4
สาม4|三4
สี่4|四4
ห้า4|五4
หก4|六4
เจ็ด4|七4
แปด4|八4
เก้า4|九4
สิบ4|十4
ยี่สิบ4|二十4
สามสิบ4|三十4
สี่สิบ4|四十4
ห้าสิบ4|五十4
หกสิบ4|六十4
เจ็ดสิบ4|七十4
แปดสิบ4|八十4
เก้าสิบ4|九十4
ร้อย4|百4
พัน4|千4
หมื่น4|万4
แสน4|十万4
ล้าน4|百万4
สิบล้าน4|千万4
ร้อยล้าน4|亿4
ครึ่ง4|一半4
ส่วน4|部分4
เปอร์เซ็นต์4|百分之4
ทศนิยม4|小数4
จำนวน4|数字4
เลขคู่4|偶数4
เลขคี่4|奇数4
เลขบวก4|正数4
เลขลบ4|负数4
ศูนย์4|零4
หนึ่งส่วนสอง4|二分之一4
หนึ่งในสาม4|三分之一4
สองในสาม4|三分之四分之一4
สามในสี่4|四分之三4
เท่า4|倍4
ครึ่งหนึ่ง4|一半4
หนึ่งเท่า4|一倍4
สองเท่า4|两倍4
สามเท่า4|三倍4
สิบเท่า4|十倍4
ร้อยเท่า4|百倍4
พันเท่า4|千倍4
มากกว่า4|多于4
น้อยกว่า4|少于4
เท่ากับ4|等于4
มากกว่า4|大于4
น้อยกว่า4|小于4
ระหว่าง4|之间4
ประมาณ4|大约4
เกือบ4|将近4
เกือบจะ4|差不多4
มากกว่าหนึ่ง4|不止一个4
ไม่ถึง4|不到4
เกิน4|超过4
จำนวนรวม4|总数4
จำนวนทั้งหมด4|全部数量4
จำนวนคน4|人数4
จำนวนครั้ง4|次数4
จำนวนเงิน4|金额4
ราคายี่สิบบาท4|二十块4
ค่าใช้จ่าย4|费用4
รายได้4|收入4
กำไร4|利润4
ขาดทุน4|亏损4
เงินเดือน4|工资4
ค่าแรง4|工钱4
ค่าธรรมเนียม4|手续费4
ภาษี4|税4
ส่วนลด4|折扣4
สี่สิบเปอร์เซ็นต์4|百分之四十4
ครึ่งราคา4|半价4
สองต่อหนึ่ง4|买一送一4
ซื้อหนึ่งแถมหนึ่ง4|买一送一4
ชุดละร้อย4|每套一百4
ตัวละสองร้อย4|每个两百4
กิโลละห้าสิบ4|每公斤五十4
ลิตรละสิบ4|每升十4
ตารางเมตรละ4|每平方米4
ตารางเมตร4|平方米4
ลูกบาศก์เมตร4|立方米4
เซนติเมตร4|厘米4
มิลลิเมตร4|毫米4
กิโลกรัม4|千克4
กรัม4|克4
เมตร4|米4
กิโลเมตร4|千米4
นิ้ว4|英寸4
ฟุต4|英尺4
ไมล์4|英里4
เมตรต่อวินาที4|米每秒4
กิโลเมตรต่อชั่วโมง4|千米每小时4
สี่เหลี่ยม4|四边形4
วงกลม4|圆形4
สามเหลี่ยม4|三角形4
รูปหกเหลี่ยม4|六边形4
รูปแปดเหลี่ยม4|八边形4
เส้นรอบรูม4|周长4
พื้นที่4|面积4
ปริมาตร4|体积4
ความสูง4|高度4
ความกว้าง4|宽度4
ความยาว4|长度4
ความลึก4|深度4
ความหนา4|厚度4
ความเร็ว4|速度4
ระยะทาง4|距离4
เวลา4|时间4
วินาที4|秒4
นาที4|分钟4
ชั่วโมง4|小时4
วัน4|天4
สัปดาห์4|周4
เดือน4|月4
ปี4|年4
ทศวรรษ4| decade4
ศตวรรษ4|世纪4
millennium4|千年4
หนึ่ง5|一5
สอง5|二5
สาม5|三5
สี่5|四5
ห้า5|五5
หก5|六5
เจ็ด5|七5
แปด5|八5
เก้า5|九5
สิบ5|十5
ยี่สิบ5|二十5
สามสิบ5|三十5
สี่สิบ5|四十5
ห้าสิบ5|五十5
หกสิบ5|六十5
เจ็ดสิบ5|七十5
แปดสิบ5|八十5
เก้าสิบ5|九十5
ร้อย5|百5
พัน5|千5
หมื่น5|万5
แสน5|十万5
ล้าน5|百万5
สิบล้าน5|千万5
