พ่อ|爸爸
นัก physician assistant|医生助理
นัก clinical nurse specialist|临床护理专家
นัก nurse anesthetist|麻醉护士
นัก nurse midwife|助产护士
นัก nurse educator|护理教育者
นัก nurse administrator|护理管理者
นัก nurse researcher|护理研究者
พี่|哥哥/姐姐
น้อง|弟弟/妹妹
น้า|舅舅/姨妈
คู่ชีวิต|伴侣
เพื่อนสนิท|好朋友
เพื่อนร่วมงาน|同事
เจ้านาย|老板
ลูกน้อง|下属
ผู้อำนวยการ|总监
ประธาน|主席
รองประธาน|副主席
พนักงานต้อนรับ|前台
พนักงานขับรถ|司机
แพทย์|医生
พยายาล|护士
ทันตแพทย์|牙医
สัตวแพทย์|兽医
เภสัชกร|药剂师
เด็กชาย|男孩
เด็กหญิง|女孩
คนแก่|老人
วัยทำงาน|中年人
เด็กวัยเรียน|学龄儿童
ชาวสวน|果农
ช่าง|工匠
ช่างเหล็ก|铁匠
ช่างปูน|泥瓦匠
สถาปนิก|建筑师
นักดนตรี|音乐家
พ่อค้า|商人
แม่ค้า|女商人
นักธุรกิจ|企业家
นักลงทุน|投资人
ผู้พิพากษา|法官
นักการเมือง|政客
พระ|和尚
แม่ชี|尼姑
บาทหลวง|牧师
อิหม่าม|阿訇
นักบวช|僧侣
คนงาน|工人
แม่บ้าน|保姆
พี่เลี้ยง|保姆/看护
คนส่งของ|送货员
คนส่งพัสดุ|快递员
คนเก็บขยะ|清洁工
คนดับเพลิง|消防员
นักดับเพลิง|消防员
กู้ภัย|救援员
นักกู้ภัย|搜救员
นักโทษ|囚犯
ผู้ต้องสงสัย|嫌疑人
ผู้เสียหาย|受害者
พยาน|证人
คนในท้องถิ่น|本地人
คนต่างชาติ|外国人
คนจีน|华人
คนออสเตรเลีย|澳大利亚人
คนอินโดนีเซีย|印尼人
พ่อ2|爸爸2
แม่2|妈妈2
พี่2|哥哥/姐姐2
น้อง2|弟弟/妹妹2
ลูก2|孩子2
หลาน2|侄子/外甥2
ปู่2|爷爷2
ย่า2|奶奶2
ตา2|外公2
ยาย2|外婆2
ลุง2|叔叔2
ป้า2|阿姨2
น้า2|舅舅/姨妈2
อา2|叔叔/阿姨2
แฟน2|男朋友/女朋友2
สามี2|丈夫2
ภรรยา2|妻子2
คู่ชีวิต2|伴侣2
เพื่อน2|朋友2
เพื่อนสนิท2|好朋友2
เพื่อนร่วมงาน2|同事2
เจ้านาย2|老板2
ลูกน้อง2|下属2
หัวหน้า2|领导2
ผู้จัดการ2|经理2
ผู้อำนวยการ2|总监2
ประธาน2|主席2
รองประธาน2|副主席2
พนักงาน2|员工2
พนักงานต้อนรับ2|前台2
พนักงานเสิร์ฟ2|服务员2
พนักงานขับรถ2|司机2
แพทย์2|医生2
พยายาล2|护士2
ทันตแพทย์2|牙医2
สัตวแพทย์2|兽医2
เภสัชกร2|药剂师2
ครู2|老师2
อาจารย์2|教授2
นักเรียน2|学生2
นักศึกษา2|大学生2
เด็ก2|小孩2
ชาย2|男人2
หญิง2|女人2
เด็กชาย2|男孩2
เด็กหญิง2|女孩2
ทารก2|婴儿2
คนแก่2|老人2
วัยรุ่น2|青少年2
วัยทำงาน2|中年人2
เด็กวัยเรียน2|学龄儿童2
ชาวนา2|农民2
ชาวประมง2|渔民2
ชาวสวน2|果农2
ช่าง2|工匠2
ช่างไม้2|木匠2
ช่างเหล็ก2|铁匠2
ช่างปูน2|泥瓦匠2
ช่างไฟฟ้า2|电工2
ช่างประปา2|水管工2
วิศวกร2|工程师2
สถาปนิก2|建筑师2
นักออกแบบ2|设计师2
นักเขียน2|作家2
นักดนตรี2|音乐家2
นักร้อง2|歌手2
นักแสดง2|演员2
นักกีฬา2|运动员2
นักข่าว2|记者2
ช่างภาพ2|摄影师2
พ่อค้า2|商人2
แม่ค้า2|女商人2
นักธุรกิจ2|企业家2
นักลงทุน2|投资人2
นายธนาคาร2|银行家2
ทนาย2|律师2
ผู้พิพากษา2|法官2
ตำรวจ2|警察2
ทหาร2|军人2
นักการเมือง2|政客2
พระ2|和尚2
แม่ชี2|尼姑2
บาทหลวง2|牧师2
อิหม่าม2|阿訇2
นักบวช2|僧侣2
คนขับรถ2|司机2
คนสวน2|园丁2
คนงาน2|工人2
แม่บ้าน2|保姆2
พี่เลี้ยง2|保姆/看护2
คนส่งของ2|送货员2
คนส่งพัสดุ2|快递员2
คนเก็บขยะ2|清洁工2
คนดับเพลิง2|消防员2
นักดับเพลิง2|消防员2
กู้ภัย2|救援员2
นักกู้ภัย2|搜救员2
อาสาสมัคร2|志愿者2
นักโทษ2|囚犯2
ผู้ต้องสงสัย2|嫌疑人2
ผู้เสียหาย2|受害者2
พยาน2|证人2
ผู้โดยสาร2|乘客2
นักท่องเที่ยว2|游客2
คนในท้องถิ่น2|本地人2
คนต่างชาติ2|外国人2
คนจีน2|华人2
คนไทย2|泰国人2
คนญี่ปุ่น2|日本人2
คนเกาหลี2|韩国人2
คนอังกฤษ2|英国人2
คนอเมริกัน2|美国人2
คนฝรั่งเศส2|法国人2
คนเยอรมัน2|德国人2
คนออสเตรเลีย2|澳大利亚人2
คนอินเดีย2|印度人2
คนมาเลเซีย2|马来西亚人2
คนฟิลิปปินส์2|菲律宾人2
คนเวียดนาม2|越南人2
คนพม่า2|缅甸人2
คนลาว2|老挝人2
คนเขมร2|柬埔寨人2
คนสิงคโปร์2|新加坡人2
คนอินโดนีเซีย2|印尼人2
พ่อ3|爸爸3
แม่3|妈妈3
พี่3|哥哥/姐姐3
น้อง3|弟弟/妹妹3
ลูก3|孩子3
หลาน3|侄子/外甥3
ปู่3|爷爷3
ย่า3|奶奶3
ตา3|外公3
ยาย3|外婆3
ลุง3|叔叔3
ป้า3|阿姨3
น้า3|舅舅/姨妈3
อา3|叔叔/阿姨3
แฟน3|男朋友/女朋友3
สามี3|丈夫3
ภรรยา3|妻子3
คู่ชีวิต3|伴侣3
เพื่อน3|朋友3
เพื่อนสนิท3|好朋友3
เพื่อนร่วมงาน3|同事3
เจ้านาย3|老板3
ลูกน้อง3|下属3
หัวหน้า3|领导3
ผู้จัดการ3|经理3
ผู้อำนวยการ3|总监3
ประธาน3|主席3
รองประธาน3|副主席3
พนักงาน3|员工3
พนักงานต้อนรับ3|前台3
พนักงานเสิร์ฟ3|服务员3
พนักงานขับรถ3|司机3
แพทย์3|医生3
พยายาล3|护士3
ทันตแพทย์3|牙医3
สัตวแพทย์3|兽医3
เภสัชกร3|药剂师3
ครู3|老师3
อาจารย์3|教授3
นักเรียน3|学生3
นักศึกษา3|大学生3
เด็ก3|小孩3
ชาย3|男人3
หญิง3|女人3
เด็กชาย3|男孩3
เด็กหญิง3|女孩3
ทารก3|婴儿3
คนแก่3|老人3
วัยรุ่น3|青少年3
วัยทำงาน3|中年人3
เด็กวัยเรียน3|学龄儿童3
ชาวนา3|农民3
ชาวประมง3|渔民3
ชาวสวน3|果农3
ช่าง3|工匠3
ช่างไม้3|木匠3
ช่างเหล็ก3|铁匠3
ช่างปูน3|泥瓦匠3
ช่างไฟฟ้า3|电工3
ช่างประปา3|水管工3
วิศวกร3|工程师3
สถาปนิก3|建筑师3
นักออกแบบ3|设计师3
นักเขียน3|作家3
นักดนตรี3|音乐家3
นักร้อง3|歌手3
นักแสดง3|演员3
นักกีฬา3|运动员3
นักข่าว3|记者3
ช่างภาพ3|摄影师3
พ่อค้า3|商人3
แม่ค้า3|女商人3
นักธุรกิจ3|企业家3
นักลงทุน3|投资人3
นายธนาคาร3|银行家3
ทนาย3|律师3
ผู้พิพากษา3|法官3
ตำรวจ3|警察3
ทหาร3|军人3
นักการเมือง3|政客3
พระ3|和尚3
แม่ชี3|尼姑3
บาทหลวง3|牧师3
อิหม่าม3|阿訇3
นักบวช3|僧侣3
คนขับรถ3|司机3
คนสวน3|园丁3
คนงาน3|工人3
แม่บ้าน3|保姆3
พี่เลี้ยง3|保姆/看护3
คนส่งของ3|送货员3
คนส่งพัสดุ3|快递员3
คนเก็บขยะ3|清洁工3
คนดับเพลิง3|消防员3
นักดับเพลิง3|消防员3
กู้ภัย3|救援员3
นักกู้ภัย3|搜救员3
อาสาสมัคร3|志愿者3
นักโทษ3|囚犯3
ผู้ต้องสงสัย3|嫌疑人3
ผู้เสียหาย3|受害者3
พยาน3|证人3
ผู้โดยสาร3|乘客3
นักท่องเที่ยว3|游客3
คนในท้องถิ่น3|本地人3
คนต่างชาติ3|外国人3
คนจีน3|华人3
คนไทย3|泰国人3
คนญี่ปุ่น3|日本人3
คนเกาหลี3|韩国人3
คนอังกฤษ3|英国人3
คนอเมริกัน3|美国人3
คนฝรั่งเศส3|法国人3
คนเยอรมัน3|德国人3
คนออสเตรเลีย3|澳大利亚人3
คนอินเดีย3|印度人3
คนมาเลเซีย3|马来西亚人3
คนฟิลิปปินส์3|菲律宾人3
คนเวียดนาม3|越南人3
คนพม่า3|缅甸人3
คนลาว3|老挝人3
คนเขมร3|柬埔寨人3
คนสิงคโปร์3|新加坡人3
คนอินโดนีเซีย3|印尼人3
พ่อ4|爸爸4
แม่4|妈妈4
พี่4|哥哥/姐姐4
น้อง4|弟弟/妹妹4
ลูก4|孩子4
หลาน4|侄子/外甥4
ปู่4|爷爷4
ย่า4|奶奶4
ตา4|外公4
ยาย4|外婆4
ลุง4|叔叔4
ป้า4|阿姨4
น้า4|舅舅/姨妈4
อา4|叔叔/阿姨4
แฟน4|男朋友/女朋友4
สามี4|丈夫4
ภรรยา4|妻子4
คู่ชีวิต4|伴侣4
เพื่อน4|朋友4
เพื่อนสนิท4|好朋友4
เพื่อนร่วมงาน4|同事4
เจ้านาย4|老板4
ลูกน้อง4|下属4
หัวหน้า4|领导4
ผู้จัดการ4|经理4
ผู้อำนวยการ4|总监4
ประธาน4|主席4
รองประธาน4|副主席4
พนักงาน4|员工4
พนักงานต้อนรับ4|前台4
พนักงานเสิร์ฟ4|服务员4
พนักงานขับรถ4|司机4
แพทย์4|医生4
พยายาล4|护士4
ทันตแพทย์4|牙医4
สัตวแพทย์4|兽医4
เภสัชกร4|药剂师4
ครู4|老师4
อาจารย์4|教授4
นักเรียน4|学生4
นักศึกษา4|大学生4
เด็ก4|小孩4
ชาย4|男人4
หญิง4|女人4
เด็กชาย4|男孩4
เด็กหญิง4|女孩4
ทารก4|婴儿4
คนแก่4|老人4
วัยรุ่น4|青少年4
วัยทำงาน4|中年人4
เด็กวัยเรียน4|学龄儿童4
ชาวนา4|农民4
ชาวประมง4|渔民4
ชาวสวน4|果农4
ช่าง4|工匠4
ช่างไม้4|木匠4
ช่างเหล็ก4|铁匠4
ช่างปูน4|泥瓦匠4
ช่างไฟฟ้า4|电工4
ช่างประปา4|水管工4
วิศวกร4|工程师4
สถาปนิก4|建筑师4
นักออกแบบ4|设计师4
นักเขียน4|作家4
นักดนตรี4|音乐家4
นักร้อง4|歌手4
นักแสดง4|演员4
นักกีฬา4|运动员4
นักข่าว4|记者4
ช่างภาพ4|摄影师4
พ่อค้า4|商人4
แม่ค้า4|女商人4
นักธุรกิจ4|企业家4
นักลงทุน4|投资人4
นายธนาคาร4|银行家4
ทนาย4|律师4
ผู้พิพากษา4|法官4
ตำรวจ4|警察4
ทหาร4|军人4
นักการเมือง4|政客4
พระ4|和尚4
แม่ชี4|尼姑4
บาทหลวง4|牧师4
อิหม่าม4|阿訇4
นักบวช4|僧侣4
คนขับรถ4|司机4
คนสวน4|园丁4
คนงาน4|工人4
แม่บ้าน4|保姆4
พี่เลี้ยง4|保姆/看护4
คนส่งของ4|送货员4
คนส่งพัสดุ4|快递员4
คนเก็บขยะ4|清洁工4
คนดับเพลิง4|消防员4
นักดับเพลิง4|消防员4
กู้ภัย4|救援员4
นักกู้ภัย4|搜救员4
อาสาสมัคร4|志愿者4
นักโทษ4|囚犯4
ผู้ต้องสงสัย4|嫌疑人4
ผู้เสียหาย4|受害者4
พยาน4|证人4
ผู้โดยสาร4|乘客4
นักท่องเที่ยว4|游客4
คนในท้องถิ่น4|本地人4
คนต่างชาติ4|外国人4
คนจีน4|华人4
คนไทย4|泰国人4
คนญี่ปุ่น4|日本人4
คนเกาหลี4|韩国人4
คนอังกฤษ4|英国人4
คนอเมริกัน4|美国人4
คนฝรั่งเศส4|法国人4
คนเยอรมัน4|德国人4
คนออสเตรเลีย4|澳大利亚人4
คนอินเดีย4|印度人4
คนมาเลเซีย4|马来西亚人4
คนฟิลิปปินส์4|菲律宾人4
คนเวียดนาม4|越南人4
คนพม่า4|缅甸人4
คนลาว4|老挝人4
คนเขมร4|柬埔寨人4
คนสิงคโปร์4|新加坡人4
คนอินโดนีเซีย4|印尼人4
พ่อ5|爸爸5
แม่5|妈妈5
พี่5|哥哥/姐姐5
น้อง5|弟弟/妹妹5
ลูก5|孩子5
หลาน5|侄子/外甥5
ปู่5|爷爷5
ย่า5|奶奶5
ตา5|外公5
ยาย5|外婆5
ลุง5|叔叔5
ป้า5|阿姨5
น้า5|舅舅/姨妈5
อา5|叔叔/阿姨5
แฟน5|男朋友/女朋友5
สามี5|丈夫5
ภรรยา5|妻子5
คู่ชีวิต5|伴侣5
เพื่อน5|朋友5
เพื่อนสนิท5|好朋友5
เพื่อนร่วมงาน5|同事5
เจ้านาย5|老板5
ลูกน้อง5|下属5
หัวหน้า5|领导5
ผู้จัดการ5|经理5
ผู้อำนวยการ5|总监5
ประธาน5|主席5
รองประธาน5|副主席5
พนักงาน5|员工5
พนักงานต้อนรับ5|前台5
พนักงานเสิร์ฟ5|服务员5
พนักงานขับรถ5|司机5
แพทย์5|医生5
พยายาล5|护士5
ทันตแพทย์5|牙医5
สัตวแพทย์5|兽医5
เภสัชกร5|药剂师5
ครู5|老师5
อาจารย์5|教授5
นักเรียน5|学生5
นักศึกษา5|大学生5
เด็ก5|小孩5
ชาย5|男人5
หญิง5|女人5
เด็กชาย5|男孩5
เด็กหญิง5|女孩5
ทารก5|婴儿5
คนแก่5|老人5
วัยรุ่น5|青少年5
วัยทำงาน5|中年人5
เด็กวัยเรียน5|学龄儿童5
ชาวนา5|农民5
ชาวประมง5|渔民5
ชาวสวน5|果农5
ช่าง5|工匠5
ช่างไม้5|木匠5
ช่างเหล็ก5|铁匠5
ช่างปูน5|泥瓦匠5
ช่างไฟฟ้า5|电工5
ช่างประปา5|水管工5
วิศวกร5|工程师5
สถาปนิก5|建筑师5
นักออกแบบ5|设计师5
นักเขียน5|作家5
นักดนตรี5|音乐家5
นักร้อง5|歌手5
นักแสดง5|演员5
นักกีฬา5|运动员5
นักข่าว5|记者5
ช่างภาพ5|摄影师5
พ่อค้า5|商人5
แม่ค้า5|女商人5
นักธุรกิจ5|企业家5
นักลงทุน5|投资人5
นายธนาคาร5|银行家5
ทนาย5|律师5
ผู้พิพากษา5|法官5
ตำรวจ5|警察5
ทหาร5|军人5
นักการเมือง5|政客5
พระ5|和尚5
แม่ชี5|尼姑5
บาทหลวง5|牧师5
อิหม่าม5|阿訇5
นักบวช5|僧侣5
คนขับรถ5|司机5
คนสวน5|园丁5
คนงาน5|工人5
แม่บ้าน5|保姆5
พี่เลี้ยง5|保姆/看护5
คนส่งของ5|送货员5
คนส่งพัสดุ5|快递员5
คนเก็บขยะ5|清洁工5
คนดับเพลิง5|消防员5
นักดับเพลิง5|消防员5
กู้ภัย5|救援员5
นักกู้ภัย5|搜救员5
อาสาสมัคร5|志愿者5
นักโทษ5|囚犯5
ผู้ต้องสงสัย5|嫌疑人5
ผู้เสียหาย5|受害者5
พยาน5|证人5
ผู้โดยสาร5|乘客5
นักท่องเที่ยว5|游客5
คนในท้องถิ่น5|本地人5
คนต่างชาติ5|外国人5
คนจีน5|华人5
คนไทย5|泰国人5
คนญี่ปุ่น5|日本人5
คนเกาหลี5|韩国人5
คนอังกฤษ5|英国人5
คนอเมริกัน5|美国人5
คนฝรั่งเศส5|法国人5
คนเยอรมัน5|德国人5
คนออสเตรเลีย5|澳大利亚人5
คนอินเดีย5|印度人5
คนมาเลเซีย5|马来西亚人5
คนฟิลิปปินส์5|菲律宾人5
คนเวียดนาม5|越南人5
คนพม่า5|缅甸人5
คนลาว5|老挝人5
คนเขมร5|柬埔寨人5
คนสิงคโปร์5|新加坡人5
คนอินโดนีเซีย5|印尼人5
พ่อ6|爸爸6
แม่6|妈妈6
พี่6|哥哥/姐姐6
น้อง6|弟弟/妹妹6
ลูก6|孩子6
หลาน6|侄子/外甥6
ปู่6|爷爷6
ย่า6|奶奶6
ตา6|外公6
ยาย6|外婆6
ลุง6|叔叔6
ป้า6|阿姨6
น้า6|舅舅/姨妈6
อา6|叔叔/阿姨6
แฟน6|男朋友/女朋友6
สามี6|丈夫6
ภรรยา6|妻子6
คู่ชีวิต6|伴侣6
เพื่อน6|朋友6
เพื่อนสนิท6|好朋友6
เพื่อนร่วมงาน6|同事6
เจ้านาย6|老板6
ลูกน้อง6|下属6
หัวหน้า6|领导6
ผู้จัดการ6|经理6
ผู้อำนวยการ6|总监6
ประธาน6|主席6
รองประธาน6|副主席6
พนักงาน6|员工6
พนักงานต้อนรับ6|前台6
พนักงานเสิร์ฟ6|服务员6
พนักงานขับรถ6|司机6
แพทย์6|医生6
พยายาล6|护士6
ทันตแพทย์6|牙医6
สัตวแพทย์6|兽医6
เภสัชกร6|药剂师6
ครู6|老师6
อาจารย์6|教授6
นักเรียน6|学生6
นักศึกษา6|大学生6
เด็ก6|小孩6
ชาย6|男人6
หญิง6|女人6
เด็กชาย6|男孩6
เด็กหญิง6|女孩6
ทารก6|婴儿6
คนแก่6|老人6
วัยรุ่น6|青少年6
วัยทำงาน6|中年人6
เด็กวัยเรียน6|学龄儿童6
ชาวนา6|农民6
ชาวประมง6|渔民6
ชาวสวน6|果农6
ช่าง6|工匠6
ช่างไม้6|木匠6
ช่างเหล็ก6|铁匠6
ช่างปูน6|泥瓦匠6
ช่างไฟฟ้า6|电工6
ช่างประปา6|水管工6
วิศวกร6|工程师6
สถาปนิก6|建筑师6
นักออกแบบ6|设计师6
นักเขียน6|作家6
นักดนตรี6|音乐家6
นักร้อง6|歌手6
นักแสดง6|演员6
นักกีฬา6|运动员6
นักข่าว6|记者6
ช่างภาพ6|摄影师6
พ่อค้า6|商人6
แม่ค้า6|女商人6
นักธุรกิจ6|企业家6
นักลงทุน6|投资人6
นายธนาคาร6|银行家6
ทนาย6|律师6
ผู้พิพากษา6|法官6
ตำรวจ6|警察6
ทหาร6|军人6
นักการเมือง6|政客6
พระ6|和尚6
แม่ชี6|尼姑6
บาทหลวง6|牧师6
อิหม่าม6|阿訇6
นักบวช6|僧侣6
คนขับรถ6|司机6
คนสวน6|园丁6
คนงาน6|工人6
แม่บ้าน6|保姆6
พี่เลี้ยง6|保姆/看护6
คนส่งของ6|送货员6
คนส่งพัสดุ6|快递员6
คนเก็บขยะ6|清洁工6
คนดับเพลิง6|消防员6
นักดับเพลิง6|消防员6
กู้ภัย6|救援员6
นักกู้ภัย6|搜救员6
อาสาสมัคร6|志愿者6
นักโทษ6|囚犯6
ผู้ต้องสงสัย6|嫌疑人6
ผู้เสียหาย6|受害者6
พยาน6|证人6
ผู้โดยสาร6|乘客6
นักท่องเที่ยว6|游客6
คนในท้องถิ่น6|本地人6
คนต่างชาติ6|外国人6
คนจีน6|华人6
คนไทย6|泰国人6
คนญี่ปุ่น6|日本人6
คนเกาหลี6|韩国人6
คนอังกฤษ6|英国人6
คนอเมริกัน6|美国人6
คนฝรั่งเศส6|法国人6
คนเยอรมัน6|德国人6
คนออสเตรเลีย6|澳大利亚人6
คนอินเดีย6|印度人6
คนมาเลเซีย6|马来西亚人6
คนฟิลิปปินส์6|菲律宾人6
