โรงเรียน|学校
เทปกาว|胶带
กรรไกร|剪刀
คัตเตอร์|美工刀
เข็ม|针
ด้าย|线
เข็มกลัด|别针
หมุด|图钉
กระดิ่ง|铃铛
นาฬิกา|钟表
ปฏิทิน|日历
แผนที่|地图
แผนภูมิ|图表
แผนภาพ|图表
นักเรียน|学生
นักศึกษา|大学生
ครู|老师
อาจารย์|教授
สนามกีฬา|运动场
หอประชุม|礼堂
อาคารเรียน|教学楼
หอพัก|宿舍
ร้านอาหาร|餐厅
ร้านหนังสือ|书店
ร้านค้า|小卖部
วิชา|科目
ตารางเรียน|课程表
การบ้าน|作业
รายงาน|报告
Presentation|演讲
สอบ|考试
สอบปลายภาค|期末考试
สอบกลางภาค|期中考试
สอบเข้า|入学考试
คะแนน|分数
เกรด|成绩
GPA|绩点
Transcript|成绩单
ประกาศนียบัตร|证书
ปริญญา|学位
ปริญญาตรี|学士
ปริญญาโท|硕士
ปริญญาเอก|博士
สาขาวิชา|专业
คณะ|学院
ภาควิชา|系
หลักสูตร|课程
วิชาเลือก|选修课
วิชาบังคับ|必修课
หน่วยกิต|学分
ลงทะเบียน|注册
สมัครเรียน|报名
กลุ่ม|小组
ทีม|团队
หัวหน้ากลุ่ม|组长
สมาชิก|成员
เพื่อนร่วมชั้น|同学
กิจกรรม|活动
กิจกรรมนอกหลักสูตร|课外活动
ชมรม|社团
สมาคม|协会
โครงการ|项目
ค่าย|营地
ทัศนศึกษา|参观
ดูงาน|实习
ฝึกงาน|实习
ทุน|奖学金
ทุนการศึกษา|教育奖学金
กู้ยืมเงิน|贷款
ค่าเทอม|学费
อินเทอร์เน็ต|互联网
Wi-Fi|无线网络
แลปท็อป|笔记本电脑
ตำรา|教材
วารสาร|期刊
นิตยสาร|杂志
วิจัย|研究
วิทยานิพนธ์|论文
รายงานวิจัย|研究报告
ข้อมูล|数据
สัมมนา|研讨会
สัมมนาวิชาการ|学术研讨会
ประชุม|会议
การสัมมนา|研讨会
วิทยากร|讲师
ผู้บรรยาย|演讲者
ผู้เข้าร่วม|参与者
ผู้เข้าชม|参观者
วันปฐมนิเทศ|开学典礼
วันสำเร็จการศึกษา|毕业典礼
วันกีฬาสี|运动会
วันเด็ก|儿童节
วันไหว้ครู|拜师节
วันอาสาฬหบูชา|守夏节
วันเข้าพรรษา|入夏节
ห้อง|房间
โต๊ะ|桌子
เก้าอี้|椅子
โปรเจคเตอร์|投影仪
ไมโครโฟน|麦克风
ลำโพง|扬声器
สแกนเนอร์|扫描仪
เครื่องถ่ายเอกสาร|复印机
ห้องน้ำชาย|男厕所
ห้องน้ำหญิง|女厕所
ห้องน้ำสำหรับผู้พิการ|无障碍厕所
ล็อกเกอร์|储物柜
ตู้จดหมาย|信箱
ป้ายประกาศ|公告栏
กระดานประกาศ|公告板
เข้าแถว|排队
ยืนตรง|立正
นั่งลง|坐下
ยืนขึ้น|站起来
ยกมือ|举手
โรงเรียน2|学校2
มหาวิทยาลัย2|大学2
นักเรียน2|学生2
นักศึกษา2|大学生2
ครู2|老师2
อาจารย์2|教授2
ห้องเรียน2|教室2
ห้องสมุด2|图书馆2
ห้องปฏิบัติการ2|实验室2
สนามกีฬา2|运动场2
หอประชุม2|礼堂2
อาคารเรียน2|教学楼2
หอพัก2|宿舍2
โรงอาหาร2|食堂2
ร้านอาหาร2|餐厅2
ร้านหนังสือ2|书店2
ร้านค้า2|小卖部2
วิชา2|科目2
ตารางเรียน2|课程表2
การบ้าน2|作业2
รายงาน2|报告2
Presentation2|演讲2
สอบ2|考试2
สอบปลายภาค2|期末考试2
สอบกลางภาค2|期中考试2
สอบเข้า2|入学考试2
คะแนน2|分数2
เกรด2|成绩2
GPA2|绩点2
Transcript2|成绩单2
ประกาศนียบัตร2|证书2
ปริญญา2|学位2
ปริญญาตรี2|学士2
ปริญญาโท2|硕士2
ปริญญาเอก2|博士2
สาขาวิชา2|专业2
คณะ2|学院2
ภาควิชา2|系2
หลักสูตร2|课程2
วิชาเลือก2|选修课2
วิชาบังคับ2|必修课2
หน่วยกิต2|学分2
ลงทะเบียน2|注册2
สมัครเรียน2|报名2
กลุ่ม2|小组2
ทีม2|团队2
หัวหน้ากลุ่ม2|组长2
สมาชิก2|成员2
เพื่อนร่วมชั้น2|同学2
กิจกรรม2|活动2
กิจกรรมนอกหลักสูตร2|课外活动2
ชมรม2|社团2
สมาคม2|协会2
โครงการ2|项目2
ค่าย2|营地2
ทัศนศึกษา2|参观2
ดูงาน2|实习2
ฝึกงาน2|实习2
ทุน2|奖学金2
ทุนการศึกษา2|教育奖学金2
กู้ยืมเงิน2|贷款2
ค่าเทอม2|学费2
อินเทอร์เน็ต2|互联网2
Wi-Fi2|无线网络2
แลปท็อป2|笔记本电脑2
แท็บเล็ต2|平板电脑2
ห้องสมุด3|图书馆3
หนังสือ2|书2
ตำรา2|教材2
วารสาร2|期刊2
นิตยสาร2|杂志2
วิจัย2|研究2
วิทยานิพนธ์2|论文2
รายงานวิจัย2|研究报告2
ข้อมูล2|数据2
สัมมนา2|研讨会2
สัมมนาวิชาการ2|学术研讨会2
ประชุม2|会议2
การสัมมนา2|研讨会2
วิทยากร2|讲师2
ผู้บรรยาย2|演讲者2
ผู้เข้าร่วม2|参与者2
ผู้เข้าชม2|参观者2
วันปฐมนิเทศ2|开学典礼2
วันสำเร็จการศึกษา2|毕业典礼2
วันกีฬาสี2|运动会2
วันเด็ก2|儿童节2
วันไหว้ครู2|拜师节2
วันอาสาฬหบูชา2|守夏节2
วันเข้าพรรษา2|入夏节2
ห้อง2|房间2
โต๊ะ2|桌子2
เก้าอี้2|椅子2
กระดาน2|黑板2
จอ2|屏幕2
โปรเจคเตอร์2|投影仪2
ไมโครโฟน2|麦克风2
ลำโพง2|扬声器2
คอมพิวเตอร์2|电脑2
ปริ้นเตอร์2|打印机2
สแกนเนอร์2|扫描仪2
เครื่องถ่ายเอกสาร2|复印机2
ห้องน้ำ2|卫生间2
ห้องน้ำชาย2|男厕所2
ห้องน้ำหญิง2|女厕所2
ห้องน้ำสำหรับผู้พิการ2|无障碍厕所2
ล็อกเกอร์2|储物柜2
ตู้จดหมาย2|信箱2
ป้ายประกาศ2|公告栏2
กระดานประกาศ2|公告板2
เข้าแถว2|排队2
ยืนตรง2|立正2
นั่งลง2|坐下2
ยืนขึ้น2|站起来2
ยกมือ2|举手2
โรงเรียน3|学校3
มหาวิทยาลัย3|大学3
นักเรียน3|学生3
นักศึกษา3|大学生3
ครู3|老师3
อาจารย์3|教授3
ห้องเรียน3|教室3
ห้องสมุด4|图书馆4
ห้องปฏิบัติการ3|实验室3
สนามกีฬา3|运动场3
หอประชุม3|礼堂3
อาคารเรียน3|教学楼3
หอพัก3|宿舍3
โรงอาหาร3|食堂3
ร้านอาหาร3|餐厅3
ร้านหนังสือ3|书店3
ร้านค้า3|小卖部3
วิชา3|科目3
ตารางเรียน3|课程表3
การบ้าน3|作业3
รายงาน3|报告3
Presentation3|演讲3
สอบ3|考试3
สอบปลายภาค3|期末考试3
สอบกลางภาค3|期中考试3
สอบเข้า3|入学考试3
คะแนน3|分数3
เกรด3|成绩3
GPA3|绩点3
Transcript3|成绩单3
ประกาศนียบัตร3|证书3
ปริญญา3|学位3
ปริญญาตรี3|学士3
ปริญญาโท3|硕士3
ปริญญาเอก3|博士3
สาขาวิชา3|专业3
คณะ3|学院3
ภาควิชา3|系3
หลักสูตร3|课程3
วิชาเลือก3|选修课3
วิชาบังคับ3|必修课3
หน่วยกิต3|学分3
ลงทะเบียน3|注册3
สมัครเรียน3|报名3
กลุ่ม3|小组3
ทีม3|团队3
หัวหน้ากลุ่ม3|组长3
สมาชิก3|成员3
เพื่อนร่วมชั้น3|同学3
กิจกรรม3|活动3
กิจกรรมนอกหลักสูตร3|课外活动3
ชมรม3|社团3
สมาคม3|协会3
โครงการ3|项目3
ค่าย3|营地3
ทัศนศึกษา3|参观3
ดูงาน3|实习3
ฝึกงาน3|实习3
ทุน3|奖学金3
ทุนการศึกษา3|教育奖学金3
กู้ยืมเงิน3|贷款3
ค่าเทอม3|学费3
อินเทอร์เน็ต3|互联网3
Wi-Fi3|无线网络3
แลปท็อป3|笔记本电脑3
แท็บเล็ต3|平板电脑3
ห้องสมุด5|图书馆5
หนังสือ3|书3
ตำรา3|教材3
วารสาร3|期刊3
นิตยสาร3|杂志3
วิจัย3|研究3
วิทยานิพนธ์3|论文3
รายงานวิจัย3|研究报告3
ข้อมูล3|数据3
สัมมนา3|研讨会3
สัมมนาวิชาการ3|学术研讨会3
ประชุม3|会议3
การสัมมนา3|研讨会3
วิทยากร3|讲师3
ผู้บรรยาย3|演讲者3
ผู้เข้าร่วม3|参与者3
ผู้เข้าชม3|参观者3
วันปฐมนิเทศ3|开学典礼3
วันสำเร็จการศึกษา3|毕业典礼3
วันกีฬาสี3|运动会3
วันเด็ก3|儿童节3
วันไหว้ครู3|拜师节3
วันอาสาฬหบูชา3|守夏节3
วันเข้าพรรษา3|入夏节3
ห้อง3|房间3
โต๊ะ3|桌子3
เก้าอี้3|椅子3
กระดาน3|黑板3
จอ3|屏幕3
โปรเจคเตอร์3|投影仪3
ไมโครโฟน3|麦克风3
ลำโพง3|扬声器3
คอมพิวเตอร์3|电脑3
ปริ้นเตอร์3|打印机3
สแกนเนอร์3|扫描仪3
เครื่องถ่ายเอกสาร3|复印机3
ห้องน้ำ3|卫生间3
ห้องน้ำชาย3|男厕所3
ห้องน้ำหญิง3|女厕所3
ห้องน้ำสำหรับผู้พิการ3|无障碍厕所3
ล็อกเกอร์3|储物柜3
ตู้จดหมาย3|信箱3
ป้ายประกาศ3|公告栏3
กระดานประกาศ3|公告板3
เข้าแถว3|排队3
ยืนตรง3|立正3
นั่งลง3|坐下3
ยืนขึ้น3|站起来3
ยกมือ3|举手3
โรงเรียน4|学校4
มหาวิทยาลัย4|大学4
นักเรียน4|学生4
นักศึกษา4|大学生4
ครู4|老师4
อาจารย์4|教授4
ห้องเรียน4|教室4
ห้องสมุด6|图书馆6
ห้องปฏิบัติการ4|实验室4
สนามกีฬา4|运动场4
หอประชุม4|礼堂4
อาคารเรียน4|教学楼4
หอพัก4|宿舍4
โรงอาหาร4|食堂4
ร้านอาหาร4|餐厅4
ร้านหนังสือ4|书店4
ร้านค้า4|小卖部4
วิชา4|科目4
ตารางเรียน4|课程表4
การบ้าน4|作业4
รายงาน4|报告4
Presentation4|演讲4
สอบ4|考试4
สอบปลายภาค4|期末考试4
สอบกลางภาค4|期中考试4
สอบเข้า4|入学考试4
คะแนน4|分数4
เกรด4|成绩4
GPA4|绩点4
Transcript4|成绩单4
ประกาศนียบัตร4|证书4
ปริญญา4|学位4
ปริญญาตรี4|学士4
ปริญญาโท4|硕士4
ปริญญาเอก4|博士4
สาขาวิชา4|专业4
คณะ4|学院4
ภาควิชา4|系4
หลักสูตร4|课程4
วิชาเลือก4|选修课4
วิชาบังคับ4|必修课4
หน่วยกิต4|学分4
ลงทะเบียน4|注册4
สมัครเรียน4|报名4
กลุ่ม4|小组4
ทีม4|团队4
หัวหน้ากลุ่ม4|组长4
สมาชิก4|成员4
เพื่อนร่วมชั้น4|同学4
กิจกรรม4|活动4
กิจกรรมนอกหลักสูตร4|课外活动4
ชมรม4|社团4
สมาคม4|协会4
โครงการ4|项目4
ค่าย4|营地4
ทัศนศึกษา4|参观4
ดูงาน4|实习4
ฝึกงาน4|实习4
ทุน4|奖学金4
ทุนการศึกษา4|教育奖学金4
กู้ยืมเงิน4|贷款4
ค่าเทอม4|学费4
อินเทอร์เน็ต4|互联网4
Wi-Fi4|无线网络4
แลปท็อป4|笔记本电脑4
แท็บเล็ต4|平板电脑4
ห้องสมุด7|图书馆7
หนังสือ4|书4
ตำรา4|教材4
วารสาร4|期刊4
นิตยสาร4|杂志4
วิจัย4|研究4
วิทยานิพนธ์4|论文4
รายงานวิจัย4|研究报告4
ข้อมูล4|数据4
สัมมนา4|研讨会4
สัมมนาวิชาการ4|学术研讨会4
ประชุม4|会议4
การสัมมนา4|研讨会4
วิทยากร4|讲师4
ผู้บรรยาย4|演讲者4
ผู้เข้าร่วม4|参与者4
ผู้เข้าชม4|参观者4
วันปฐมนิเทศ4|开学典礼4
วันสำเร็จการศึกษา4|毕业典礼4
วันกีฬาสี4|运动会4
วันเด็ก4|儿童节4
วันไหว้ครู4|拜师节4
วันอาสาฬหบูชา4|守夏节4
วันเข้าพรรษา4|入夏节4
ห้อง4|房间4
โต๊ะ4|桌子4
เก้าอี้4|椅子4
กระดาน4|黑板4
จอ4|屏幕4
โปรเจคเตอร์4|投影仪4
ไมโครโฟน4|麦克风4
ลำโพง4|扬声器4
คอมพิวเตอร์4|电脑4
ปริ้นเตอร์4|打印机4
สแกนเนอร์4|扫描仪4
เครื่องถ่ายเอกสาร4|复印机4
ห้องน้ำ4|卫生间4
ห้องน้ำชาย4|男厕所4
ห้องน้ำหญิง4|女厕所4
ห้องน้ำสำหรับผู้พิการ4|无障碍厕所4
ล็อกเกอร์4|储物柜4
ตู้จดหมาย4|信箱4
ป้ายประกาศ4|公告栏4
กระดานประกาศ4|公告板4
เข้าแถว4|排队4
ยืนตรง4|立正4
นั่งลง4|坐下4
ยืนขึ้น4|站起来4
ยกมือ4|举手4
โรงเรียน5|学校5
มหาวิทยาลัย5|大学5
นักเรียน5|学生5
นักศึกษา5|大学生5
ครู5|老师5
อาจารย์5|教授5
ห้องเรียน5|教室5
ห้องสมุด8|图书馆8
ห้องปฏิบัติการ5|实验室5
สนามกีฬา5|运动场5
หอประชุม5|礼堂5
อาคารเรียน5|教学楼5
หอพัก5|宿舍5
โรงอาหาร5|食堂5
ร้านอาหาร5|餐厅5
ร้านหนังสือ5|书店5
ร้านค้า5|小卖部5
วิชา5|科目5
ตารางเรียน5|课程表5
การบ้าน5|作业5
รายงาน5|报告5
Presentation5|演讲5
สอบ5|考试5
สอบปลายภาค5|期末考试5
สอบกลางภาค5|期中考试5
สอบเข้า5|入学考试5
คะแนน5|分数5
เกรด5|成绩5
GPA5|绩点5
Transcript5|成绩单5
ประกาศนียบัตร5|证书5
ปริญญา5|学位5
ปริญญาตรี5|学士5
ปริญญาโท5|硕士5
ปริญญาเอก5|博士5
สาขาวิชา5|专业5
คณะ5|学院5
ภาควิชา5|系5
หลักสูตร5|课程5
วิชาเลือก5|选修课5
วิชาบังคับ5|必修课5
หน่วยกิต5|学分5
ลงทะเบียน5|注册5
สมัครเรียน5|报名5
กลุ่ม5|小组5
ทีม5|团队5
หัวหน้ากลุ่ม5|组长5
สมาชิก5|成员5
เพื่อนร่วมชั้น5|同学5
กิจกรรม5|活动5
กิจกรรมนอกหลักสูตร5|课外活动5
ชมรม5|社团5
สมาคม5|协会5
โครงการ5|项目5
ค่าย5|营地5
ทัศนศึกษา5|参观5
ดูงาน5|实习5
ฝึกงาน5|实习5
ทุน5|奖学金5
ทุนการศึกษา5|教育奖学金5
กู้ยืมเงิน5|贷款5
ค่าเทอม5|学费5
อินเทอร์เน็ต5|互联网5
Wi-Fi5|无线网络5
แลปท็อป5|笔记本电脑5
แท็บเล็ต5|平板电脑5
ห้องสมุด9|图书馆9
หนังสือ5|书5
ตำรา5|教材5
วารสาร5|期刊5
นิตยสาร5|杂志5
วิจัย5|研究5
วิทยานิพนธ์5|论文5
รายงานวิจัย5|研究报告5
ข้อมูล5|数据5
สัมมนา5|研讨会5
สัมมนาวิชาการ5|学术研讨会5
ประชุม5|会议5
การสัมมนา5|研讨会5
วิทยากร5|讲师5
ผู้บรรยาย5|演讲者5
ผู้เข้าร่วม5|参与者5
ผู้เข้าชม5|参观者5
วันปฐมนิเทศ5|开学典礼5
วันสำเร็จการศึกษา5|毕业典礼5
วันกีฬาสี5|运动会5
วันเด็ก5|儿童节5
วันไหว้ครู5|拜师节5
วันอาสาฬหบูชา5|守夏节5
วันเข้าพรรษา5|入夏节5
ห้อง5|房间5
โต๊ะ5|桌子5
เก้าอี้5|椅子5
กระดาน5|黑板5
จอ5|屏幕5
โปรเจคเตอร์5|投影仪5
ไมโครโฟน5|麦克风5
ลำโพง5|扬声器5
คอมพิวเตอร์5|电脑5
ปริ้นเตอร์5|打印机5
สแกนเนอร์5|扫描仪5
เครื่องถ่ายเอกสาร5|复印机5
ห้องน้ำ5|卫生间5
ห้องน้ำชาย5|男厕所5
ห้องน้ำหญิง5|女厕所5
ห้องน้ำสำหรับผู้พิการ5|无障碍厕所5
ล็อกเกอร์5|储物柜5
ตู้จดหมาย5|信箱5
ป้ายประกาศ5|公告栏5
กระดานประกาศ5|公告板5
เข้าแถว5|排队5
ยืนตรง5|立正5
นั่งลง5|坐下5
ยืนขึ้น5|站起来5
ยกมือ5|举手5
โรงเรียน6|学校6
มหาวิทยาลัย6|大学6
นักเรียน6|学生6
นักศึกษา6|大学生6
ครู6|老师6
อาจารย์6|教授6
ห้องเรียน6|教室6
ห้องสมุด10|图书馆10
ห้องปฏิบัติการ6|实验室6
สนามกีฬา6|运动场6
หอประชุม6|礼堂6
อาคารเรียน6|教学楼6
หอพัก6|宿舍6
โรงอาหาร6|食堂6
ร้านอาหาร6|餐厅6
ร้านหนังสือ6|书店6
ร้านค้า6|小卖部6
วิชา6|科目6
ตารางเรียน6|课程表6
การบ้าน6|作业6
รายงาน6|报告6
Presentation6|演讲6
สอบ6|考试6
สอบปลายภาค6|期末考试6
สอบกลางภาค6|期中考试6
สอบเข้า6|入学考试6
คะแนน6|分数6
เกรด6|成绩6
GPA6|绩点6
Transcript6|成绩单6
ประกาศนียบัตร6|证书6
ปริญญา6|学位6
ปริญญาตรี6|学士6
ปริญญาโท6|硕士6
ปริญญาเอก6|博士6
สาขาวิชา6|专业6
คณะ6|学院6
ภาควิชา6|系6
หลักสูตร6|课程6
วิชาเลือก6|选修课6
วิชาบังคับ6|必修课6
หน่วยกิต6|学分6
ลงทะเบียน6|注册6
สมัครเรียน6|报名6
กลุ่ม6|小组6
ทีม6|团队6
หัวหน้ากลุ่ม6|组长6
สมาชิก6|成员6
เพื่อนร่วมชั้น6|同学6
กิจกรรม6|活动6
กิจกรรมนอกหลักสูตร6|课外活动6
ชมรม6|社团6
สมาคม6|协会6
โครงการ6|项目6
ค่าย6|营地6
ทัศนศึกษา6|参观6
ดูงาน6|实习6
ฝึกงาน6|实习6
ทุน6|奖学金6
ทุนการศึกษา6|教育奖学金6
กู้ยืมเงิน6|贷款6
ค่าเทอม6|学费6
อินเทอร์เน็ต6|互联网6
Wi-Fi6|无线网络6
แลปท็อป6|笔记本电脑6
แท็บเล็ต6|平板电脑6
ห้องสมุด11|图书馆11
หนังสือ6|书6
ตำรา6|教材6
วารสาร6|期刊6
นิตยสาร6|杂志6
วิจัย6|研究6
วิทยานิพนธ์6|论文6
รายงานวิจัย6|研究报告6
ข้อมูล6|数据6
สัมมนา6|研讨会6
สัมมนาวิชาการ6|学术研讨会6
ประชุม6|会议6
การสัมมนา6|研讨会6
วิทยากร6|讲师6
ผู้บรรยาย6|演讲者6
ผู้เข้าร่วม6|参与者6
ผู้เข้าชม6|参观者6
วันปฐมนิเทศ6|开学典礼6
วันสำเร็จการศึกษา6|毕业典礼6
วันกีฬาสี6|运动会6
วันเด็ก6|儿童节6
วันไหว้ครู6|拜师节6
วันอาสาฬหบูชา6|守夏节6
วันเข้าพรรษา6|入夏节6
ห้อง6|房间6
โต๊ะ6|桌子6
เก้าอี้6|椅子6
กระดาน6|黑板6
จอ6|屏幕6
โปรเจคเตอร์6|投影仪6
ไมโครโฟน6|麦克风6
ลำโพง6|扬声器6
คอมพิวเตอร์6|电脑6
ปริ้นเตอร์6|打印机6
สแกนเนอร์6|扫描仪6
เครื่องถ่ายเอกสาร6|复印机6
ห้องน้ำ6|卫生间6
ห้องน้ำชาย6|男厕所6
ห้องน้ำหญิง6|女厕所6
ห้องน้ำสำหรับผู้พิการ6|无障碍厕所6
ล็อกเกอร์6|储物柜6
ตู้จดหมาย6|信箱6
ป้ายประกาศ6|公告栏6
กระดานประกาศ6|公告板6
เข้าแถว6|排队6
ยืนตรง6|立正6
นั่งลง6|坐下6
ยืนขึ้น6|站起来6
ยกมือ6|举手6
โรงเรียน7|学校7
มหาวิทยาลัย7|大学7
นักเรียน7|学生7
นักศึกษา7|大学生7
ครู7|老师7
อาจารย์7|教授7
ห้องเรียน7|教室7
ห้องสมุด12|图书馆12
ห้องปฏิบัติการ7|实验室7
สนามกีฬา7|运动场7
หอประชุม7|礼堂7
อาคารเรียน7|教学楼7
หอพัก7|宿舍7
โรงอาหาร7|食堂7
ร้านอาหาร7|餐厅7
ร้านหนังสือ7|书店7
ร้านค้า7|小卖部7
วิชา7|科目7
ตารางเรียน7|课程表7
การบ้าน7|作业7
รายงาน7|报告7
Presentation7|演讲7
สอบ7|考试7
สอบปลายภาค7|期末考试7
สอบกลางภาค7|期中考试7
สอบเข้า7|入学考试7
คะแนน7|分数7
เกรด7|成绩7
GPA7|绩点7
Transcript7|成绩单7
ประกาศนียบัตร7|证书7
ปริญญา7|学位7
ปริญญาตรี7|学士7
ปริญญาโท7|硕士7
ปริญญาเอก7|博士7
สาขาวิชา7|专业7
คณะ7|学院7
ภาควิชา7|系7
หลักสูตร7|课程7
วิชาเลือก7|选修课7
วิชาบังคับ7|必修课7
หน่วยกิต7|学分7
ลงทะเบียน7|注册7
สมัครเรียน7|报名7
กลุ่ม7|小组7
ทีม7|团队7
หัวหน้ากลุ่ม7|组长7
สมาชิก7|成员7
เพื่อนร่วมชั้น7|同学7
กิจกรรม7|活动7
กิจกรรมนอกหลักสูตร7|课外活动7
ชมรม7|社团7
สมาคม7|协会7
โครงการ7|项目7
ค่าย7|营地7
ทัศนศึกษา7|参观7
ดูงาน7|实习7
ฝึกงาน7|实习7
ทุน7|奖学金7
ทุนการศึกษา7|教育奖学金7
กู้ยืมเงิน7|贷款7
ค่าเทอม7|学费7
อินเทอร์เน็ต7|互联网7
Wi-Fi7|无线网络7
แลปท็อป7|笔记本电脑7
แท็บเล็ต7|平板电脑7
ห้องสมุด13|图书馆13
หนังสือ7|书7
ตำรา7|教材7
วารสาร7|期刊7
นิตยสาร7|杂志7
วิจัย7|研究7
วิทยานิพนธ์7|论文7
รายงานวิจัย7|研究报告7
ข้อมูล7|数据7
สัมมนา7|研讨会7
สัมมนาวิชาการ7|学术研讨会7
ประชุม7|会议7
การสัมมนา7|研讨会7
วิทยากร7|讲师7
ผู้บรรยาย7|演讲者7
ผู้เข้าร่วม7|参与者7
ผู้เข้าชม7|参观者7
วันปฐมนิเทศ7|开学典礼7
วันสำเร็จการศึกษา7|毕业典礼7
วันกีฬาสี7|运动会7
วันเด็ก7|儿童节7
วันไหว้ครู7|拜师节7
วันอาสาฬหบูชา7|守夏节7
วันเข้าพรรษา7|入夏节7
ห้อง7|房间7
โต๊ะ7|桌子7
เก้าอี้7|椅子7
กระดาน7|黑板7
จอ7|屏幕7
โปรเจคเตอร์7|投影仪7
ไมโครโฟน7|麦克风7
ลำโพง7|扬声器7
คอมพิวเตอร์7|电脑7
ปริ้นเตอร์7|打印机7
สแกนเนอร์7|扫描仪7
เครื่องถ่ายเอกสาร7|复印机7
ห้องน้ำ7|卫生间7
ห้องน้ำชาย7|男厕所7
ห้องน้ำหญิง7|女厕所7
ห้องน้ำสำหรับผู้พิการ7|无障碍厕所7
ล็อกเกอร์7|储物柜7
ตู้จดหมาย7|信箱7
ป้ายประกาศ7|公告栏7
กระดานประกาศ7|公告板7
เข้าแถว7|排队7
ยืนตรง7|立正7
นั่งลง7|坐下7
ยืนขึ้น7|站起来7
ยกมือ7|举手7
โรงเรียน8|学校8
มหาวิทยาลัย8|大学8
นักเรียน8|学生8
นักศึกษา8|大学生8
ครู8|老师8
อาจารย์8|教授8
ห้องเรียน8|教室8
ห้องสมุด14|图书馆14
ห้องปฏิบัติการ8|实验室8
สนามกีฬา8|运动场8
หอประชุม8|礼堂8
อาคารเรียน8|教学楼8
หอพัก8|宿舍8
โรงอาหาร8|食堂8
ร้านอาหาร8|餐厅8
ร้านหนังสือ8|书店8
ร้านค้า8|小卖部8
วิชา8|科目8
ตารางเรียน8|课程表8
การบ้าน8|作业8
รายงาน8|报告8
Presentation8|演讲8
สอบ8|考试8
สอบปลายภาค8|期末考试8
สอบกลางภาค8|期中考试8
สอบเข้า8|入学考试8
คะแนน8|分数8
เกรด8|成绩8
GPA8|绩点8
Transcript8|成绩单8
ประกาศนียบัตร8|证书8
ปริญญา8|学位8
ปริญญาตรี8|学士8
ปริญญาโท8|硕士8
ปริญญาเอก8|博士8
สาขาวิชา8|专业8
คณะ8|学院8
ภาควิชา8|系8
หลักสูตร8|课程8
วิชาเลือก8|选修课8
วิชาบังคับ8|必修课8
หน่วยกิต8|学分8
ลงทะเบียน8|注册8
สมัครเรียน8|报名8
กลุ่ม8|小组8
ทีม8|团队8
หัวหน้ากลุ่ม8|组长8
สมาชิก8|成员8
เพื่อนร่วมชั้น8|同学8
กิจกรรม8|活动8
กิจกรรมนอกหลักสูตร8|课外活动8
ชมรม8|社团8
สมาคม8|协会8
โครงการ8|项目8
ค่าย8|营地8
ทัศนศึกษา8|参观8
ดูงาน8|实习8
ฝึกงาน8|实习8
ทุน8|奖学金8
