ตื่น|醒来
เหงา|孤独
คิดถึง|想念
รัก|爱
เกลียด|讨厌
หวัง|希望
ผิดหวัง|失望
ทำอาหาร|做饭
ล้างผัก|洗菜
หั่นผัก|切菜
สับหมู|剁肉
ตอกไข่|打蛋
ต้มน้ำ|烧水
ต้มข้าว|煮饭
หุงข้าว|煮饭
ทอดไข่|煎蛋
ต้มไข่|煮蛋
นึ่ง|蒸
ตุ๋น|炖
ย่าง|烤
ทอด|炸
ผัด|炒
ต้ม|煮
อบ|烤（烤箱）
ลวก|焯
หมัก|腌
ใส่เกลือ|加盐
ใส่น้ำตาล|加糖
ใส่น้ำปลา|加鱼露
ใส่พริก|加辣椒
ใส่กระเทียม|加大蒜
ใส่หัวหอม|加洋葱
ใส่ผักชี|加香菜
ใส่พริกไทย|加胡椒
ใส่น้ำมัน|加油
ใส่น้ำส้มสายชู|加醋
ใส่ซีอิ๊ว|加酱油
ชิม|品尝
ปรุงรส|调味
อุ่นอาหาร|热饭
เก็บอาหาร|收饭
เก็บจาน|收碗
ล้างหม้อ|洗锅
เช็ดเครื่องครัว|擦厨具
จัดตู้|整理柜子
เติมของ|补充东西
ซื้อของเข้าบ้าน|买日用品
จดรายการ|列清单
เช็คของ|检查东西
หมด|用完
เหลือ|剩
พอ|够
ไม่พอ|不够
เพิ่ม|加
ลด|减
เปลี่ยน|换
ซ่อม|修
ทิ้ง|扔
ซื้อ|买
ขาย|卖
จ่าย|付
ทอน|找零
เก็บเงิน|存钱
เบิกเงิน|取钱
โอนเงิน|转账
จดบัญชี|记账
จ่ายบิล|付账单
จ่ายค่าเช่า|付房租
จ่ายค่าน้ำ|付水费
จ่ายค่าไฟ|付电费
จ่ายค่าเน็ต|付网费
จ่ายค่าโทรศัพท์|付话费
จ่ายค่าประกัน|付保险
จ่ายค่ารักษา|付医药费
จ่ายค่าเล่าเรียน|付学费
จ่ายค่าอาหาร|付餐费
จ่ายค่าเดินทาง|付交通费
จ่ายค่าเสื้อผ้า|付衣服钱
จ่ายค่าเครื่องสำอาง|付化妆品钱
จ่ายค่าอุปกรณ์|付设备钱
จ่ายค่าของเล่น|付玩具钱
จ่ายค่าหนังสือ|付书钱
จ่ายค่าดูหนัง|付电影钱
จ่ายค่าเที่ยว|付娱乐钱
จ่ายค่าสุขภาพ|付健康钱
จ่ายค่าออกกำลัง|付健身钱
จ่ายค่า memberships|付会员费
จ่ายค่า subscriptions|付订阅费
จ่ายค่า donations|付捐款
จ่ายค่า taxes|付税
จ่ายค่า fines|付罚款
จ่ายค่า fees|付手续费
จ่ายค่า commissions|付佣金
จ่ายค่า royalties|付版权费
จ่ายค่า dividends|付股息
จ่ายค่า interest|付利息
จ่ายค่า principal|付本金
จ่ายค่า loan|付贷款
จ่ายค่า mortgage|付房贷
จ่ายค่า rent|付房租
จ่ายค่า utilities|付水电费
จ่ายค่า insurance|付保险
จ่ายค่า medical|付医疗费
จ่ายค่า dental|付牙科费
จ่ายค่า vision|付眼科费
จ่ายค่า prescription|付药费
จ่ายค่า copay|付自付额
จ่ายค่า deductible|付免赔额
จ่ายค่า premium|付保费
จ่ายค่า claim|付理赔金
จ่ายค่า benefit|付福利金
จ่ายค่า pension|付养老金
จ่ายค่า social security|付社保
จ่ายค่า medicare|付医保
จ่ายค่า medicaid|付医疗补助
จ่ายค่า welfare|付救济金
จ่ายค่า unemployment|付失业金
จ่ายค่า disability|付残疾金
จ่ายค่า workers comp|付工伤金
จ่ายค่า veteran|付退伍金
จ่ายค่า survivor|付遗属金
จ่ายค่า dependent|付家属金
จ่ายค่า child support|付抚养费
จ่ายค่า alimony|付赡养费
จ่ายค่า spousal|付配偶费
จ่ายค่า family|付家庭费
จ่ายค่า household|付家务费
จ่ายค่า domestic|付家政费
จ่ายค่า childcare|付托儿费
จ่ายค่า education|付教育费
จ่ายค่า tuition|付学费
จ่ายค่า room|付住宿费
จ่ายค่า board|付膳食费
จ่ายค่า books|付书费
จ่ายค่า supplies|付用品费
จ่ายค่า equipment|付设备费
จ่ายค่า uniform|付制服费
จ่ายค่า transportation|付交通费
จ่ายค่า lunch|付午餐费
จ่ายค่า snack|付零食费
จ่ายค่า beverage|付饮料费
จ่ายค่า meal|付餐费
จ่ายค่า catering|付餐饮费
จ่ายค่า banquet|付宴会费
จ่ายค่า reception|付招待费
จ่ายค่า party|付聚会费
จ่ายค่า event|付活动费
จ่ายค่า conference|付会议费
จ่ายค่า seminar|付研讨会费
จ่ายค่า workshop|付工作坊费
จ่ายค่า training|付培训费
จ่ายค่า course|付课程费
จ่ายค่า class|付班级费
จ่ายค่า lesson|付课时费
จ่ายค่า tutor|付家教费
จ่ายค่า mentor|付导师费
จ่ายค่า coach|付教练费
จ่ายค่า consultant|付顾问费
จ่ายค่า advisor|付顾问费
จ่ายค่า counselor|付咨询费
จ่ายค่า therapist|付治疗费
จ่ายค่า doctor|付医生费
จ่ายค่า nurse|付护士费
จ่ายค่า dentist|付牙医费
จ่ายค่า specialist|付专科费
จ่ายค่า surgeon|付外科费
จ่ายค่า anesthesiologist|付麻醉费
จ่ายค่า radiologist|付放射科费
จ่ายค่า pathologist|付病理科费
จ่ายค่า pharmacist|付药剂师费
จ่ายค่า technician|付技师费
จ่ายค่า assistant|付助理费
จ่ายค่า aide|付帮手费
จ่ายค่า volunteer|付志愿者费
จ่ายค่า intern|付实习生费
จ่ายค่า apprentice|付学徒费
จ่ายค่า trainee|付培训生费
จ่ายค่า employee|付员工费
จ่ายค่า worker|付工人工资
จ่ายค่า laborer|付苦力工资
จ่ายค่า staff|付职员薪资
จ่ายค่า personnel|付人员薪资
จ่ายค่า workforce|付劳动力费
จ่ายค่า human resource|付人力资源费
จ่ายค่า talent|付人才费
จ่ายค่า recruitment|付招聘费
จ่ายค่า hiring|付雇佣费
จ่ายค่า onboarding|付入职费
จ่ายค่า orientation|付培训费
จ่ายค่า induction|付引导费
จ่ายค่า probation|付试用期费
จ่ายค่า performance|付绩效费
จ่ายค่า evaluation|付评估费
จ่ายค่า appraisal|付考核费
จ่ายค่า review|付审查费
จ่ายค่า feedback|付反馈费
จ่ายค่า recognition|付认可费
จ่ายค่า reward|付奖励费
จ่ายค่า incentive|付激励费
จ่ายค่า bonus|付奖金
จ่ายค่า commission|付佣金
จ่ายค่า tip|付小费
จ่ายค่า gratuity|付酬金
จ่ายค่า honorarium|付谢礼
จ่ายค่า stipend|付津贴
จ่ายค่า allowance|付补贴
จ่ายค่า subsidy|付补助金
จ่ายค่า grant|付拨款
จ่ายค่า scholarship|付奖学金
จ่ายค่า fellowship|付研究金
จ่ายค่า sponsorship|付赞助费
จ่ายค่า endowment|付捐赠基金
จ่ายค่า donation|付捐款
จ่ายค่า contribution|付捐款
จ่ายค่า charity|付慈善捐款
จ่ายค่า tithe|付什一税
จ่ายค่า offering|付供奉
จ่ายค่า sacrifice|付牺牲
แต่งตัว|穿衣服
กินข้าว|吃饭
ดื่มน้ำ|喝水
ถูบ้าน|拖地
ทำความสะอาด|打扫
จัดห้อง|整理房间
เปิดไฟ|开灯
ปิดไฟ|关灯
เปิดแอร์|开空调
ปิดแอร์|关空调
เปิดน้ำ|开水龙头
ปิดน้ำ|关水龙头
เสียบปลั๊ก|插电源
ถอดปลั๊ก|拔电源
เปิดทีวี|看电视
ดูหนัง|看电影
ฟังเพลง|听音乐
อ่านหนังสือ|看书
เขียนหนังสือ|写字
เล่นเกม|玩游戏
ทำงานบ้าน|做家务
เก็บของ|收拾东西
วางของ|放东西
หยิบของ|拿东西
แยกขยะ|垃圾分类
รี사이เคิล|回收利用
ประหยัดไฟ|省电
ประหยัดน้ำ|节水
เปิดหน้าต่าง|开窗
ปิดหน้าต่าง|关窗
ล็อคประตู|锁门
ไขประตู|开门
กดลิฟต์|按电梯
ขึ้นบันได|上楼梯
ลงบันได|下楼梯
จอดรถ|停车
เดินทาง|出行
ไปทำงาน|上班
ออกจากบ้าน|出门
เข้าบ้าน|进家
นอนกลางวัน|午睡
เข้านอน|睡觉
หลับ|入睡
ตื่นกลางดึก|半夜醒来
ง่วงsleepy|困倦
เมื่อย|酸痛
อ้วน|胖
ผอม|瘦
สะอาด|干净
สกปรก|脏
เรียบร้อย|整齐
ยุ่งเหยิง|乱七八糟
เงียบ|安静
เสียงดัง|吵闹
สว่าง|亮
มืด|暗
สดใส|明亮
หม่น|灰暗
สีสัน|颜色
ลวดลาย|花纹
เสื้อผ้า|衣服
กางเกง|裤子
กระโปรง|裙子
ชุด|套装
เสื้อยืด|T恤
เสื้อเชิ้ต|衬衫
เสื้อกันหนาว|外套
เสื้อแจ็คเก็ต|夹克
รองเท้า|鞋子
ถุงเท้า|袜子
หมวก|帽子
แว่นตา|眼镜
นาฬิกา|手表
กระเป๋า|包
สร้อยคอ|项链
ต่างหู|耳环
แหวน|戒指
กำไล|手镯
เข็มขัด|腰带
โทรศัพท์|电话
คอมพิวเตอร์|电脑
แล็ปท็อป|笔记本电脑
แท็บเล็ต|平板电脑
เครื่องใช้ไฟฟ้า|电器
พัดลม|风扇
ไมโครเวฟ|微波炉
ตู้เย็น|冰箱
เครื่องซักผ้า|洗衣机
เตารีด|熨斗
เครื่องดูดฝุ่น|吸尘器
หุ่นยนต์ดูดฝุ่น|扫地机器人
เครื่องล้างจาน|洗碗机
หม้อหุงข้าว|电饭煲
กาต้มน้ำ|烧水壶
ไม้แขวนเสื้อ|衣架
ผ้าม่าน|窗帘
ผ้าปูที่นอน|床单
หมอน|枕头
ผ้าห่ม|被子
เตียง|床
โซฟา|沙发
โต๊ะ|桌子
เก้าอี้|椅子
ตู้|柜子
ชั้นวางของ|架子
โคมไฟ|台灯
ตื่น2|醒来2
ลุก2|起来2
ล้างหน้า2|洗脸2
แปรงฟัน2|刷牙2
อาบน้ำ2|洗澡2
แต่งตัว2|穿衣服2
ทำอาหาร2|做饭2
กินข้าว2|吃饭2
ดื่มน้ำ2|喝水2
ล้างจาน2|洗碗2
ซักผ้า2|洗衣服2
รีดผ้า2|熨衣服2
กวาดบ้าน2|扫地2
ถูบ้าน2|拖地2
ทำความสะอาด2|打扫2
จัดห้อง2|整理房间2
เปิดไฟ2|开灯2
ปิดไฟ2|关灯2
เปิดแอร์2|开空调2
ปิดแอร์2|关空调2
เปิดน้ำ2|开水龙头2
ปิดน้ำ2|关水龙头2
เสียบปลั๊ก2|插电源2
ถอดปลั๊ก2|拔电源2
เปิดทีวี2|看电视2
ดูหนัง2|看电影2
ฟังเพลง2|听音乐2
อ่านหนังสือ2|看书2
เขียนหนังสือ2|写字2
เล่นเกม2|玩游戏2
ทำงานบ้าน2|做家务2
เก็บของ2|收拾东西2
วางของ2|放东西2
หยิบของ2|拿东西2
ทิ้งขยะ2|扔垃圾2
แยกขยะ2|垃圾分类2
รี사이เคิล2|回收利用2
ประหยัดไฟ2|省电2
ประหยัดน้ำ2|节水2
เปิดหน้าต่าง2|开窗2
ปิดหน้าต่าง2|关窗2
ล็อคประตู2|锁门2
ไขประตู2|开门2
กดลิฟต์2|按电梯2
ขึ้นบันได2|上楼梯2
ลงบันได2|下楼梯2
จอดรถ2|停车2
ขับรถ2|开车2
เดินทาง2|出行2
ไปทำงาน2|上班2
กลับบ้าน2|回家2
ออกจากบ้าน2|出门2
เข้าบ้าน2|进家2
พักผ่อน2|休息2
นอนกลางวัน2|午睡2
เข้านอน2|睡觉2
หลับ2|入睡2
ฝัน2|做梦2
ตื่นกลางดึก2|半夜醒来2
นอนไม่หลับ2|失眠2
ง่วงsleepy2|困倦2
เหนื่อย2|累2
เมื่อย2|酸痛2
หิว2|饿2
อิ่ม2|饱2
อ้วน2|胖2
ผอม2|瘦2
ร้อน2|热2
หนาว2|冷2
เปียก2|湿2
แห้ง2|干2
สะอาด2|干净2
สกปรก2|脏2
เรียบร้อย2|整齐2
ยุ่งเหยิง2|乱七八糟2
เงียบ2|安静2
เสียงดัง2|吵闹2
สว่าง2|亮2
มืด2|暗2
สดใส2|明亮2
หม่น2|灰暗2
สีสัน2|颜色2
ลวดลาย2|花纹2
เสื้อผ้า2|衣服2
กางเกง2|裤子2
กระโปรง2|裙子2
ชุด2|套装2
เสื้อยืด2|T恤2
เสื้อเชิ้ต2|衬衫2
เสื้อกันหนาว2|外套2
เสื้อแจ็คเก็ต2|夹克2
รองเท้า2|鞋子2
ถุงเท้า2|袜子2
หมวก2|帽子2
แว่นตา2|眼镜2
นาฬิกา2|手表2
กระเป๋า2|包2
สร้อยคอ2|项链2
ต่างหู2|耳环2
แหวน2|戒指2
กำไล2|手镯2
เข็มขัด2|腰带2
โทรศัพท์2|电话2
คอมพิวเตอร์2|电脑2
แล็ปท็อป2|笔记本电脑2
แท็บเล็ต2|平板电脑2
เครื่องใช้ไฟฟ้า2|电器2
พัดลม2|风扇2
ไมโครเวฟ2|微波炉2
ตู้เย็น2|冰箱2
เครื่องซักผ้า2|洗衣机2
เตารีด2|熨斗2
เครื่องดูดฝุ่น2|吸尘器2
หุ่นยนต์ดูดฝุ่น2|扫地机器人2
เครื่องล้างจาน2|洗碗机2
หม้อหุงข้าว2|电饭煲2
กาต้มน้ำ2|烧水壶2
ไม้แขวนเสื้อ2|衣架2
ผ้าม่าน2|窗帘2
ผ้าปูที่นอน2|床单2
หมอน2|枕头2
ผ้าห่ม2|被子2
เตียง2|床2
โซฟา2|沙发2
โต๊ะ2|桌子2
เก้าอี้2|椅子2
ตู้2|柜子2
ชั้นวางของ2|架子2
โคมไฟ2|台灯2
ตื่น3|醒来3
ลุก3|起来3
ล้างหน้า3|洗脸3
แปรงฟัน3|刷牙3
อาบน้ำ3|洗澡3
แต่งตัว3|穿衣服3
ทำอาหาร3|做饭3
กินข้าว3|吃饭3
ดื่มน้ำ3|喝水3
ล้างจาน3|洗碗3
ซักผ้า3|洗衣服3
รีดผ้า3|熨衣服3
กวาดบ้าน3|扫地3
ถูบ้าน3|拖地3
ทำความสะอาด3|打扫3
จัดห้อง3|整理房间3
เปิดไฟ3|开灯3
ปิดไฟ3|关灯3
เปิดแอร์3|开空调3
ปิดแอร์3|关空调3
เปิดน้ำ3|开水龙头3
ปิดน้ำ3|关水龙头3
เสียบปลั๊ก3|插电源3
ถอดปลั๊ก3|拔电源3
เปิดทีวี3|看电视3
ดูหนัง3|看电影3
ฟังเพลง3|听音乐3
อ่านหนังสือ3|看书3
เขียนหนังสือ3|写字3
เล่นเกม3|玩游戏3
ทำงานบ้าน3|做家务3
เก็บของ3|收拾东西3
วางของ3|放东西3
หยิบของ3|拿东西3
ทิ้งขยะ3|扔垃圾3
แยกขยะ3|垃圾分类3
รี사이เคิล3|回收利用3
ประหยัดไฟ3|省电3
ประหยัดน้ำ3|节水3
เปิดหน้าต่าง3|开窗3
ปิดหน้าต่าง3|关窗3
ล็อคประตู3|锁门3
ไขประตู3|开门3
กดลิฟต์3|按电梯3
ขึ้นบันได3|上楼梯3
ลงบันได3|下楼梯3
จอดรถ3|停车3
ขับรถ3|开车3
เดินทาง3|出行3
ไปทำงาน3|上班3
กลับบ้าน3|回家3
ออกจากบ้าน3|出门3
เข้าบ้าน3|进家3
พักผ่อน3|休息3
นอนกลางวัน3|午睡3
เข้านอน3|睡觉3
หลับ3|入睡3
ฝัน3|做梦3
ตื่นกลางดึก3|半夜醒来3
นอนไม่หลับ3|失眠3
ง่วงsleepy3|困倦3
เหนื่อย3|累3
เมื่อย3|酸痛3
หิว3|饿3
อิ่ม3|饱3
อ้วน3|胖3
ผอม3|瘦3
ร้อน3|热3
หนาว3|冷3
เปียก3|湿3
แห้ง3|干3
สะอาด3|干净3
สกปรก3|脏3
เรียบร้อย3|整齐3
ยุ่งเหยิง3|乱七八糟3
เงียบ3|安静3
เสียงดัง3|吵闹3
สว่าง3|亮3
มืด3|暗3
สดใส3|明亮3
หม่น3|灰暗3
สีสัน3|颜色3
ลวดลาย3|花纹3
เสื้อผ้า3|衣服3
กางเกง3|裤子3
กระโปรง3|裙子3
ชุด3|套装3
เสื้อยืด3|T恤3
เสื้อเชิ้ต3|衬衫3
เสื้อกันหนาว3|外套3
เสื้อแจ็คเก็ต3|夹克3
รองเท้า3|鞋子3
ถุงเท้า3|袜子3
หมวก3|帽子3
แว่นตา3|眼镜3
นาฬิกา3|手表3
กระเป๋า3|包3
สร้อยคอ3|项链3
ต่างหู3|耳环3
แหวน3|戒指3
กำไล3|手镯3
เข็มขัด3|腰带3
โทรศัพท์3|电话3
คอมพิวเตอร์3|电脑3
แล็ปท็อป3|笔记本电脑3
แท็บเล็ต3|平板电脑3
เครื่องใช้ไฟฟ้า3|电器3
พัดลม3|风扇3
ไมโครเวฟ3|微波炉3
ตู้เย็น3|冰箱3
เครื่องซักผ้า3|洗衣机3
เตารีด3|熨斗3
เครื่องดูดฝุ่น3|吸尘器3
หุ่นยนต์ดูดฝุ่น3|扫地机器人3
เครื่องล้างจาน3|洗碗机3
หม้อหุงข้าว3|电饭煲3
กาต้มน้ำ3|烧水壶3
ไม้แขวนเสื้อ3|衣架3
ผ้าม่าน3|窗帘3
ผ้าปูที่นอน3|床单3
หมอน3|枕头3
ผ้าห่ม3|被子3
เตียง3|床3
โซฟา3|沙发3
โต๊ะ3|桌子3
เก้าอี้3|椅子3
ตู้3|柜子3
ชั้นวางของ3|架子3
โคมไฟ3|台灯3
ตื่น4|醒来4
ลุก4|起来4
ล้างหน้า4|洗脸4
แปรงฟัน4|刷牙4
อาบน้ำ4|洗澡4
แต่งตัว4|穿衣服4
ทำอาหาร4|做饭4
กินข้าว4|吃饭4
ดื่มน้ำ4|喝水4
ล้างจาน4|洗碗4
ซักผ้า4|洗衣服4
รีดผ้า4|熨衣服4
กวาดบ้าน4|扫地4
ถูบ้าน4|拖地4
ทำความสะอาด4|打扫4
จัดห้อง4|整理房间4
เปิดไฟ4|开灯4
ปิดไฟ4|关灯4
เปิดแอร์4|开空调4
ปิดแอร์4|关空调4
เปิดน้ำ4|开水龙头4
ปิดน้ำ4|关水龙头4
เสียบปลั๊ก4|插电源4
ถอดปลั๊ก4|拔电源4
เปิดทีวี4|看电视4
ดูหนัง4|看电影4
ฟังเพลง4|听音乐4
อ่านหนังสือ4|看书4
เขียนหนังสือ4|写字4
เล่นเกม4|玩游戏4
ทำงานบ้าน4|做家务4
เก็บของ4|收拾东西4
วางของ4|放东西4
หยิบของ4|拿东西4
ทิ้งขยะ4|扔垃圾4
แยกขยะ4|垃圾分类4
รี사이เคิล4|回收利用4
ประหยัดไฟ4|省电4
ประหยัดน้ำ4|节水4
เปิดหน้าต่าง4|开窗4
ปิดหน้าต่าง4|关窗4
ล็อคประตู4|锁门4
ไขประตู4|开门4
กดลิฟต์4|按电梯4
ขึ้นบันได4|上楼梯4
ลงบันได4|下楼梯4
จอดรถ4|停车4
ขับรถ4|开车4
เดินทาง4|出行4
ไปทำงาน4|上班4
กลับบ้าน4|回家4
ออกจากบ้าน4|出门4
เข้าบ้าน4|进家4
พักผ่อน4|休息4
นอนกลางวัน4|午睡4
เข้านอน4|睡觉4
หลับ4|入睡4
ฝัน4|做梦4
ตื่นกลางดึก4|半夜醒来4
นอนไม่หลับ4|失眠4
ง่วงsleepy4|困倦4
เหนื่อย4|累4
เมื่อย4|酸痛4
หิว4|饿4
อิ่ม4|饱4
อ้วน4|胖4
ผอม4|瘦4
ร้อน4|热4
หนาว4|冷4
เปียก4|湿4
แห้ง4|干4
สะอาด4|干净4
สกปรก4|脏4
เรียบร้อย4|整齐4
ยุ่งเหยิง4|乱七八糟4
เงียบ4|安静4
เสียงดัง4|吵闹4
สว่าง4|亮4
มืด4|暗4
สดใส4|明亮4
หม่น4|灰暗4
สีสัน4|颜色4
ลวดลาย4|花纹4
เสื้อผ้า4|衣服4
กางเกง4|裤子4
กระโปรง4|裙子4
ชุด4|套装4
เสื้อยืด4|T恤4
เสื้อเชิ้ต4|衬衫4
เสื้อกันหนาว4|外套4
เสื้อแจ็คเก็ต4|夹克4
รองเท้า4|鞋子4
ถุงเท้า4|袜子4
หมวก4|帽子4
แว่นตา4|眼镜4
นาฬิกา4|手表4
กระเป๋า4|包4
สร้อยคอ4|项链4
ต่างหู4|耳环4
แหวน4|戒指4
กำไล4|手镯4
เข็มขัด4|腰带4
โทรศัพท์4|电话4
คอมพิวเตอร์4|电脑4
แล็ปท็อป4|笔记本电脑4
แท็บเล็ต4|平板电脑4
เครื่องใช้ไฟฟ้า4|电器4
พัดลม4|风扇4
ไมโครเวฟ4|微波炉4
ตู้เย็น4|冰箱4
เครื่องซักผ้า4|洗衣机4
เตารีด4|熨斗4
เครื่องดูดฝุ่น4|吸尘器4
หุ่นยนต์ดูดฝุ่น4|扫地机器人4
เครื่องล้างจาน4|洗碗机4
หม้อหุงข้าว4|电饭煲4
กาต้มน้ำ4|烧水壶4
ไม้แขวนเสื้อ4|衣架4
ผ้าม่าน4|窗帘4
ผ้าปูที่นอน4|床单4
หมอน4|枕头4
ผ้าห่ม4|被子4
เตียง4|床4
โซฟา4|沙发4
โต๊ะ4|桌子4
เก้าอี้4|椅子4
ตู้4|柜子4
ชั้นวางของ4|架子4
โคมไฟ4|台灯4
ตื่น5|醒来5
ลุก5|起来5
ล้างหน้า5|洗脸5
แปรงฟัน5|刷牙5
อาบน้ำ5|洗澡5
แต่งตัว5|穿衣服5
ทำอาหาร5|做饭5
กินข้าว5|吃饭5
ดื่มน้ำ5|喝水5
ล้างจาน5|洗碗5
ซักผ้า5|洗衣服5
รีดผ้า5|熨衣服5
กวาดบ้าน5|扫地5
ถูบ้าน5|拖地5
ทำความสะอาด5|打扫5
จัดห้อง5|整理房间5
เปิดไฟ5|开灯5
ปิดไฟ5|关灯5
เปิดแอร์5|开空调5
ปิดแอร์5|关空调5
เปิดน้ำ5|开水龙头5
ปิดน้ำ5|关水龙头5
เสียบปลั๊ก5|插电源5
ถอดปลั๊ก5|拔电源5
เปิดทีวี5|看电视5
ดูหนัง5|看电影5
ฟังเพลง5|听音乐5
อ่านหนังสือ5|看书5
เขียนหนังสือ5|写字5
เล่นเกม5|玩游戏5
ทำงานบ้าน5|做家务5
เก็บของ5|收拾东西5
วางของ5|放东西5
หยิบของ5|拿东西5
ทิ้งขยะ5|扔垃圾5
แยกขยะ5|垃圾分类5
รี사이เคิล5|回收利用5
ประหยัดไฟ5|省电5
ประหยัดน้ำ5|节水5
เปิดหน้าต่าง5|开窗5
ปิดหน้าต่าง5|关窗5
ล็อคประตู5|锁门5
ไขประตู5|开门5
กดลิฟต์5|按电梯5
ขึ้นบันได5|上楼梯5
ลงบันได5|下楼梯5
จอดรถ5|停车5
ขับรถ5|开车5
เดินทาง5|出行5
ไปทำงาน5|上班5
กลับบ้าน5|回家5
ออกจากบ้าน5|出门5
เข้าบ้าน5|进家5
พักผ่อน5|休息5
นอนกลางวัน5|午睡5
เข้านอน5|睡觉5
หลับ5|入睡5
ฝัน5|做梦5
ตื่นกลางดึก5|半夜醒来5
นอนไม่หลับ5|失眠5
ง่วงsleepy5|困倦5
เหนื่อย5|累5
เมื่อย5|酸痛5
หิว5|饿5
อิ่ม5|饱5
อ้วน5|胖5
ผอม5|瘦5
ร้อน5|热5
หนาว5|冷5
เปียก5|湿5
แห้ง5|干5
สะอาด5|干净5
สกปรก5|脏5
เรียบร้อย5|整齐5
ยุ่งเหยิง5|乱七八糟5
เงียบ5|安静5
เสียงดัง5|吵闹5
สว่าง5|亮5
มืด5|暗5
สดใส5|明亮5
หม่น5|灰暗5
สีสัน5|颜色5
ลวดลาย5|花纹5
เสื้อผ้า5|衣服5
กางเกง5|裤子5
กระโปรง5|裙子5
ชุด5|套装5
เสื้อยืด5|T恤5
เสื้อเชิ้ต5|衬衫5
เสื้อกันหนาว5|外套5
เสื้อแจ็คเก็ต5|夹克5
รองเท้า5|鞋子5
ถุงเท้า5|袜子5
หมวก5|帽子5
แว่นตา5|眼镜5
นาฬิกา5|手表5
กระเป๋า5|包5
สร้อยคอ5|项链5
ต่างหู5|耳环5
แหวน5|戒指5
กำไล5|手镯5
เข็มขัด5|腰带5
โทรศัพท์5|电话5
คอมพิวเตอร์5|电脑5
แล็ปท็อป5|笔记本电脑5
แท็บเล็ต5|平板电脑5
เครื่องใช้ไฟฟ้า5|电器5
พัดลม5|风扇5
ไมโครเวฟ5|微波炉5
ตู้เย็น5|冰箱5
เครื่องซักผ้า5|洗衣机5
เตารีด5|熨斗5
เครื่องดูดฝุ่น5|吸尘器5
หุ่นยนต์ดูดฝุ่น5|扫地机器人5
เครื่องล้างจาน5|洗碗机5
หม้อหุงข้าว5|电饭煲5
กาต้มน้ำ5|烧水壶5
ไม้แขวนเสื้อ5|衣架5
ผ้าม่าน5|窗帘5
ผ้าปูที่นอน5|床单5
หมอน5|枕头5
ผ้าห่ม5|被子5
เตียง5|床5
โซฟา5|沙发5
โต๊ะ5|桌子5
เก้าอี้5|椅子5
ตู้5|柜子5
ชั้นวางของ5|架子5
โคมไฟ5|台灯5
ตื่น6|醒来6
ลุก6|起来6
ล้างหน้า6|洗脸6
แปรงฟัน6|刷牙6
อาบน้ำ6|洗澡6
แต่งตัว6|穿衣服6
