รัฐบาล|政府
ผู้สูงอายุ|老人
การศึกษา|教育
สาธารณูปการ|公共设施
สาธารณูปโภค|基础设施
ถนน|道路
สะพาน|桥梁
อ่างเก็บน้ำ|水库
เขื่อน|大坝
รัฐบาล2|政府2
นายกรัฐมนตรี2|总理2
รัฐมนตรี2|部长2
สภา2|议会2
สภาผู้แทน2|众议院2
วุฒิสภา2|参议院2
ส.ส.2|议员2
ส.ว.2|参议员2
พรรค2|政党2
การเลือกตั้ง2|选举2
ลงคะแนน2|投票2
บัตรเลือกตั้ง2|选票2
นโยบาย2|政策2
รัฐธรรมนูญ2|宪法2
กฎหมาย2|法律2
พระราชบัญญัติ2|法律2
กฎกระทรวง2|部令2
ระเบียบ2|规定2
ศาล2|法院2
ศาลฎีกา2|最高法院2
ศาลรัฐธรรมนูญ2|宪法法院2
ศาลปกครอง2|行政法院2
ผู้พิพากษา2|法官2
อัยการ2|检察官2
ทนาย2|律师2
จำเลย2|被告2
โจทก์2|原告2
พยาน2|证人2
หลักฐาน2|证据2
คำพิพากษา2|判决2
อุทธรณ์2|上诉2
ประชาธิปไตย2|民主2
เสรีภาพ2|自由2
สิทธิ2|权利2
หน้าที่2|义务2
ความเท่าเทียม2|平等2
ความยุติธรรม2|正义2
สวัสดิการ2|福利2
ประกันสังคม2|社会保险2
กองทุน2|基金2
ภาษี2|税2
งบประมาณ2|预算2
รายรับ2|收入2
รายจ่าย2|支出2
หนี้สาธารณะ2|公共债务2
เศรษฐกิจ2|经济2
เงินเฟ้อ2|通胀2
เงินฝืด2|通缩2
อัตราดอกเบี้ย2|利率2
การค้า2|贸易2
นำเข้า2|进口2
ส่งออก2|出口2
ภาษีศุลกากร2|关税2
การลงทุน2|投资2
หุ้น2|股票2
พันธบัตร2|债券2
ตลาดหลักทรัพย์2|证券交易所2
ธนาคาร2|银行2
ธนาคารแห่งประเทศไทย2|泰国央行2
เงินบาท2|泰铢2
เงินดอลลาร์2|美元2
การทูต2|外交2
สถานทูต2|大使馆2
สถานกงสุล2|领事馆2
สนธิสัญญา2|条约2
ความร่วมมือ2|合作2
ความสัมพันธ์2|关系2
องค์กรระหว่างประเทศ2|国际组织2
สหประชาชาติ2|联合国2
อาเซียน2|东盟2
สหภาพยุโรป2|欧盟2
 WTO2|世贸组织2
ความมั่นคง2|安全2
ตำรวจ2|警察2
ทหาร2|军队2
กองทัพ2|军队2
ความสงบเรียบร้อย2|治安2
การป้องกัน2|防御2
การโจมตี2|攻击2
การทหาร2|军事2
อาวุธ2|武器2
สันติภาพ2|和平2
สงคราม2|战争2
การเจรจา2|谈判2
การไกล่เกลี่ย2|调解2
สิ่งแวดล้อม2|环境2
อนุรักษ์2|保护2
ทิ้งขยะ2|扔垃圾2
รีไซเคิล2|回收2
พลังงาน2|能源2
พลังงานแสงอาทิตย์2|太阳能2
พลังงานลม2|风能2
น้ำมัน2|石油2
ก๊าซธรรมชาติ2|天然气2
ถ่านหิน2|煤炭2
ไฟฟ้า2|电力2
น้ำ2|水2
สาธารณสุข2|公共卫生2
ไข้เลือดออก2|登革热2
มาลาเรีย2|疟疾2
โควิด2|新冠2
การระบาด2|疫情2
วัคซีน2|疫苗2
กักตัว2|隔离2
เว้นระยะห่าง2|保持距离2
สื่อมวลชน2|媒体2
หนังสือพิมพ์2|报纸2
วิทยุ2|广播2
โทรทัศน์2|电视2
สื่อสังคมออนไลน์2|社交媒体2
เสรีภาพสื่อ2|新闻自由2
การเซ็นเซอร์2|审查2
NGO2|非政府组织2
มูลนิธิ2|基金会2
สมาคม2|协会2
ชมรม2|社团2
แรงงาน2|劳动2
สหภาพแรงงาน2|工会2
ค่าแรงขั้นต่ำ2|最低工资2
แรงงานข้ามชาติ2|外来务工2
คนพิการ2|残疾人2
เด็ก2|儿童2
สตรี2|妇女2
ผู้สูงอายุ2|老人2
การศึกษา2|教育2
สาธารณูปการ2|公共设施2
สาธารณูปโภค2|基础设施2
ถนน2|道路2
สะพาน2|桥梁2
อ่างเก็บน้ำ2|水库2
เขื่อน2|大坝2
รัฐบาล3|政府3
นายกรัฐมนตรี3|总理3
รัฐมนตรี3|部长3
สภา3|议会3
สภาผู้แทน3|众议院3
วุฒิสภา3|参议院3
ส.ส.3|议员3
ส.ว.3|参议员3
พรรค3|政党3
การเลือกตั้ง3|选举3
ลงคะแนน3|投票3
บัตรเลือกตั้ง3|选票3
นโยบาย3|政策3
รัฐธรรมนูญ3|宪法3
กฎหมาย3|法律3
พระราชบัญญัติ3|法律3
กฎกระทรวง3|部令3
ระเบียบ3|规定3
ศาล3|法院3
ศาลฎีกา3|最高法院3
ศาลรัฐธรรมนูญ3|宪法法院3
ศาลปกครอง3|行政法院3
ผู้พิพากษา3|法官3
อัยการ3|检察官3
ทนาย3|律师3
จำเลย3|被告3
โจทก์3|原告3
พยาน3|证人3
หลักฐาน3|证据3
คำพิพากษา3|判决3
อุทธรณ์3|上诉3
ประชาธิปไตย3|民主3
เสรีภาพ3|自由3
สิทธิ3|权利3
หน้าที่3|义务3
ความเท่าเทียม3|平等3
ความยุติธรรม3|正义3
สวัสดิการ3|福利3
ประกันสังคม3|社会保险3
กองทุน3|基金3
ภาษี3|税3
งบประมาณ3|预算3
รายรับ3|收入3
รายจ่าย3|支出3
หนี้สาธารณะ3|公共债务3
เศรษฐกิจ3|经济3
เงินเฟ้อ3|通胀3
เงินฝืด3|通缩3
อัตราดอกเบี้ย3|利率3
การค้า3|贸易3
นำเข้า3|进口3
ส่งออก3|出口3
ภาษีศุลกากร3|关税3
การลงทุน3|投资3
หุ้น3|股票3
พันธบัตร3|债券3
ตลาดหลักทรัพย์3|证券交易所3
ธนาคาร3|银行3
ธนาคารแห่งประเทศไทย3|泰国央行3
เงินบาท3|泰铢3
เงินดอลลาร์3|美元3
การทูต3|外交3
สถานทูต3|大使馆3
สถานกงสุล3|领事馆3
สนธิสัญญา3|条约3
ความร่วมมือ3|合作3
ความสัมพันธ์3|关系3
องค์กรระหว่างประเทศ3|国际组织3
สหประชาชาติ3|联合国3
อาเซียน3|东盟3
สหภาพยุโรป3|欧盟3
 WTO3|世贸组织3
ความมั่นคง3|安全3
ตำรวจ3|警察3
ทหาร3|军队3
กองทัพ3|军队3
ความสงบเรียบร้อย3|治安3
การป้องกัน3|防御3
การโจมตี3|攻击3
การทหาร3|军事3
อาวุธ3|武器3
สันติภาพ3|和平3
สงคราม3|战争3
การเจรจา3|谈判3
การไกล่เกลี่ย3|调解3
สิ่งแวดล้อม3|环境3
อนุรักษ์3|保护3
ทิ้งขยะ3|扔垃圾3
รีไซเคิล3|回收3
พลังงาน3|能源3
พลังงานแสงอาทิตย์3|太阳能3
พลังงานลม3|风能3
น้ำมัน3|石油3
ก๊าซธรรมชาติ3|天然气3
ถ่านหิน3|煤炭3
ไฟฟ้า3|电力3
น้ำ3|水3
สาธารณสุข3|公共卫生3
ไข้เลือดออก3|登革热3
มาลาเรีย3|疟疾3
โควิด3|新冠3
การระบาด3|疫情3
วัคซีน3|疫苗3
กักตัว3|隔离3
เว้นระยะห่าง3|保持距离3
สื่อมวลชน3|媒体3
หนังสือพิมพ์3|报纸3
วิทยุ3|广播3
โทรทัศน์3|电视3
สื่อสังคมออนไลน์3|社交媒体3
เสรีภาพสื่อ3|新闻自由3
การเซ็นเซอร์3|审查3
NGO3|非政府组织3
มูลนิธิ3|基金会3
สมาคม3|协会3
ชมรม3|社团3
แรงงาน3|劳动3
สหภาพแรงงาน3|工会3
ค่าแรงขั้นต่ำ3|最低工资3
แรงงานข้ามชาติ3|外来务工3
คนพิการ3|残疾人3
เด็ก3|儿童3
สตรี3|妇女3
ผู้สูงอายุ3|老人3
การศึกษา3|教育3
สาธารณูปการ3|公共设施3
สาธารณูปโภค3|基础设施3
ถนน3|道路3
สะพาน3|桥梁3
อ่างเก็บน้ำ3|水库3
เขื่อน3|大坝3
รัฐบาล4|政府4
นายกรัฐมนตรี4|总理4
รัฐมนตรี4|部长4
สภา4|议会4
สภาผู้แทน4|众议院4
วุฒิสภา4|参议院4
ส.ส.4|议员4
ส.ว.4|参议员4
พรรค4|政党4
การเลือกตั้ง4|选举4
ลงคะแนน4|投票4
บัตรเลือกตั้ง4|选票4
นโยบาย4|政策4
รัฐธรรมนูญ4|宪法4
กฎหมาย4|法律4
พระราชบัญญัติ4|法律4
กฎกระทรวง4|部令4
ระเบียบ4|规定4
ศาล4|法院4
ศาลฎีกา4|最高法院4
ศาลรัฐธรรมนูญ4|宪法法院4
ศาลปกครอง4|行政法院4
ผู้พิพากษา4|法官4
อัยการ4|检察官4
ทนาย4|律师4
จำเลย4|被告4
โจทก์4|原告4
พยาน4|证人4
หลักฐาน4|证据4
คำพิพากษา4|判决4
อุทธรณ์4|上诉4
ประชาธิปไตย4|民主4
เสรีภาพ4|自由4
สิทธิ4|权利4
หน้าที่4|义务4
ความเท่าเทียม4|平等4
ความยุติธรรม4|正义4
สวัสดิการ4|福利4
ประกันสังคม4|社会保险4
กองทุน4|基金4
ภาษี4|税4
งบประมาณ4|预算4
รายรับ4|收入4
รายจ่าย4|支出4
หนี้สาธารณะ4|公共债务4
เศรษฐกิจ4|经济4
เงินเฟ้อ4|通胀4
เงินฝืด4|通缩4
อัตราดอกเบี้ย4|利率4
การค้า4|贸易4
นำเข้า4|进口4
ส่งออก4|出口4
ภาษีศุลกากร4|关税4
การลงทุน4|投资4
หุ้น4|股票4
พันธบัตร4|债券4
ตลาดหลักทรัพย์4|证券交易所4
ธนาคาร4|银行4
ธนาคารแห่งประเทศไทย4|泰国央行4
เงินบาท4|泰铢4
เงินดอลลาร์4|美元4
การทูต4|外交4
สถานทูต4|大使馆4
สถานกงสุล4|领事馆4
สนธิสัญญา4|条约4
ความร่วมมือ4|合作4
ความสัมพันธ์4|关系4
องค์กรระหว่างประเทศ4|国际组织4
สหประชาชาติ4|联合国4
อาเซียน4|东盟4
สหภาพยุโรป4|欧盟4
 WTO4|世贸组织4
ความมั่นคง4|安全4
ตำรวจ4|警察4
ทหาร4|军队4
กองทัพ4|军队4
ความสงบเรียบร้อย4|治安4
การป้องกัน4|防御4
การโจมตี4|攻击4
การทหาร4|军事4
อาวุธ4|武器4
สันติภาพ4|和平4
สงคราม4|战争4
การเจรจา4|谈判4
การไกล่เกลี่ย4|调解4
สิ่งแวดล้อม4|环境4
อนุรักษ์4|保护4
ทิ้งขยะ4|扔垃圾4
รีไซเคิล4|回收4
พลังงาน4|能源4
พลังงานแสงอาทิตย์4|太阳能4
พลังงานลม4|风能4
น้ำมัน4|石油4
ก๊าซธรรมชาติ4|天然气4
ถ่านหิน4|煤炭4
ไฟฟ้า4|电力4
น้ำ4|水4
สาธารณสุข4|公共卫生4
ไข้เลือดออก4|登革热4
มาลาเรีย4|疟疾4
โควิด4|新冠4
การระบาด4|疫情4
วัคซีน4|疫苗4
กักตัว4|隔离4
เว้นระยะห่าง4|保持距离4
สื่อมวลชน4|媒体4
หนังสือพิมพ์4|报纸4
วิทยุ4|广播4
โทรทัศน์4|电视4
สื่อสังคมออนไลน์4|社交媒体4
เสรีภาพสื่อ4|新闻自由4
การเซ็นเซอร์4|审查4
NGO4|非政府组织4
มูลนิธิ4|基金会4
สมาคม4|协会4
ชมรม4|社团4
แรงงาน4|劳动4
สหภาพแรงงาน4|工会4
ค่าแรงขั้นต่ำ4|最低工资4
แรงงานข้ามชาติ4|外来务工4
คนพิการ4|残疾人4
เด็ก4|儿童4
สตรี4|妇女4
ผู้สูงอายุ4|老人4
การศึกษา4|教育4
สาธารณูปการ4|公共设施4
สาธารณูปโภค4|基础设施4
ถนน4|道路4
สะพาน4|桥梁4
อ่างเก็บน้ำ4|水库4
เขื่อน4|大坝4
รัฐบาล5|政府5
นายกรัฐมนตรี5|总理5
รัฐมนตรี5|部长5
สภา5|议会5
สภาผู้แทน5|众议院5
วุฒิสภา5|参议院5
ส.ส.5|议员5
ส.ว.5|参议员5
พรรค5|政党5
การเลือกตั้ง5|选举5
ลงคะแนน5|投票5
บัตรเลือกตั้ง5|选票5
นโยบาย5|政策5
รัฐธรรมนูญ5|宪法5
กฎหมาย5|法律5
พระราชบัญญัติ5|法律5
กฎกระทรวง5|部令5
ระเบียบ5|规定5
ศาล5|法院5
ศาลฎีกา5|最高法院5
ศาลรัฐธรรมนูญ5|宪法法院5
ศาลปกครอง5|行政法院5
ผู้พิพากษา5|法官5
อัยการ5|检察官5
ทนาย5|律师5
จำเลย5|被告5
โจทก์5|原告5
พยาน5|证人5
หลักฐาน5|证据5
คำพิพากษา5|判决5
อุทธรณ์5|上诉5
ประชาธิปไตย5|民主5
เสรีภาพ5|自由5
สิทธิ5|权利5
หน้าที่5|义务5
ความเท่าเทียม5|平等5
ความยุติธรรม5|正义5
สวัสดิการ5|福利5
ประกันสังคม5|社会保险5
กองทุน5|基金5
ภาษี5|税5
งบประมาณ5|预算5
รายรับ5|收入5
รายจ่าย5|支出5
หนี้สาธารณะ5|公共债务5
เศรษฐกิจ5|经济5
เงินเฟ้อ5|通胀5
เงินฝืด5|通缩5
อัตราดอกเบี้ย5|利率5
การค้า5|贸易5
นำเข้า5|进口5
ส่งออก5|出口5
ภาษีศุลกากร5|关税5
การลงทุน5|投资5
หุ้น5|股票5
พันธบัตร5|债券5
ตลาดหลักทรัพย์5|证券交易所5
ธนาคาร5|银行5
ธนาคารแห่งประเทศไทย5|泰国央行5
เงินบาท5|泰铢5
เงินดอลลาร์5|美元5
การทูต5|外交5
สถานทูต5|大使馆5
สถานกงสุล5|领事馆5
สนธิสัญญา5|条约5
ความร่วมมือ5|合作5
ความสัมพันธ์5|关系5
องค์กรระหว่างประเทศ5|国际组织5
สหประชาชาติ5|联合国5
อาเซียน5|东盟5
สหภาพยุโรป5|欧盟5
 WTO5|世贸组织5
ความมั่นคง5|安全5
ตำรวจ5|警察5
ทหาร5|军队5
กองทัพ5|军队5
ความสงบเรียบร้อย5|治安5
การป้องกัน5|防御5
การโจมตี5|攻击5
การทหาร5|军事5
อาวุธ5|武器5
สันติภาพ5|和平5
สงคราม5|战争5
การเจรจา5|谈判5
การไกล่เกลี่ย5|调解5
สิ่งแวดล้อม5|环境5
อนุรักษ์5|保护5
ทิ้งขยะ5|扔垃圾5
รีไซเคิล5|回收5
พลังงาน5|能源5
พลังงานแสงอาทิตย์5|太阳能5
พลังงานลม5|风能5
น้ำมัน5|石油5
ก๊าซธรรมชาติ5|天然气5
ถ่านหิน5|煤炭5
ไฟฟ้า5|电力5
น้ำ5|水5
สาธารณสุข5|公共卫生5
ไข้เลือดออก5|登革热5
มาลาเรีย5|疟疾5
โควิด5|新冠5
การระบาด5|疫情5
วัคซีน5|疫苗5
กักตัว5|隔离5
เว้นระยะห่าง5|保持距离5
สื่อมวลชน5|媒体5
หนังสือพิมพ์5|报纸5
วิทยุ5|广播5
โทรทัศน์5|电视5
สื่อสังคมออนไลน์5|社交媒体5
เสรีภาพสื่อ5|新闻自由5
การเซ็นเซอร์5|审查5
NGO5|非政府组织5
มูลนิธิ5|基金会5
สมาคม5|协会5
ชมรม5|社团5
แรงงาน5|劳动5
สหภาพแรงงาน5|工会5
ค่าแรงขั้นต่ำ5|最低工资5
แรงงานข้ามชาติ5|外来务工5
คนพิการ5|残疾人5
เด็ก5|儿童5
สตรี5|妇女5
ผู้สูงอายุ5|老人5
การศึกษา5|教育5
สาธารณูปการ5|公共设施5
สาธารณูปโภค5|基础设施5
ถนน5|道路5
สะพาน5|桥梁5
อ่างเก็บน้ำ5|水库5
เขื่อน5|大坝5
รัฐบาล6|政府6
นายกรัฐมนตรี6|总理6
รัฐมนตรี6|部长6
สภา6|议会6
สภาผู้แทน6|众议院6
วุฒิสภา6|参议院6
ส.ส.6|议员6
ส.ว.6|参议员6
พรรค6|政党6
การเลือกตั้ง6|选举6
ลงคะแนน6|投票6
บัตรเลือกตั้ง6|选票6
นโยบาย6|政策6
รัฐธรรมนูญ6|宪法6
กฎหมาย6|法律6
พระราชบัญญัติ6|法律6
กฎกระทรวง6|部令6
ระเบียบ6|规定6
ศาล6|法院6
ศาลฎีกา6|最高法院6
ศาลรัฐธรรมนูญ6|宪法法院6
ศาลปกครอง6|行政法院6
ผู้พิพากษา6|法官6
อัยการ6|检察官6
ทนาย6|律师6
จำเลย6|被告6
โจทก์6|原告6
พยาน6|证人6
หลักฐาน6|证据6
คำพิพากษา6|判决6
อุทธรณ์6|上诉6
ประชาธิปไตย6|民主6
เสรีภาพ6|自由6
สิทธิ6|权利6
หน้าที่6|义务6
ความเท่าเทียม6|平等6
ความยุติธรรม6|正义6
สวัสดิการ6|福利6
ประกันสังคม6|社会保险6
กองทุน6|基金6
ภาษี6|税6
งบประมาณ6|预算6
รายรับ6|收入6
รายจ่าย6|支出6
หนี้สาธารณะ6|公共债务6
เศรษฐกิจ6|经济6
เงินเฟ้อ6|通胀6
เงินฝืด6|通缩6
อัตราดอกเบี้ย6|利率6
การค้า6|贸易6
นำเข้า6|进口6
ส่งออก6|出口6
ภาษีศุลกากร6|关税6
การลงทุน6|投资6
หุ้น6|股票6
พันธบัตร6|债券6
ตลาดหลักทรัพย์6|证券交易所6
ธนาคาร6|银行6
ธนาคารแห่งประเทศไทย6|泰国央行6
เงินบาท6|泰铢6
เงินดอลลาร์6|美元6
การทูต6|外交6
สถานทูต6|大使馆6
สถานกงสุล6|领事馆6
สนธิสัญญา6|条约6
ความร่วมมือ6|合作6
ความสัมพันธ์6|关系6
องค์กรระหว่างประเทศ6|国际组织6
สหประชาชาติ6|联合国6
อาเซียน6|东盟6
สหภาพยุโรป6|欧盟6
 WTO6|世贸组织6
ความมั่นคง6|安全6
ตำรวจ6|警察6
ทหาร6|军队6
กองทัพ6|军队6
ความสงบเรียบร้อย6|治安6
การป้องกัน6|防御6
การโจมตี6|攻击6
การทหาร6|军事6
อาวุธ6|武器6
สันติภาพ6|和平6
สงคราม6|战争6
การเจรจา6|谈判6
การไกล่เกลี่ย6|调解6
สิ่งแวดล้อม6|环境6
อนุรักษ์6|保护6
ทิ้งขยะ6|扔垃圾6
รีไซเคิล6|回收6
พลังงาน6|能源6
พลังงานแสงอาทิตย์6|太阳能6
พลังงานลม6|风能6
น้ำมัน6|石油6
ก๊าซธรรมชาติ6|天然气6
ถ่านหิน6|煤炭6
ไฟฟ้า6|电力6
น้ำ6|水6
สาธารณสุข6|公共卫生6
ไข้เลือดออก6|登革热6
มาลาเรีย6|疟疾6
โควิด6|新冠6
การระบาด6|疫情6
วัคซีน6|疫苗6
กักตัว6|隔离6
เว้นระยะห่าง6|保持距离6
สื่อมวลชน6|媒体6
หนังสือพิมพ์6|报纸6
วิทยุ6|广播6
โทรทัศน์6|电视6
สื่อสังคมออนไลน์6|社交媒体6
เสรีภาพสื่อ6|新闻自由6
การเซ็นเซอร์6|审查6
NGO6|非政府组织6
มูลนิธิ6|基金会6
สมาคม6|协会6
ชมรม6|社团6
แรงงาน6|劳动6
สหภาพแรงงาน6|工会6
ค่าแรงขั้นต่ำ6|最低工资6
แรงงานข้ามชาติ6|外来务工6
คนพิการ6|残疾人6
เด็ก6|儿童6
สตรี6|妇女6
ผู้สูงอายุ6|老人6
การศึกษา6|教育6
สาธารณูปการ6|公共设施6
สาธารณูปโภค6|基础设施6
ถนน6|道路6
สะพาน6|桥梁6
อ่างเก็บน้ำ6|水库6
เขื่อน6|大坝6
รัฐบาล7|政府7
นายกรัฐมนตรี7|总理7
รัฐมนตรี7|部长7
สภา7|议会7
สภาผู้แทน7|众议院7
วุฒิสภา7|参议院7
ส.ส.7|议员7
ส.ว.7|参议员7
พรรค7|政党7
การเลือกตั้ง7|选举7
ลงคะแนน7|投票7
บัตรเลือกตั้ง7|选票7
นโยบาย7|政策7
รัฐธรรมนูญ7|宪法7
กฎหมาย7|法律7
พระราชบัญญัติ7|法律7
กฎกระทรวง7|部令7
ระเบียบ7|规定7
ศาล7|法院7
ศาลฎีกา7|最高法院7
ศาลรัฐธรรมนูญ7|宪法法院7
ศาลปกครอง7|行政法院7
ผู้พิพากษา7|法官7
อัยการ7|检察官7
ทนาย7|律师7
จำเลย7|被告7
โจทก์7|原告7
พยาน7|证人7
หลักฐาน7|证据7
คำพิพากษา7|判决7
อุทธรณ์7|上诉7
ประชาธิปไตย7|民主7
เสรีภาพ7|自由7
สิทธิ7|权利7
หน้าที่7|义务7
ความเท่าเทียม7|平等7
ความยุติธรรม7|正义7
สวัสดิการ7|福利7
ประกันสังคม7|社会保险7
กองทุน7|基金7
ภาษี7|税7
งบประมาณ7|预算7
รายรับ7|收入7
รายจ่าย7|支出7
หนี้สาธารณะ7|公共债务7
เศรษฐกิจ7|经济7
เงินเฟ้อ7|通胀7
เงินฝืด7|通缩7
อัตราดอกเบี้ย7|利率7
การค้า7|贸易7
นำเข้า7|进口7
ส่งออก7|出口7
ภาษีศุลกากร7|关税7
การลงทุน7|投资7
หุ้น7|股票7
พันธบัตร7|债券7
ตลาดหลักทรัพย์7|证券交易所7
ธนาคาร7|银行7
ธนาคารแห่งประเทศไทย7|泰国央行7
เงินบาท7|泰铢7
เงินดอลลาร์7|美元7
การทูต7|外交7
สถานทูต7|大使馆7
สถานกงสุล7|领事馆7
สนธิสัญญา7|条约7
ความร่วมมือ7|合作7
ความสัมพันธ์7|关系7
องค์กรระหว่างประเทศ7|国际组织7
สหประชาชาติ7|联合国7
อาเซียน7|东盟7
สหภาพยุโรป7|欧盟7
 WTO7|世贸组织7
ความมั่นคง7|安全7
ตำรวจ7|警察7
ทหาร7|军队7
กองทัพ7|军队7
ความสงบเรียบร้อย7|治安7
การป้องกัน7|防御7
การโจมตี7|攻击7
การทหาร7|军事7
อาวุธ7|武器7
สันติภาพ7|和平7
สงคราม7|战争7
การเจรจา7|谈判7
การไกล่เกลี่ย7|调解7
สิ่งแวดล้อม7|环境7
อนุรักษ์7|保护7
ทิ้งขยะ7|扔垃圾7
รีไซเคิล7|回收7
พลังงาน7|能源7
พลังงานแสงอาทิตย์7|太阳能7
พลังงานลม7|风能7
น้ำมัน7|石油7
ก๊าซธรรมชาติ7|天然气7
ถ่านหิน7|煤炭7
ไฟฟ้า7|电力7
น้ำ7|水7
สาธารณสุข7|公共卫生7
ไข้เลือดออก7|登革热7
มาลาเรีย7|疟疾7
โควิด7|新冠7
การระบาด7|疫情7
วัคซีน7|疫苗7
กักตัว7|隔离7
เว้นระยะห่าง7|保持距离7
สื่อมวลชน7|媒体7
หนังสือพิมพ์7|报纸7
วิทยุ7|广播7
โทรทัศน์7|电视7
สื่อสังคมออนไลน์7|社交媒体7
เสรีภาพสื่อ7|新闻自由7
การเซ็นเซอร์7|审查7
NGO7|非政府组织7
มูลนิธิ7|基金会7
สมาคม7|协会7
ชมรม7|社团7
แรงงาน7|劳动7
