เรียน|学习
สวิตช์ไฟ|开关
ปลั๊กไฟ|插座
สายไฟ|电线
พัดลม|风扇
แอร์|空调
เครื่องทำน้ำอุ่น|热水器
ตู้เย็น|冰箱
เตาไมโครเวฟ|微波炉
เตาอบ|烤箱
เครื่องล้างจาน|洗碗机
เครื่องซักผ้า|洗衣机
เครื่องอบผ้า|烘干机
ตู้เสื้อผ้า|衣柜
เตียง|床
หมอน|枕头
ผ้าห่ม|被子
ผ้าปูที่นอน|床单
ผ้าเช็ดตัว|毛巾
สบู่|肥皂
แชมพู|洗发水
ครีมนวด|护发素
ยาสีฟัน|牙膏
แปรงสีฟัน|牙刷
กระจก|镜子
หวี|梳子
คิด|想
ลืม|忘记
เข้าใจ|理解
รู้|知道
ไม่รู้|不知道
สงสัย|怀疑
ถาม|问
ตอบ|回答
สอน|教
ฝึก|练
ทำ|做
ทำข้อสอบ|做考试
ผ่าน|通过
ไม่ผ่าน|不通过
ตก|不及格
ได้คะแนน|得分
คะแนน|分数
วิชา|科目
วิชาคณิตศาสตร์|数学
วิชาวิทยาศาสตร์|科学
วิชาภาษา|语言
วิชาภาษาอังกฤษ|英语
วิชาภาษาจีน|中文
วิชาภาษาญี่ปุ่น|日语
วิชาภาษาเกาหลี|韩语
วิชาภาษาไทย|泰语
วิชาสังคมศาสตร์|社会科学
วิชาประวัติศาสตร์|历史
วิชาภูมิศาสตร์|地理
วิชาศิลปะ|美术
วิชาดนตรี|音乐
วิชาพลศึกษา|体育
วิชาคอมพิวเตอร์|计算机
ตำรา|教材
แบบเรียน|课本
แบบฝึกหัด|练习册
ข้อสอบ|考题
ชอล์ก|粉笔
กล่องดินสอ|铅笔盒
ไม้บรรทัด|尺子
ห้อง 컴퓨터|电脑室
โรงเรียน|学校
มหาวิทยาลัย|大学
คณะ|学院
ภาควิชา|系
หลักสูตร|课程
ประกาศนียบัตร|证书
ปริญญา|学位
ปริญญาตรี|学士
ปริญญาโท|硕士
ปริญญาเอก|博士
เวลาเรียน|上课时间
เวลาพัก|休息时间
วันหยุด|假期
ปิดเทอม|放假
เปิดเทอม|开学
ลงทะเบียน|注册
สมัครเรียน|报名
ถอนวิชา|退课
ย้ายวิชา|转课
การบ้าน|作业
รายงาน|报告
 Presentation|演讲
สัมมนา|研讨会
กลุ่ม|小组
คู่|一对
ทีม|团队
หัวหน้ากลุ่ม|组长
สมาชิก|成员
 GPA|绩点
Transcript|成绩单
Portfolio|作品集
Resume|简历
ทุน|奖学金
ทุนการศึกษา|教育奖学金
กู้ยืมเงิน|贷款
ค่าเทอม|学费
อินเทอร์เน็ต|互联网
Wi-Fi|无线网络
แลปท็อป|笔记本电脑
应用程序|App
Program|程序
Software|软件
Hardware|硬件
Email|电子邮件
วิดีโอ|视频
เสียง|音频
สไลด์|幻灯片
PowerPoint|演示文稿
Word|文字处理
Excel|电子表格
PDF|便携文档
Google|谷歌
YouTube|油管
Wikipedia|维基百科
เรียน2|学习2
อ่าน2|读2
เขียน2|写2
ฟัง2|听2
พูด2|说2
คิด2|想2
จำ2|记2
ลืม2|忘记2
เข้าใจ2|理解2
รู้2|知道2
ไม่รู้2|不知道2
สงสัย2|怀疑2
ถาม2|问2
ตอบ2|回答2
สอน2|教2
ฝึก2|练2
ทำ2|做2
ทำแบบฝึกหัด2|做练习2
ทำข้อสอบ2|做考试2
สอบ2|考试2
ผ่าน2|通过2
ไม่ผ่าน2|不通过2
ตก2|不及格2
ได้คะแนน2|得分2
คะแนน2|分数2
วิชา2|科目2
วิชาคณิตศาสตร์2|数学2
วิชาวิทยาศาสตร์2|科学2
วิชาภาษา2|语言2
วิชาภาษาอังกฤษ2|英语2
วิชาภาษาจีน2|中文2
วิชาภาษาญี่ปุ่น2|日语2
วิชาภาษาเกาหลี2|韩语2
วิชาภาษาไทย2|泰语2
วิชาสังคมศาสตร์2|社会科学2
วิชาประวัติศาสตร์2|历史2
วิชาภูมิศาสตร์2|地理2
วิชาศิลปะ2|美术2
วิชาดนตรี2|音乐2
วิชาพลศึกษา2|体育2
วิชาคอมพิวเตอร์2|计算机2
หนังสือ2|书2
ตำรา2|教材2
แบบเรียน2|课本2
แบบฝึกหัด2|练习册2
ข้อสอบ2|考题2
กระดาน2|黑板2
ชอล์ก2|粉笔2
ปากกา2|笔2
ดินสอ2|铅笔2
ยางลบ2|橡皮2
สมุด2|本子2
กระดาษ2|纸2
แฟ้ม2|文件夹2
กล่องดินสอ2|铅笔盒2
ไม้บรรทัด2|尺子2
ห้องเรียน2|教室2
ห้องสมุด2|图书馆2
ห้องปฏิบัติการ2|实验室2
ห้อง 컴퓨터2|电脑室2
โรงเรียน2|学校2
มหาวิทยาลัย2|大学2
คณะ2|学院2
ภาควิชา2|系2
หลักสูตร2|课程2
ประกาศนียบัตร2|证书2
ปริญญา2|学位2
ปริญญาตรี2|学士2
ปริญญาโท2|硕士2
ปริญญาเอก2|博士2
เวลาเรียน2|上课时间2
เวลาพัก2|休息时间2
วันหยุด2|假期2
ปิดเทอม2|放假2
เปิดเทอม2|开学2
ลงทะเบียน2|注册2
สมัครเรียน2|报名2
ถอนวิชา2|退课2
ย้ายวิชา2|转课2
การบ้าน2|作业2
รายงาน2|报告2
 Presentation2|演讲2
สัมมนา2|研讨会2
กลุ่ม2|小组2
คู่2|一对2
ทีม2|团队2
หัวหน้ากลุ่ม2|组长2
สมาชิก2|成员2
 GPA2|绩点2
Transcript2|成绩单2
Portfolio2|作品集2
Resume2|简历2
ทุน2|奖学金2
ทุนการศึกษา2|教育奖学金2
กู้ยืมเงิน2|贷款2
ค่าเทอม2|学费2
อินเทอร์เน็ต2|互联网2
Wi-Fi2|无线网络2
แลปท็อป2|笔记本电脑2
แท็บเล็ต2|平板电脑2
应用程序2|App2
Program2|程序2
Software2|软件2
Hardware2|硬件2
Email2|电子邮件2
วิดีโอ2|视频2
เสียง2|音频2
สไลด์2|幻灯片2
PowerPoint2|演示文稿2
Word2|文字处理2
Excel2|电子表格2
PDF2|便携文档2
Google2|谷歌2
YouTube2|油管2
Wikipedia2|维基百科2
เรียน3|学习3
อ่าน3|读3
เขียน3|写3
ฟัง3|听3
พูด3|说3
คิด3|想3
จำ3|记3
ลืม3|忘记3
เข้าใจ3|理解3
รู้3|知道3
ไม่รู้3|不知道3
สงสัย3|怀疑3
ถาม3|问3
ตอบ3|回答3
สอน3|教3
ฝึก3|练3
ทำ3|做3
ทำแบบฝึกหัด3|做练习3
ทำข้อสอบ3|做考试3
สอบ3|考试3
ผ่าน3|通过3
ไม่ผ่าน3|不通过3
ตก3|不及格3
ได้คะแนน3|得分3
คะแนน3|分数3
วิชา3|科目3
วิชาคณิตศาสตร์3|数学3
วิชาวิทยาศาสตร์3|科学3
วิชาภาษา3|语言3
วิชาภาษาอังกฤษ3|英语3
วิชาภาษาจีน3|中文3
วิชาภาษาญี่ปุ่น3|日语3
วิชาภาษาเกาหลี3|韩语3
วิชาภาษาไทย3|泰语3
วิชาสังคมศาสตร์3|社会科学3
วิชาประวัติศาสตร์3|历史3
วิชาภูมิศาสตร์3|地理3
วิชาศิลปะ3|美术3
วิชาดนตรี3|音乐3
วิชาพลศึกษา3|体育3
วิชาคอมพิวเตอร์3|计算机3
หนังสือ3|书3
ตำรา3|教材3
แบบเรียน3|课本3
แบบฝึกหัด3|练习册3
ข้อสอบ3|考题3
กระดาน3|黑板3
ชอล์ก3|粉笔3
ปากกา3|笔3
ดินสอ3|铅笔3
ยางลบ3|橡皮3
สมุด3|本子3
กระดาษ3|纸3
แฟ้ม3|文件夹3
กล่องดินสอ3|铅笔盒3
ไม้บรรทัด3|尺子3
ห้องเรียน3|教室3
ห้องสมุด3|图书馆3
ห้องปฏิบัติการ3|实验室3
ห้อง 컴퓨터3|电脑室3
โรงเรียน3|学校3
มหาวิทยาลัย3|大学3
คณะ3|学院3
ภาควิชา3|系3
หลักสูตร3|课程3
ประกาศนียบัตร3|证书3
ปริญญา3|学位3
ปริญญาตรี3|学士3
ปริญญาโท3|硕士3
ปริญญาเอก3|博士3
เวลาเรียน3|上课时间3
เวลาพัก3|休息时间3
วันหยุด3|假期3
ปิดเทอม3|放假3
เปิดเทอม3|开学3
ลงทะเบียน3|注册3
สมัครเรียน3|报名3
ถอนวิชา3|退课3
ย้ายวิชา3|转课3
การบ้าน3|作业3
รายงาน3|报告3
 Presentation3|演讲3
สัมมนา3|研讨会3
กลุ่ม3|小组3
คู่3|一对3
ทีม3|团队3
หัวหน้ากลุ่ม3|组长3
สมาชิก3|成员3
 GPA3|绩点3
Transcript3|成绩单3
Portfolio3|作品集3
Resume3|简历3
ทุน3|奖学金3
ทุนการศึกษา3|教育奖学金3
กู้ยืมเงิน3|贷款3
ค่าเทอม3|学费3
อินเทอร์เน็ต3|互联网3
Wi-Fi3|无线网络3
แลปท็อป3|笔记本电脑3
แท็บเล็ต3|平板电脑3
应用程序3|App3
Program3|程序3
Software3|软件3
Hardware3|硬件3
Email3|电子邮件3
วิดีโอ3|视频3
เสียง3|音频3
สไลด์3|幻灯片3
PowerPoint3|演示文稿3
Word3|文字处理3
Excel3|电子表格3
PDF3|便携文档3
Google3|谷歌3
YouTube3|油管3
Wikipedia3|维基百科3
เรียน4|学习4
อ่าน4|读4
เขียน4|写4
ฟัง4|听4
พูด4|说4
คิด4|想4
จำ4|记4
ลืม4|忘记4
เข้าใจ4|理解4
รู้4|知道4
ไม่รู้4|不知道4
สงสัย4|怀疑4
ถาม4|问4
ตอบ4|回答4
สอน4|教4
ฝึก4|练4
ทำ4|做4
ทำแบบฝึกหัด4|做练习4
ทำข้อสอบ4|做考试4
สอบ4|考试4
ผ่าน4|通过4
ไม่ผ่าน4|不通过4
ตก4|不及格4
ได้คะแนน4|得分4
คะแนน4|分数4
วิชา4|科目4
วิชาคณิตศาสตร์4|数学4
วิชาวิทยาศาสตร์4|科学4
วิชาภาษา4|语言4
วิชาภาษาอังกฤษ4|英语4
วิชาภาษาจีน4|中文4
วิชาภาษาญี่ปุ่น4|日语4
วิชาภาษาเกาหลี4|韩语4
วิชาภาษาไทย4|泰语4
วิชาสังคมศาสตร์4|社会科学4
วิชาประวัติศาสตร์4|历史4
วิชาภูมิศาสตร์4|地理4
วิชาศิลปะ4|美术4
วิชาดนตรี4|音乐4
วิชาพลศึกษา4|体育4
วิชาคอมพิวเตอร์4|计算机4
หนังสือ4|书4
ตำรา4|教材4
แบบเรียน4|课本4
แบบฝึกหัด4|练习册4
ข้อสอบ4|考题4
กระดาน4|黑板4
ชอล์ก4|粉笔4
ปากกา4|笔4
ดินสอ4|铅笔4
ยางลบ4|橡皮4
สมุด4|本子4
กระดาษ4|纸4
แฟ้ม4|文件夹4
กล่องดินสอ4|铅笔盒4
ไม้บรรทัด4|尺子4
ห้องเรียน4|教室4
ห้องสมุด4|图书馆4
ห้องปฏิบัติการ4|实验室4
ห้อง 컴퓨터4|电脑室4
โรงเรียน4|学校4
มหาวิทยาลัย4|大学4
คณะ4|学院4
ภาควิชา4|系4
หลักสูตร4|课程4
ประกาศนียบัตร4|证书4
ปริญญา4|学位4
ปริญญาตรี4|学士4
ปริญญาโท4|硕士4
ปริญญาเอก4|博士4
เวลาเรียน4|上课时间4
เวลาพัก4|休息时间4
วันหยุด4|假期4
ปิดเทอม4|放假4
เปิดเทอม4|开学4
ลงทะเบียน4|注册4
สมัครเรียน4|报名4
ถอนวิชา4|退课4
ย้ายวิชา4|转课4
การบ้าน4|作业4
รายงาน4|报告4
 Presentation4|演讲4
สัมมนา4|研讨会4
กลุ่ม4|小组4
คู่4|一对4
ทีม4|团队4
หัวหน้ากลุ่ม4|组长4
สมาชิก4|成员4
 GPA4|绩点4
Transcript4|成绩单4
Portfolio4|作品集4
Resume4|简历4
ทุน4|奖学金4
ทุนการศึกษา4|教育奖学金4
กู้ยืมเงิน4|贷款4
ค่าเทอม4|学费4
อินเทอร์เน็ต4|互联网4
Wi-Fi4|无线网络4
แลปท็อป4|笔记本电脑4
แท็บเล็ต4|平板电脑4
应用程序4|App4
Program4|程序4
Software4|软件4
Hardware4|硬件4
Email4|电子邮件4
วิดีโอ4|视频4
เสียง4|音频4
สไลด์4|幻灯片4
PowerPoint4|演示文稿4
Word4|文字处理4
Excel4|电子表格4
PDF4|便携文档4
Google4|谷歌4
YouTube4|油管4
Wikipedia4|维基百科4
เรียน5|学习5
อ่าน5|读5
เขียน5|写5
ฟัง5|听5
พูด5|说5
คิด5|想5
จำ5|记5
ลืม5|忘记5
เข้าใจ5|理解5
รู้5|知道5
ไม่รู้5|不知道5
สงสัย5|怀疑5
ถาม5|问5
ตอบ5|回答5
สอน5|教5
ฝึก5|练5
ทำ5|做5
ทำแบบฝึกหัด5|做练习5
ทำข้อสอบ5|做考试5
สอบ5|考试5
ผ่าน5|通过5
ไม่ผ่าน5|不通过5
ตก5|不及格5
ได้คะแนน5|得分5
คะแนน5|分数5
วิชา5|科目5
วิชาคณิตศาสตร์5|数学5
วิชาวิทยาศาสตร์5|科学5
วิชาภาษา5|语言5
วิชาภาษาอังกฤษ5|英语5
วิชาภาษาจีน5|中文5
วิชาภาษาญี่ปุ่น5|日语5
วิชาภาษาเกาหลี5|韩语5
วิชาภาษาไทย5|泰语5
วิชาสังคมศาสตร์5|社会科学5
วิชาประวัติศาสตร์5|历史5
วิชาภูมิศาสตร์5|地理5
วิชาศิลปะ5|美术5
วิชาดนตรี5|音乐5
วิชาพลศึกษา5|体育5
วิชาคอมพิวเตอร์5|计算机5
หนังสือ5|书5
ตำรา5|教材5
แบบเรียน5|课本5
แบบฝึกหัด5|练习册5
ข้อสอบ5|考题5
กระดาน5|黑板5
ชอล์ก5|粉笔5
ปากกา5|笔5
ดินสอ5|铅笔5
ยางลบ5|橡皮5
สมุด5|本子5
กระดาษ5|纸5
แฟ้ม5|文件夹5
กล่องดินสอ5|铅笔盒5
ไม้บรรทัด5|尺子5
ห้องเรียน5|教室5
ห้องสมุด5|图书馆5
ห้องปฏิบัติการ5|实验室5
ห้อง 컴퓨터5|电脑室5
โรงเรียน5|学校5
มหาวิทยาลัย5|大学5
คณะ5|学院5
ภาควิชา5|系5
หลักสูตร5|课程5
ประกาศนียบัตร5|证书5
ปริญญา5|学位5
ปริญญาตรี5|学士5
ปริญญาโท5|硕士5
ปริญญาเอก5|博士5
เวลาเรียน5|上课时间5
เวลาพัก5|休息时间5
วันหยุด5|假期5
ปิดเทอม5|放假5
เปิดเทอม5|开学5
ลงทะเบียน5|注册5
สมัครเรียน5|报名5
ถอนวิชา5|退课5
ย้ายวิชา5|转课5
การบ้าน5|作业5
รายงาน5|报告5
 Presentation5|演讲5
สัมมนา5|研讨会5
กลุ่ม5|小组5
คู่5|一对5
ทีม5|团队5
หัวหน้ากลุ่ม5|组长5
สมาชิก5|成员5
 GPA5|绩点5
Transcript5|成绩单5
Portfolio5|作品集5
Resume5|简历5
ทุน5|奖学金5
ทุนการศึกษา5|教育奖学金5
กู้ยืมเงิน5|贷款5
ค่าเทอม5|学费5
อินเทอร์เน็ต5|互联网5
Wi-Fi5|无线网络5
แลปท็อป5|笔记本电脑5
แท็บเล็ต5|平板电脑5
应用程序5|App5
Program5|程序5
Software5|软件5
Hardware5|硬件5
Email5|电子邮件5
วิดีโอ5|视频5
เสียง5|音频5
สไลด์5|幻灯片5
PowerPoint5|演示文稿5
Word5|文字处理5
Excel5|电子表格5
PDF5|便携文档5
Google5|谷歌5
YouTube5|油管5
Wikipedia5|维基百科5
เรียน6|学习6
อ่าน6|读6
เขียน6|写6
ฟัง6|听6
พูด6|说6
คิด6|想6
จำ6|记6
ลืม6|忘记6
เข้าใจ6|理解6
รู้6|知道6
ไม่รู้6|不知道6
สงสัย6|怀疑6
ถาม6|问6
ตอบ6|回答6
สอน6|教6
ฝึก6|练6
ทำ6|做6
ทำแบบฝึกหัด6|做练习6
ทำข้อสอบ6|做考试6
สอบ6|考试6
ผ่าน6|通过6
ไม่ผ่าน6|不通过6
ตก6|不及格6
ได้คะแนน6|得分6
คะแนน6|分数6
วิชา6|科目6
วิชาคณิตศาสตร์6|数学6
วิชาวิทยาศาสตร์6|科学6
วิชาภาษา6|语言6
วิชาภาษาอังกฤษ6|英语6
วิชาภาษาจีน6|中文6
วิชาภาษาญี่ปุ่น6|日语6
วิชาภาษาเกาหลี6|韩语6
วิชาภาษาไทย6|泰语6
วิชาสังคมศาสตร์6|社会科学6
วิชาประวัติศาสตร์6|历史6
วิชาภูมิศาสตร์6|地理6
วิชาศิลปะ6|美术6
วิชาดนตรี6|音乐6
วิชาพลศึกษา6|体育6
วิชาคอมพิวเตอร์6|计算机6
หนังสือ6|书6
ตำรา6|教材6
แบบเรียน6|课本6
แบบฝึกหัด6|练习册6
ข้อสอบ6|考题6
กระดาน6|黑板6
ชอล์ก6|粉笔6
ปากกา6|笔6
ดินสอ6|铅笔6
ยางลบ6|橡皮6
สมุด6|本子6
กระดาษ6|纸6
แฟ้ม6|文件夹6
กล่องดินสอ6|铅笔盒6
ไม้บรรทัด6|尺子6
ห้องเรียน6|教室6
ห้องสมุด6|图书馆6
ห้องปฏิบัติการ6|实验室6
ห้อง 컴퓨터6|电脑室6
โรงเรียน6|学校6
มหาวิทยาลัย6|大学6
คณะ6|学院6
ภาควิชา6|系6
หลักสูตร6|课程6
ประกาศนียบัตร6|证书6
ปริญญา6|学位6
ปริญญาตรี6|学士6
ปริญญาโท6|硕士6
ปริญญาเอก6|博士6
เวลาเรียน6|上课时间6
เวลาพัก6|休息时间6
วันหยุด6|假期6
ปิดเทอม6|放假6
เปิดเทอม6|开学6
ลงทะเบียน6|注册6
สมัครเรียน6|报名6
ถอนวิชา6|退课6
ย้ายวิชา6|转课6
การบ้าน6|作业6
รายงาน6|报告6
 Presentation6|演讲6
สัมมนา6|研讨会6
กลุ่ม6|小组6
คู่6|一对6
ทีม6|团队6
หัวหน้ากลุ่ม6|组长6
สมาชิก6|成员6
 GPA6|绩点6
Transcript6|成绩单6
Portfolio6|作品集6
Resume6|简历6
ทุน6|奖学金6
ทุนการศึกษา6|教育奖学金6
กู้ยืมเงิน6|贷款6
ค่าเทอม6|学费6
อินเทอร์เน็ต6|互联网6
Wi-Fi6|无线网络6
แลปท็อป6|笔记本电脑6
แท็บเล็ต6|平板电脑6
应用程序6|App6
Program6|程序6
Software6|软件6
Hardware6|硬件6
Email6|电子邮件6
วิดีโอ6|视频6
เสียง6|音频6
สไลด์6|幻灯片6
PowerPoint6|演示文稿6
Word6|文字处理6
Excel6|电子表格6
PDF6|便携文档6
Google6|谷歌6
YouTube6|油管6
Wikipedia6|维基百科6
เรียน7|学习7
อ่าน7|读7
เขียน7|写7
ฟัง7|听7
พูด7|说7
คิด7|想7
จำ7|记7
ลืม7|忘记7
เข้าใจ7|理解7
รู้7|知道7
ไม่รู้7|不知道7
สงสัย7|怀疑7
ถาม7|问7
ตอบ7|回答7
สอน7|教7
ฝึก7|练7
ทำ7|做7
ทำแบบฝึกหัด7|做练习7
ทำข้อสอบ7|做考试7
สอบ7|考试7
ผ่าน7|通过7
ไม่ผ่าน7|不通过7
ตก7|不及格7
ได้คะแนน7|得分7
คะแนน7|分数7
วิชา7|科目7
วิชาคณิตศาสตร์7|数学7
วิชาวิทยาศาสตร์7|科学7
วิชาภาษา7|语言7
วิชาภาษาอังกฤษ7|英语7
วิชาภาษาจีน7|中文7
วิชาภาษาญี่ปุ่น7|日语7
วิชาภาษาเกาหลี7|韩语7
วิชาภาษาไทย7|泰语7
วิชาสังคมศาสตร์7|社会科学7
วิชาประวัติศาสตร์7|历史7
วิชาภูมิศาสตร์7|地理7
วิชาศิลปะ7|美术7
วิชาดนตรี7|音乐7
วิชาพลศึกษา7|体育7
วิชาคอมพิวเตอร์7|计算机7
หนังสือ7|书7
ตำรา7|教材7
แบบเรียน7|课本7
แบบฝึกหัด7|练习册7
ข้อสอบ7|考题7
กระดาน7|黑板7
ชอล์ก7|粉笔7
ปากกา7|笔7
ดินสอ7|铅笔7
ยางลบ7|橡皮7
สมุด7|本子7
กระดาษ7|纸7
แฟ้ม7|文件夹7
กล่องดินสอ7|铅笔盒7
ไม้บรรทัด7|尺子7
ห้องเรียน7|教室7
ห้องสมุด7|图书馆7
ห้องปฏิบัติการ7|实验室7
ห้อง 컴퓨터7|电脑室7
โรงเรียน7|学校7
มหาวิทยาลัย7|大学7
คณะ7|学院7
ภาควิชา7|系7
หลักสูตร7|课程7
ประกาศนียบัตร7|证书7
ปริญญา7|学位7
ปริญญาตรี7|学士7
ปริญญาโท7|硕士7
ปริญญาเอก7|博士7
เวลาเรียน7|上课时间7
เวลาพัก7|休息时间7
วันหยุด7|假期7
ปิดเทอม7|放假7
เปิดเทอม7|开学7
ลงทะเบียน7|注册7
สมัครเรียน7|报名7
ถอนวิชา7|退课7
ย้ายวิชา7|转课7
การบ้าน7|作业7
รายงาน7|报告7
 Presentation7|演讲7
สัมมนา7|研讨会7
กลุ่ม7|小组7
คู่7|一对7
ทีม7|团队7
หัวหน้ากลุ่ม7|组长7
สมาชิก7|成员7
 GPA7|绩点7
Transcript7|成绩单7
Portfolio7|作品集7
Resume7|简历7
ทุน7|奖学金7
ทุนการศึกษา7|教育奖学金7
กู้ยืมเงิน7|贷款7
ค่าเทอม7|学费7
อินเทอร์เน็ต7|互联网7
Wi-Fi7|无线网络7
แลปท็อป7|笔记本电脑7
แท็บเล็ต7|平板电脑7
应用程序7|App7
Program7|程序7
Software7|软件7
Hardware7|硬件7
Email7|电子邮件7
วิดีโอ7|视频7
เสียง7|音频7
สไลด์7|幻灯片7
PowerPoint7|演示文稿7
Word7|文字处理7
Excel7|电子表格7
PDF7|便携文档7
Google7|谷歌7
YouTube7|油管7
Wikipedia7|维基百科7
เรียน8|学习8
อ่าน8|读8
เขียน8|写8
ฟัง8|听8
พูด8|说8
คิด8|想8
จำ8|记8
ลืม8|忘记8
เข้าใจ8|理解8
รู้8|知道8
ไม่รู้8|不知道8
สงสัย8|怀疑8
ถาม8|问8
ตอบ8|回答8
สอน8|教8
ฝึก8|练8
ทำ8|做8
ทำแบบฝึกหัด8|做练习8
ทำข้อสอบ8|做考试8
สอบ8|考试8
ผ่าน8|通过8
ไม่ผ่าน8|不通过8
ตก8|不及格8
ได้คะแนน8|得分8
คะแนน8|分数8
วิชา8|科目8
วิชาคณิตศาสตร์8|数学8
วิชาวิทยาศาสตร์8|科学8
วิชาภาษา8|语言8
วิชาภาษาอังกฤษ8|英语8
วิชาภาษาจีน8|中文8
วิชาภาษาญี่ปุ่น8|日语8
วิชาภาษาเกาหลี8|韩语8
วิชาภาษาไทย8|泰语8
วิชาสังคมศาสตร์8|社会科学8
วิชาประวัติศาสตร์8|历史8
วิชาภูมิศาสตร์8|地理8
วิชาศิลปะ8|美术8
วิชาดนตรี8|音乐8
วิชาพลศึกษา8|体育8
วิชาคอมพิวเตอร์8|计算机8
หนังสือ8|书8
ตำรา8|教材8
แบบเรียน8|课本8
แบบฝึกหัด8|练习册8
ข้อสอบ8|考题8
กระดาน8|黑板8
ชอล์ก8|粉笔8
ปากกา8|笔8
ดินสอ8|铅笔8
ยางลบ8|橡皮8
สมุด8|本子8
กระดาษ8|纸8
แฟ้ม8|文件夹8
กล่องดินสอ8|铅笔盒8
ไม้บรรทัด8|尺子8
ห้องเรียน8|教室8
ห้องสมุด8|图书馆8
ห้องปฏิบัติการ8|实验室8
ห้อง 컴퓨터8|电脑室8
โรงเรียน8|学校8
